hs12,description
2908,"Phenols or phenol-alcohols; halogenated, sulphonated, nitrated or nitrosated derivatives"
290811,Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts; pentachlorophenol (ISO)
290819,Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts; other than pentachlorophenol (ISO)
290891,"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof; dinoseb (ISO) and its salts"
290892,"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof; 4,6-dinitro-o-cresol (DNOC (ISO)) and its salts"
290899,"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof; other than dinoseb (ISO), and 4,6-dinitro-o-cresol (DNOC (ISO)), and their salts"
2909,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (chemically defined or not); halogenated, sulphonated, nitrated, nitrosated derivative"
290911,"Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, diethyl ether"
290919,"Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, other than diethyl ether"
290920,"Ethers; cyclanic, cyclenic or cycloterpenic and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290930,"Ethers; aromatic, and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290941,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; 2,2-oxydiethanol (diethylene glycol, digol)"
290943,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; monobutyl ethers of ethylene glycol or of diethylene glycol"
290944,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; monoalkylethers of ethylene glycol or of diethylene glycol n.e.c. in heading no. 2909"
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; n.e.c. in item no. 2909.4"
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290960,"Alcohol peroxides, ether peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives"
2910,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives"
291010,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives; oxirane (ethylene oxide)"
291020,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, methyloxirane (propylene oxide)"
291030,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, 1-chloro-2,3-epoxypropane (epichlorohydrin)"
291040,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, dieldrin (ISO, INN)"
291090,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2910"
2911,"Acetals and hemiacetals; whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrostated derivatives"
291100,"Acetals and hemiacetals; whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives"
2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde"
291211,"Aldehydes; acyclic, without other oxygen function, methanal (formaldehyde)"
291212,"Aldehydes; acyclic, without other oxygen function, ethanal (acetaldehyde)"
291219,"Aldehydes; acyclic, without other oxygen function, n.e.c. in item no. 2912.1"
291221,"Aldehydes; cyclic, without other oxygen function, benzaldehyde"
291229,"Aldehydes; cyclic, without other oxygen function, other than benzaldehyde"
291241,"Aldehydes; aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function, vanillin (4-hydroxy-3-methoxybenzaldehyde)"
291242,"Aldehydes; aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function, ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)"
291249,"Aldehyde-alcohols, aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function; other than vanillin (4-hydroxy-3-methoxybenzaldehyde) and ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)"
291250,Aldehydes; cyclic polymers of aldehydes
291260,Paraformaldehyde
2913,"Aldehydes; halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading no. 2912"
291300,"Aldehydes; halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading no. 2912"
2914,"Ketones and quinones; whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrostated derivatives"
291411,"Ketones; acyclic, without other oxygen function, acetone"
291412,"Ketones; acyclic, without other oxygen function, butanone (methyl ethyl ketone)"
291413,"Ketones; acyclic, without other oxygen function, 4-methylpentan-2-one (methyl isobutyl ketone)"
291419,"Ketones; acyclic, without other oxygen function, n.e.c. in item no. 2914.1"
291422,"Ketones; cyclanic, cyclenic or cycloterpenic, without other oxygen function, cyclohexanone and methylcyclohexanones"
291423,"Ketones; cyclanic, cyclenic or cycloterpenic, without other oxygen function, ionones and methylionones"
291429,"Ketones; cyclanic, cyclenic or cycloterpenic, without other oxygen function, other than cyclohexanone, methylcyclohexanones, ionones, and methylionones"
291431,"Ketones; aromatic, (without other oxygen function), phenylacetone (phenylpropan-2-one)"
291439,"Ketones; aromatic, (without other oxygen function), excluding phenylacetone (phenylpropan-2-one)"
291440,Ketone-alcohols and ketone-aldehydes
291450,Ketone-phenols and ketones with other oxygen function
291461,Quinones; anthraquinone
291469,Quinones; other than anthraquinone
291470,"Ketones and quinones; halogenated, sulphonated, nitrated or nitrosated derivatives"
2915,"Acids; saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives"
291511,Acids; saturated acyclic monocarboxylic acids; formic acid
291512,Acids; saturated acyclic monocarboxylic acids; salts of formic acids
291513,Acids; saturated acyclic monocarboxylic acids; esters of formic acid
291521,Acids; saturated acyclic monocarboxylic acids; acetic acid
291524,Acids; saturated acyclic monocarboxylic acids; acetic anhydride
291529,Acids; saturated acyclic monocarboxylic acids; acetic acid and its salts n.e.c. in item no. 2915.2
291531,Acids; saturated acyclic monocarboxylic acids; ethyl acetate
291532,Acids; saturated acyclic monocarboxylic acids; vinyl acetate
291533,Acids; saturated acyclic monocarboxylic acids; n-butyl acetate
291536,Acids; saturated acyclic monocarboxylic acids; dinoseb (ISO) acetate
291539,Acids; saturated acyclic monocarboxylic acids; esters of acetic acid n.e.c. in item no. 2915.3
291540,"Acids; saturated acyclic monocarboxylic acids; mono-, di- or trichloroacetic acids, their salts and esters"
291550,"Acids; saturated acyclic monocarboxylic acids; propionic acid, its salts and esters"
291560,"Acids; saturated acyclic monocarboxylic acids; butanoic acids, pentanoic acids, their salts and esters"
291570,"Acids; saturated acyclic monocarboxylic acids; palmitic acid, stearic acid, their salts and esters"
291590,"Acids; saturated acyclic monocarboxylic acids; anhydrides, halides, peroxides, peroxyacids and halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2915"
2916,"Acids; unsaturated acyclic monocarboxylic, cyclic monocarboxylic, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives"
291611,Acids; unsaturated acyclic monocarboxylic acids; acrylic acid and its salts
291612,Acids; unsaturated acyclic monocarboxylic acids; esters of acrylic acid
291613,Acids; unsaturated acyclic monocarboxylic acids; methacrylic acid and its salts
291614,Acids; unsaturated acyclic monocarboxylic acids; esters of methacrylic acid
291615,"Acids; unsaturated acyclic monocarboxylic acids; oleic, linoleic or linolenic acids, their salts and esters"
291616,"Acids; unsaturated acyclic monocarboxylic, cyclic monocarboxylic, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives, binapacryl (ISO)"
291619,"Acids; unsaturated acyclic monocarboxylic, cyclic monocarboxylic, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in item no. 2916.1"
291620,"Acids; cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives"
291631,"Acids; aromatic monocarboxylic acids, benzoic acid, its salts and esters"
291632,"Acids; aromatic monocarboxylic acids, benzoyl peroxide and benzoyl chloride"
291634,"Acids; aromatic monocarboxylic acids, phenylacetic acid and its salts"
291639,"Acids; aromatic monocarboxylic acids, and their anhydrides, halides, peroxides, peroxyacids and their derivatives, other than benzoic acid, its salts and esters, benzoyl peroxide and benzoyl chloride, phenylacetic acid and its salts"
2917,"Acids; polycarboxylic acids, their anhydrides, halides, peroxides and peroxy-acids; their halogenated, sulphonated, nitrated or nitrosated derivatives"
291711,"Acids; acyclic polycarboxylic acids; oxalic acid, its salts and esters"
291712,"Acids; acyclic polycarboxylic acids; adipic acid, its salts and esters"
291713,"Acids; acyclic polycarboxylic acids; azelaic acid, sebacic acid, their salts and esters"
291714,Acids; acyclic polycarboxylic acids; maleic anhydride
291719,Acids; acyclic polycarboxylic acids; n.e.c. in item no. 2917.1
291720,"Acids; cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and derivatives"
291732,Acids; aromatic polycarboxylic acids; dioctyl orthophthalates
291733,Acids; aromatic polycarboxylic acids; dinonyl or didecyl orthophthalates
291734,Acids; aromatic polycarboxylic acids; other esters of orthophthalic acids
291735,Acids; aromatic polycarboxylic acids; phthalic anhydride
291736,Acids; aromatic polycarboxylic acids; terephthalic acid and its salts
291737,Acids; aromatic polycarboxylic acids; dimethyl terephthalate
291739,Acids; aromatic polycarboxylic acids; n.e.c. in item no. 2917.3
2918,"Acids; carboxylic acid with additional oxygen function and their anhydrides, halides, peroxides, peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives"
291811,"Acids; carboxylic acids, (with alcohol function but without other oxygen function), lactic acid, its salts and esters"
291812,"Acids; carboxylic acids, (with alcohol function but without other oxygen function), tartaric acid"
291813,"Acids; carboxylic acids, (with alcohol function but without other oxygen function); salts and esters of tartaric acid"
291814,"Acids; carboxylic acids, (with alcohol function but without other oxygen function), citric acid"
291815,"Acids; carboxylic acids, (with alcohol function but without other oxygen function), salts and esters of citric acid"
291816,"Acids; carboxylic acids, (with alcohol function but without other oxygen function), gluconic acid, its salts and esters"
291818,"Acids; carboxylic acids, (with alcohol function but without other oxygen function), chlorobenzilate (ISO)"
291819,"Acids; carboxylic acids, (with alcohol function but without other oxygen function), other than lactic, tartaric, citric, and gluconic acids and their salts and esters"
291821,"Acids; carboxylic acids, (with phenol function but without other oxygen function), salicylic acid and its salts"
291822,"Acids; carboxylic acids, (with phenol function but without other oxygen function), o-acetylsalicylic acid, its salts and esters"
291823,"Acids; carboxylic acids, (with phenol function but without other oxygen function), other esters of salicylic acid and its salts n.e.c. in item no. 2918.2"
291829,"Acids; carboxylic acids, (with phenol function but without other oxygen function), their anhydrides, halides, peroxides, peroxyacids and their derivatives, n.e.c. in item no. 2918.2"
291830,"Acids; carboxylic acids, (with aldehyde or ketone function but without other oxygen function), their anhydrides, halides, peroxides, peroxyacids and their derivatives"
291891,"Acids; carboxylic acids, with additional oxygen function (not alcohol, phenol, aldehyde or ketone) and their anhydrides, halides, peroxides and peroxyacids; 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters"
291899,"Acids; carboxylic acids, with additional oxygen function (not alcohol, phenol, aldehyde or ketone) and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives; other than 2,4,5-T (ISO)"
2919,"Esters; phosphoric, and their salts, including lactophosphates, their halogenated, sulphonated, nitrated or nitrosated derivatives"
291910,"Esters; phosphoric, and their salts, including lactophosphates, their halogenated, sulphonated, nitrated or nitrosated derivatives; tris(2,3-dibromopropyl) phosphate"
291990,"Esters; phosphoric, and their salts, including lactophosphates, their halogenated, sulphonated, nitrated or nitrosated derivatives; other than tris(2,3-dibromopropyl) phosphate"
2920,"Esters of other inorganic acids of non-metals (other than of hydrogen halides) and their salts, their halogenated, sulphonated, nitrated or nitrosated derivatives"
292011,"Esters; thiophosphoric esters (phosphorothioates) and their salts, their halogenated, sulphonated, nitrated or nitrosated derivatives, parathion (ISO) and parathion-methyl (ISO) (methyl-parathion)"
292019,Esters; thiophosphoric esters (phosphorothioates) and their salts; other than parathion (ISO) and parathion-methyl (ISO) (methyl-parathion)
292090,"Esters; other than thiophosphoric esters (phosphorothioates) and their salts, their halogenated, sulphonated, nitrated or nitrosated derivatives"
2921,Amine-function compounds
292111,"Amine-function compounds; acyclic monoamines and their derivatives, methylamine, di- or trimethylamine and their salts"
292119,"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, n.e.c. in item no. 2921.1"
292121,"Amine-function compounds; acyclic polyamines and their derivatives, ethylenediamine and its salts"
292122,"Amine-function compounds; acyclic polyamines and their derivatives, hexamethylenediamine and its salts"
292129,"Amine-function compounds; acyclic polyamines and their derivatives, and salts thereof, n.e.c. in item no. 2921.2"
292130,"Amine-function compounds; cyclanic, cyclenic or cycloterpenic mono- or polyamines and their derivatives; salts thereof"
292141,"Amine-function compounds; aromatic monoamines and their derivatives, aniline and its salts"
292142,"Amine-function-compounds; aromatic monoamines and their derivatives, aniline derivatives and their salts"
292143,"Amine-function compounds; aromatic monoamines and their derivatives, toluidines and their derivatives; salts thereof"
292144,"Amine-function compounds; aromatic monoamines and their derivatives, diphenylamine and its derivatives; salts thereof"
292145,"Amine-function compounds; aromatic monoamines and their derivatives; 1-naphthylamine (alpha-naphthylamine), 2-naphthylamine (beta-naphthaylamine) and their derivatives; salts thereof"
292146,"Amine-function compounds; aromatic monoamines and derivatives; amphetamine (INN), benzphetamine (INN), dexamphetamine (INN), etilamphetamine (INN), fencamfamin (INN), lefetamine (INN), levamphetamine (INN), mefenorex (INN), phentermine (INN); salts of"
292149,Amine-function compounds; aromatic monoamines and their derivatives; salts thereof; n.e.c. in item no. 2921.4
292151,"Amine-function compounds; aromatic amines and their derivatives; o-, m-, p-phenylenediamine, diaminotoluenes and their derivatives; salts thereof"
292159,"Amine-function compounds; aromatic polyamines and their derivatives, other than item no. 2921.51"
2922,Oxygen-function amino-compounds
292211,"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, monoethanolamine and its salts"
292212,"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, diethanolamine and its salts"
292213,"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, triethanolamine and its salts"
292214,"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof; dextropropoxyphene (INN) and its salts"
292219,"Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof, n.e.c. in item no. 2922.1"
292221,"Amino-naphthols and other amino-phenols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, aminohydroxynaphthalenesulphonic acids and their salts"
292229,"Amino-naphthols and other amino-phenols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof n.e.c. in item no. 2922.2"
292231,"Amino-aldehydes, amino-ketones and amino-quinones; other than those containing more than one kind of oxygen function; salts thereof"
292239,"Amino-aldehydes, amino-ketones and amino-quinones; other than those containing more than one kind of oxygen function; salts thereof, excluding amfepramone (INN), methadone (INN), and normethadone (INN) and salts thereof"
292241,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; lysine and its esters; salts thereof"
292242,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; glutamic acid and its esters; salts thereof"
292243,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; anthranilic acid and its esters; salts thereof"
292244,"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; tilidine (INN) and its esters; salts thereof"
292249,"Amino-acids, other than those containing more than one kind of oxygen function, their esters; salts thereof, excluding lysine, glutamic acid, anthranalic acid and tilidine, their esters and salts thereof"
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function"
2923,"Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined"
292310,"Quaternary ammonium salts and hydroxides; choline and its salts, whether or not chemically defined"
292320,"Lecithins and other phosphoaminolipids, whether or not chemically defined"
292390,Quaternary ammonium salts and hydroxides; whether or not chemically defined n.e.c. in heading no. 2923
2924,Carboxyamide-function compounds; amide-function compounds of carbonic acid
292411,Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof; meprobamate (INN)
292412,"Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof; fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)"
292419,"Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof, other than meprobamate (INN), fluoroacetamide (ISO), monocrotophos (ISO) or phosphamidon (ISO)"
292421,"Cyclic amides (including cyclic carbamates) and their derivatives, ureines and their derivatives; salts thereof"
292423,Cyclic amides (including cyclic carbamates) and their derivatives; 2-acetamidobenzoic acid (N-acetylanthranillic acid) and its salts
292424,Cyclic amides (including cyclic carbamates) and their derivatives; ethinamate and its salts
292429,"Cyclic amides (including cyclic carbamates) and their derivatives; other than the derivatives and salts of ureines, 2-acetamidobenzoic acid (N-acetylanthancillic acid), and ethinamate S"
2925,Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds
292511,Imides and their derivatives; saccharin and its salts
292512,Imides and their derivatives; glutethimide (INN)
292519,Imides and their derivatives; other than saccharin and glutethimide (INN)
292521,Imines and their derivatives; salts thereof; chlordimeform (ISO)
292529,Imines and their derivatives; salts thereof; other than chlordimeform (ISO)
2926,Nitrile-function compounds
292610,Nitrile-function compounds; acrylonitrile
292620,Nitrile-function compounds; 1-cyanoguanidine (dicyandiamide)
292630,"Nitrile-function compounds; fenproporex (INN) and its salts; methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane)"
292690,"Nitrile-function compounds; other than acrylonitrile, 1-cyanoguanidine (dicyandiamide) and fenproporex (INN) and its salts - methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane"
2927,"Diazo-, azo- or azoxy-compounds"
292700,"Diazo-, azo- or azoxy compounds"
2928,Organic derivatives of hydrazine or of hydroxylamine
292800,Organic derivatives of hydrazine or of hydroxylamine
2929,"Nitrogen-function compounds, n.e.c. in chapter 29"
292910,"Nitrogen-function compounds; n.e.c. in chapter 29, isocyanates"
292990,"Nitrogen-function compounds; n.e.c. in chapter 29, excluding isocyanates"
2930,Organo-sulphur compounds
293020,Organo-sulphur compounds; thiocarbamates and dithiocarbamates
293030,"Organo-sulphur compounds; thiuram mono-, di- or tetrasulphides"
293040,Organo-sulphur compounds; methionine
293050,Organo-sulphur compounds; captafol (ISO) and methamidophos (ISO)
293090,Organo-sulphur compounds; n.e.c. in heading no. 2930
2931,Other organo-inorganic compounds
293110,Organo-inorganic compounds; tetramethyl lead and tetraethyl lead
293120,Organo-inorganic compounds; tributyltin compounds
293190,"Organo-inorganic compounds; other than tetramethyl lead, tetraethyl lead, and tributyltin compounds"
2932,Heterocyclic compounds with oxygen hetero-atom(s) only
293211,"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, tetrahydrofuran"
293212,"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, 2-furaldehyde (furfuraldehyde)"
293213,"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, furfuryl alcohol and tetrahydrofurfuryl alcohol"
293219,"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, n.e.c. in item no. 2932.1"
293220,"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, lactones"
293291,"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), isosafrole"
293292,"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), 1-(1,3-benzodiaxol-5-yl) propan-2-one"
293293,"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), piperonal"
293294,"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), safrole"
293295,"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), tetrahydrocannabinols (all isomers)"
293299,"Heterocyclic compounds; with oxygen hetero-atom(s) only, no lactones or unfused furan rings (hydrogenated or not) in the structure, other than isosafrole, 1-(1,3-benzodiaxol-5-yl) propan-2-one, piperonal, safrole, tetrahydrocannabinols (all isomers)"
2933,Heterocyclic compounds with nitrogen hetero-atom(s) only
293311,"Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, phenazone (antipyrin) and its derivatives"
293319,"Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, other than henazone (antipyrin) and its derivatives"
293321,"Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, hydantoin and its derivatives"
293329,"Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, other than hydantoin and its derivatives"
293331,"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, pyridine and its salts"
293332,"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, piperidine and its salts"
293333,"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, other than pyridine and its salts, other than piperidine and its salts"
293339,"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3"
293341,"Heterocyclic compounds; containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, levorphanol (INN) and its salts"
293349,"Heterocyclic compounds; containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, other than levorphanol (INN) and its salts"
293352,"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, malonylurea (barbituric acid) and its salts"
293353,"Allobarbital (INN), amobarbital (INN), barbital (INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts thereof"
293354,"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, other derivatives of malonylurea (barbituric acid) and salts thereof, n.e.c. in 2933.53"
293355,"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure; loprazolam (INN), mecloqualone (INN), methaqualone (INN), and zipeprol (INN); salts thereof"
293359,"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5"
293361,"Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, melamine"
293369,"Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine"
293371,Heterocyclic compounds; lactams; 6-hexanelactam (epsilon-caprolactam)
293372,Heterocyclic compounds; lactams; clobazam (INN) and methyprylon (INN)
293379,Heterocyclic compounds; lactams; other than 6-hexanelactam (epsilon caprolactam) and clobazam (INN) and methyprylon (INN)
293391,"Heterocyclic compounds; n.e.c. in headings no. 2933.1, 2933.2, 2933.3, 2933.4, 2933.5, 2933.6, 2933.7"
293399,Heterocyclic compounds; n.e.c. in headings no. 2933
2934,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds"
293410,Heterocyclic compounds; containing an unfused thiazole ring (whether or not hydrogenated) in the structure
293420,"Heterocyclic compounds; containing in the structure, a benzothiazole ring-system (whether or not hydrogenated), not further fused"
293430,"Heterocyclic compounds; containing in the structure, a phenothiazine ring-system (whether or not hydrogenated), not further fused"
293491,"Other heterocyclic compounds, n.e.c. in 2934.1, 2934.2 and 2934.3"
293499,"Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934"
2935,Sulphonamides
293500,Sulphonamides
2936,"Provitamins, vitamins; natural or reproduced by synthesis (including natural concentrates) derivatives thereof used as vitamins, and intermixtures of the fore-going, whether or not in any solvent"
293621,"Vitamins; vitamins A and their derivatives, unmixed"
293622,"Vitamins; vitamin B1 and its derivatives, unmixed"
293623,"Vitamins; vitamin B2 and its derivatives, unmixed"
293624,"Vitamins; D- or DL-pantothenic acid (vitamin B3 or vitamin B5) and its derivatives, unmixed"
293625,"Vitamins; vitamin B6 and its derivatives, unmixed"
293626,"Vitamins; vitamin B12 and its derivatives, unmixed"
293627,"Vitamins; vitamin C and its derivatives, unmixed"
293628,"Vitamins; vitamin E and its derivatives, unmixed"
293629,"Vitamins; n.e.c. in item no. 2936.2, and their derivatives, unmixed"
293690,"Vitamins; n.e.c. in heading no. 2936, including natural concentrates"
2937,"Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones."
293711,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; somatotropin, its derivatives and structural analogues"
293712,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; insulin and its salts"
293719,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; other than somatotropin, (its derivatives and structural anaologues) and insulin and its salts"
293721,"Steroidal hormones, their derivatives and structural analogues; cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)"
293722,"Steroidal hormones, their derivatives and structural analogues; halogenated derivatives of corticosteroidal hormones"
293723,"Steroidal hormones, their derivatives and structural analogues; oestrogens and progestogens"
293729,"Steroidal hormones, their derivatives and structural analogues; other than cortisone, hydrocortisone, prednisone (dehydrocortisone), prednisolone (dehydrohydrocortisone), halogenated derivatives of corticosteroidal hormones, oestrogen and progestogens"
293750,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues"
293790,"Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones, n.e.c. in heading 2937"
2938,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives"
293810,Glycosides; rutoside (rutin) and its derivatives
293890,"Glycosides; natural or reproduced by synthesis, other than rutoside (rutin) and its derivatives"
2939,"Alkaloids, vegetable; natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives"
293911,"Alkaloids, vegetable; of opium and their derivatives; salts thereof"
293919,"Alkaloids, vegetable; of opium and their derivatives; other than in 2939.11, salts thereof"
293920,"Alkaloids, vegetable; of cinchona and their derivatives; salts thereof"
293930,"Alkaloids, vegetable; caffeine and its salts"
293941,"Alkaloids, vegetable; ephedrine and its salts"
293942,"Alkaloids, vegetable; pseudoephedrine (INN) and its salts"
293943,"Alkaloids, vegetable; cathine (INN) and its salts"
293944,"Alkaloids, vegetable; norephedrine and its salts"
293949,"Alkaloids, vegetable; other than ephedrine, pseudoephedrine (INN), norephedrine, and cathine (INN) and their salts"
