level3,level3_es,level3_short
84409,"Madera, incluidas las tablillas y frisos para parqués, sin ensamblar, perfilada longitudinalmente (con lengüetas, ranuras, rebajes, acanalados, biselados, con juntas en V, moldurados, redondeados o similares) en una o varias caras, cantos o extremos, incluso cepillada, lijada o unida por los extremos",Pisos de madera
136813,"Guarniciones de fricción (por ejemplo: hojas, rollos, tiras, segmentos, discos, arandelas, plaquitas) sin montar, para frenos, embragues o cualquier órgano de frotamiento, a base de amianto (asbesto), de otras sustancias minerales o de celulosa, incluso combinados con textiles o demás materias",Guarniciones de fricción sin montar
209402,"Mobiliario para medicina, cirugía, odontología o veterinaria (por ejemplo: mesas de operaciones o de reconocimiento, camas con mecanismo para uso clínico, sillones de dentista); sillones de peluquería y sillones similares, con dispositivos de orientación y elevación; partes de estos artículos","Mobiliario para medicina, odontología, peluquería o similares"
168540,"Lámparas, tubos y válvulas electrónicos, de cátodo caliente, cátodo frío o fotocátodo (por ejemplo: lámparas, tubos y válvulas, de vacío, de vapor o gas, tubos rectificadores de vapor de mercurio, tubos catódicos, tubos y válvulas para cámaras de televisión) (excepto los de la partida 8539)",Lámparas y válvulas electrónicas (catódicos)
189026,"Instrumentos y aparatos para medida o control del caudal, nivel, presión u otras características variables de líquidos o gases (por ejemplo: caudalímetros, indicadores de nivel, manómetros, contadores de calor) (excepto los instrumentos y aparatos de las partidas 9014, 9015, 9028 o 9032)",Instrumentos de medicion de caudal y presión
63004,"Medicamentos (excepto los productos de las partidas 3002, 3005 o 3006) constituidos por productos mezclados o sin mezclar, preparados para usos terapéuticos o profilácticos, dosificados (incluidos los administrados por vía transdérmica) o acondicionados para la venta al por menor",Medicamentos para venta al por menor
209404,"Somieres; artículos de cama y artículos similares (por ejemplo: colchones, cubrepiés, edredones, cojines, pufs, almohadas), bien con muelles (resortes), bien rellenos o guarnecidos interiormente con cualquier materia, incluidos los de caucho o plástico celulares, recubiertos o no","Artículos de cama y similares (colchones, cojines)"
168471,"Máquinas automáticas para tratamiento o procesamiento de datos y sus unidades; lectores magnéticos u ópticos, máquinas para registro de datos sobre soporte en forma codificada y máquinas para tratamiento o procesamiento de estos datos, no expresadas ni comprendidas en otra parte",Computadoras
115702,"Alfombras y demás revestimientos para el suelo, de materia textil, tejidos (excepto los de mechón insertado y los flocados), aunque estén confeccionados, incluidas las alfombras llamadas «kelim» o «kilim», «schumacks» o «soumak», «karamanie» y alfombras similares tejidas a mano",Alfombras
115404,"Monofilamentos sintéticos de título superior o igual a 67 decitex y cuya mayor dimensión de la sección transversal sea inferior o igual a 1 mm; tiras y formas similares (por ejemplo: paja artificial) de materia textil sintética, de anchura aparente inferior o igual a 5 mm",Monofilamentos sintéticos y formas de textiles sintéticos menores de 5mm
168456,"Máquinas herramienta que trabajen por arranque de cualquier materia mediante láser u otros haces de luz o de fotones, por ultrasonido, electroerosión, procesos electroquímicos, haces de electrones, haces iónicos o chorro de plasma; máquinas para cortar por chorro de agua","Maquinaria de corte láser, ultrasonido, procesos electroquímicos o por chorro de agua."
168470,"Máquinas de calcular y máquinas de bolsillo registradoras, reproductoras y visualizadoras de datos, con función de cálculo; máquinas de contabilidad, de franquear, expedir boletos (tiques) y máquinas similares, con dispositivo de cálculo incorporado; cajas registradoras","Máquinas calculadoras, de contabilidad y cajas registradoras"
209405,"Aparatos de alumbrado, incluidos los proyectores, y sus partes, no expresados ni comprendidos en otra parte; anuncios, letreros y placas indicadoras luminosos y artículos similares, con fuente de luz inseparable, y sus partes no expresadas ni comprendidas en otra parte",Proyectores y señales luminosas
168472,"Las demás máquinas y aparatos de oficina (por ejemplo: copiadoras hectográficas, mimeógrafos, máquinas de imprimir direcciones, distribuidores automáticos de billetes de banco, máquinas de clasificar, contar o encartuchar monedas, sacapuntas, perforadoras, grapadoras)",Máquinas de oficina no clasificadas en otra parte
168438,"Máquinas y aparatos, no expresados ni comprendidos en otra parte de este Capítulo, para la preparación o fabricación industrial de alimentos o bebidas (excepto las máquinas y aparatos para la extracción o preparación de aceites o grasas, animales o vegetales fijos)",Otras máquinas para fabricación industrial de alimentos y bebidas
84103,"Los demás cueros y pieles, en bruto (frescos o salados, secos, encalados, piquelados o conservados de otro modo, pero sin curtir, apergaminar ni preparar de otra forma), incluso depilados o divididos, excepto los excluidos por las notas 1 b) o 1 c) de este capítulo",Otros cueros y pieles
158214,"Los demás artículos de cuchillería (por ejemplo: máquinas de cortar el pelo o de esquilar, cuchillas de picar carne, tajaderas de carnicería o cocina y cortapapeles); herramientas y juegos de herramientas de manicura o de pedicura, incluidas las limas para uñas",Otros artículos de cuchillería
157319,"Agujas de coser, de tejer, pasacintas, agujas de ganchillo (croché), punzones para bordar y artículos similares, de uso manual, de hierro o acero; alfileres de gancho (imperdibles) y demás alfileres de hierro o acero, no expresados ni comprendidos en otra parte",Agujas y alfileres
10307,"Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; moluscos ahumados, incluso pelados o cocidos, antes o durante el ahumado; harina, polvo y pellets de moluscos, aptos para la alimentación humana",Moluscos
147112,"Desperdicios y desechos, de metal precioso o de chapado de metal precioso (plaqué); demás desperdicios y desechos que contengan metal precioso o compuestos de metal precioso, de los tipos utilizados principalmente para la recuperación del metal precioso",Desperdicios de metal precioso.
189013,"Dispositivos de cristal líquido que no constituyan artículos comprendidos más específicamente en otra parte; láseres (excepto los diodos láser); los demás aparatos e instrumentos de óptica, no expresados ni comprendidos en otra parte de este capítulo",Dispositivos de cristal liquido.
168548,"Desperdicios y desechos de pilas, baterías de pilas o acumuladores, eléctricos; pilas, baterías de pilas y acumuladores, eléctricos, inservibles; partes eléctricas de máquinas o aparatos, no expresadas ni comprendidas en otra parte de este capítulo",Desperdicios de pilas y baterías inservibles
104809,"Papel carbón (carbónico), papel autocopia y demás papeles para copiar o transferir, incluido el estucado o cuché, recubierto o impregnado, para clisés de mimeógrafo (stencils) o para planchas offset, incluso impresos, en bobinas (rollos) o en hojas",Papel de copia.
63506,"Colas y demás adhesivos preparados, no expresados ni comprendidos en otra parte; productos de cualquier clase utilizados como colas o adhesivos, acondicionados para la venta al por menor como colas o adhesivos, de peso neto inferior o igual a 1 kg",Adhesivos
63206,"Las demás materias colorantes; preparaciones a que se refiere la nota 3 de este capítulo (excepto las de las partidas 3203, 3204 o 3205); productos inorgánicos de los tipos utilizados como luminóforos, aunque sean de constitución química definida",Materias colorantes no especificadas en otros lugares.
20714,"Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (boniatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, frescos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de sagú",Raíces y tuberculos
63824,"Preparaciones aglutinantes para moldes o núcleos de fundición; productos químicos y preparaciones de la industria química o de las industrias conexas, incluidas las mezclas de productos naturales, no expresados ni comprendidos en otra parte",Aglutinantes para moldes de fundicion.
168514,"Hornos eléctricos industriales o de laboratorio, incluidos los que funcionen por inducción o pérdidas dieléctricas; los demás aparatos industriales o de laboratorio para tratamiento térmico de materias por inducción o pérdidas dieléctricas",Hornos industriales
63825,"Productos residuales de la industria química o de las industrias conexas, no expresados ni comprendidos en otra parte; desechos y desperdicios municipales; lodos de depuración; los demás desechos citados en la nota 6 del presente capítulo",Residuos de industria química y otros desechos
63306,"Preparaciones para higiene bucal o dental, incluidos los polvos y cremas para la adherencia de las dentaduras; hilo utilizado para limpieza de los espacios interdentales (hilo dental), en envases individuales para la venta al por menor","Crema, enjuague, hilo y otros productos de higiene dental"
84410,"Tableros de partículas, tableros llamados «oriented strand board» (OSB) y tableros similares (por ejemplo: los llamados «waferboard»), de madera u otras materias leñosas, incluso aglomeradas con resinas o demás aglutinantes orgánicos",Tableros de madera aglomerados.
84101,"Cueros y pieles en bruto, de bovino, incluido el búfalo, o de equino (frescos o salados, secos, encalados, piquelados o conservados de otro modo, pero sin curtir, apergaminar ni preparar de otra forma), incluso depilados o divididos",Cueros y pieles en bruto
209504,"Videoconsolas y máquinas de videojuego, artículos para juegos de sociedad, juegos de mesa o salón, incluidos los juegos con motor o mecanismo, billares, mesas especiales para juegos de casino y juegos de bolos automáticos (bowlings)","Consolas de videojuegos, maquinas de casinos, bowlings y otros"
104808,"Papel y cartón corrugados, incluso revestidos por encolado, rizados (crepés), plisados, gofrados, estampados o perforados, en bobinas (rollos) o en hojas (excepto el papel de los tipos descritos en el texto de la partida 4803)",Papel y cartón corrugados
73913,"Polímeros naturales (por ejemplo: ácido algínico) y polímeros naturales modificados (por ejemplo: proteínas endurecidas, derivados químicos del caucho natural), no expresados ni comprendidos en otra parte, en formas primarias",Polímeros naturales y naturales modificados
209506,"Artículos y material para cultura física, gimnasia, atletismo, demás deportes, incluido el tenis de mesa, o para juegos al aire libre, no expresados ni comprendidos en otra parte de este capítulo; piscinas, incluso infantiles",Materiales para gimnasia.
41902,"Pastas alimenticias, incluso cocidas o rellenas (de carne u otras sustancias) o preparadas de otra forma, tales como espaguetis, fideos, macarrones, tallarines, lasañas, ñoquis, ravioles, canelones; cuscús, incluso preparado","Tallarines, pastas, y fideos."
62937,"Hormonas, prostaglandinas, tromboxanos y leucotrienos, naturales o reproducidos por síntesis; sus derivados y análogos estructurales, incluidos los polipéptidos de cadena modificada, utilizados principalmente como hormonas",Hormonas.
63812,"Aceleradores de vulcanización preparados; plastificantes compuestos para caucho o plástico, no expresados ni comprendidos en otra parte; preparaciones antioxidantes y demás estabilizantes compuestos para caucho o plástico",Aceleradores de vulcanizacion.
63502,"Albúminas (incluidos los concentrados de varias proteínas del lactosuero, con un contenido de proteínas del lactosuero superior al 80 % en peso, calculado sobre materia seca) albuminatos y demás derivados de las albúminas",Albúminas
136903,"Los demás productos cerámicos refractarios (por ejemplo: retortas, crisoles, muflas, toberas, tapones, soportes, copelas, tubos, fundas, varillas) (excepto los de harinas silíceas fósiles o de tierras silíceas análogas)",Productos refractarios (sin incluir ladrillos).
21104,"Granos de cereales trabajados de otro modo (por ejemplo: mondados, aplastados, en copos, perlados, troceados o quebrantados), excepto del arroz de la partida 1006; germen de cereales entero, aplastado, en copos o molido",Granos de cereales trabajados (excepto arroz)
104805,"Los demás papeles y cartones, sin estucar ni recubrir, en bobinas (rollos) o en hojas, que no hayan sido sometidos a trabajos complementarios o tratamientos distintos de los especificados en la nota 3 de este capítulo","Otros papeles y cartones, no sometidos a trabajos complementarios"
20812,"Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para dicha conservación), pero todavía impropios para consumo inmediato",Frutos conservados provicionalmente.
84418,"Obras y piezas de carpintería para construcciones, incluidos los tableros celulares, los tableros ensamblados para revestimiento de suelo y tablillas para cubierta de tejados o fachadas (shingles y shakes), de madera",Piezas de carpintería para construccion.
20711,"Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha conservación), pero todavía impropias para consumo inmediato",Hortalizas conservadas provisionalmente.
21401,"Materias vegetales de las especies utilizadas principalmente en cestería o espartería (por ejemplo: bambú, roten (ratán), caña, junco, mimbre, rafia, paja de cereales limpiada, blanqueada o teñida, corteza de tilo)",Materia vegetal para cesteria.
168528,"Monitores y proyectores, que no incorporen aparato receptor de televisión; aparatos receptores de televisión, incluso con aparato receptor de radiodifusión o grabación o reproducción de sonido o imagen incorporado",Monitores y proyectores
73911,"Resinas de petróleo, resinas de cumarona-indeno, politerpenos, polisulfuros, polisulfonas y demás productos previstos en la nota 3 de este capítulo, no expresados ni comprendidos en otra parte, en formas primarias",Resinas de petroleo.
168443,"Máquinas y aparatos para imprimir mediante planchas, cilindros y demás elementos impresores de la partida 8442; las demás máquinas impresoras, copiadoras y de fax, incluso combinadas entre sí; partes y accesorios",Maquinas de impresión y copiado
168461,"Máquinas de cepillar, limar, mortajar, brochar, tallar o acabar engranajes, aserrar, trocear y demás máquinas herramienta que trabajen por arranque de metal o cermet, no expresadas ni comprendidas en otra parte",Máquinas de carpintería por arranque de metal o cermet
168487,"Partes de máquinas o aparatos, no expresadas ni comprendidas en otra parte de este Capítulo, sin conexiones eléctricas, partes aisladas eléctricamente, bobinados, contactos ni otras características eléctricas",Otras partes de máquinas sin conexiones eléctricas
189005,"Binoculares, incluidos los prismáticos, catalejos, anteojos astronómicos, telescopios ópticos y sus armazones; los demás instrumentos de astronomía y sus armazones (excepto los aparatos de radioastronomía)","Binoculares, catalejos, y telescopios."
42008,"Frutas u otros frutos y demás partes comestibles de plantas, preparados o conservados de otro modo, incluso con adición de azúcar u otro edulcorante o alcohol, no expresados ni comprendidos en otra parte",Frutas preparadas o conservadas
168513,"Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía (por ejemplo: de pilas, acumuladores, electromagnéticas) (excepto los aparatos de alumbrado de la partida 8512)",Lámparas eléctricas portátiles
168525,"Aparatos emisores de radiodifusión o televisión, incluso con aparato receptor o de grabación o reproducción de sonido incorporado; cámaras de televisión, cámaras fotográficas digitales y videocámaras",Aparatos para transmitir radio o televisión y cámaras
63505,"Dextrina y demás almidones y féculas modificados (por ejemplo: almidones y féculas pregelatinizados o esterificados); colas a base de almidón, fécula, dextrina o demás almidones o féculas modificados",Almidones y féculas modificadas
73922,"Bañeras, duchas, fregaderos (piletas de lavar), lavabos, bidés, inodoros y sus asientos y tapas, cisternas (depósitos de agua) para inodoros y artículos sanitarios o higiénicos similares, de plástico","Bañeras, duchas e inodoros"
104823,"Los demás papeles, cartones, guata de celulosa y napa de fibras de celulosa, cortados en formato; los demás artículos de pasta de papel, papel, cartón, guata de celulosa o napa de fibras de celulosa","Papeles, cartones y demás artículos de pasta de papel y celulosa"
168531,"Aparatos eléctricos de señalización acústica o visual (por ejemplo: timbres, sirenas, tableros indicadores, avisadores de protección contra robo o incendio) (excepto los de las partidas 8512 u 8530)",Aparatos eléctricos de señalización acústica o visual
126406,"Partes de calzado, incluidas las partes superiores fijadas a las palmillas distintas de la suela; plantillas, taloneras y artículos similares, amovibles; polainas y artículos similares, y sus partes",Partes de calzado
62916,"Ácidos monocarboxílicos acíclicos no saturados y ácidos monocarboxílicos cíclicos, sus anhídridos, halogenuros, peróxidos y peroxiácidos; sus derivados halogenados, sulfonados, nitrados o nitrosados",Ácidos monocarboxílicos y derivados
189209,"Partes (por ejemplo: mecanismos de cajas de música) y accesorios (por ejemplo: tarjetas, discos y rollos para aparatos mecánicos) de instrumentos musicales; metrónomos y diapasones de cualquier tipo",Partes y accesorios de instrumentos musicales
84415,"Cajones, cajas, jaulas, tambores y envases similares, de madera; carretes para cables, de madera; paletas, paletas caja y demás plataformas para carga, de madera; collarines para paletas, de madera","Cajas, envases y paletas de madera"
