"","attributes(nesi_individuals_with_grants_2015)$variable.labels"
"B7_1","B7_1. En ese empleo, ¿le otorgan vacaciones anuales?"
"B7_2","B7_2. En ese empleo, ¿le otorgan días pagados por enfermedad?"
"B7_3","B7_3. En ese empleo, ¿le otorgan cotización previsional o de pensión?"
"B7_4","B7_4. En ese empleo, ¿le otorgan cotización por previsión de salud?"
"B7_5","B7_5. En ese empleo, ¿le otorgan cotización por seguro de desempleo?"
"B7_6","B7_6. En ese empleo, ¿le otorgan permiso por maternidad o paternidad?"
"B7_7","B7_7. En ese empleo, ¿le otorgan servicio de guarderías infantiles?"
"PRESTACIONES_TOTALES","Número Total de Prestaciones Laborales"
"PRESTACIONES_SOCIALES","Número Total de Prestaciones Laborales Sociales (AFP, SALUD y Seguro de Desempleo)"
"TRAM_PL","Tramo de Prestaciones Laborales"
"B8","B8. En ese empleo, ¿tiene contrato escrito?"
"B9","B9. Y la duración de ese contrato o acuerdo de trabajo es..."
"B10","B10. Su contrato o acuerdo definido es..."
"B11","B11. Al momento de recibir sus ingresos..."
"B12","B12. Está contratado o tiene un acuerdo de trabajo..."
"B13","B13. Rama de Actividad Económica de la Empresa que le Paga, CIIU Revisión 3 - 1 Dígito"
"B14","B14. Rama de Actividad Económica de la Empresa Donde Trabaja, CIIU Revisión 3 - 1 Dígito"
"B14_REV4CL_CAENES","B14. Rama de Actividad Económica de la Empresa Donde Trabaja, CIIU Revisión 4.cl – 1 Dígito, según CAENES"
"B15_1","B15_1.  En todo el país, ¿cuántas personas trabajan en esa empresa, negocio, institución que le paga o actividad por cuenta propia, incluyéndose usted?"
"B15_2","B15_2. Número exacto, hasta 10 personas"
"B16","B16. En la semana que terminó el domingo pasado, ¿dónde realizó principalmente sus tareas?"
"B16_OTRO","B16_OTRO. Especifica B16= En otros lugares"
"B17_MES","B17_MES. ¿Y desde cuándo trabaja para ese empleador, en ese negocio o actividad por cuenta propia? Mes"
"B17_ANO","B17_ANO. ¿Y desde cuándo trabaja para ese empleador, en ese negocio o actividad por cuenta propia? Año"
"MESES_EMPLEO","Número de Meses de Permanencia en el Actual Empleo"
"TME","Tramos Meses de Empleo"
"B18_VARIAS","B18_VARIAS. ¿En qué comuna o localidad se ubica la empresa, negocio, institución o actividad por cuenta propia donde realizó su trabajo la semana de referencia? Más de una comuna o localidad"
"B18_CODIGO","B18_CODIGO. ¿En qué comuna o localidad se ubica la empresa, negocio, institución o actividad por cuenta propia donde realizó su trabajo la semana de referencia? Código comuna"
"B19","B19. Durante la semana de referencia, además del trabajo descrito, ¿tuvo algún otro empleo o hizo algún negocio, pololo o actividad remunerada por cuenta propia por lo menos durante una hora?"
"C1","C1. ¿Qué tipo de jornada tiene en su trabajo?"
"C5","C5. La semana pasada, ¿trabajó más horas que las habituales en su actividad principal? (sobre tiempo u horas extras, pagadas o no)"
"C9","C9. ¿Cuál fue la principal razón por la cual trabajó un número de horas diferente a lo habitual durante la semana pasada en su actividad principal?"
"C10","C10. Si de usted dependiera, ¿trabajaría habitualmente más horas de las que trabaja en la actualidad?"
"C11","C11. Pero, si se diera la posibilidad, ¿estaría disponible para trabajar más horas a la semana?"
"C12","C12. ¿Cuál es la razón por la cual no trabaja más horas?"
"C13","C13. Entonces, ¿trabajaría menos horas, aunque esto suponga una reducción proporcional de su sueldo?"
"HABITUALES","Horas Habituales Trabajadas"
"EFECTIVAS","Horas Efectivas Trabajadas en la Semana de Referencia"
"CONTRATADAS","Horas Contratadas"
"HABITUALES_TRAMOS","Tramos de Horas Habituales"
"EFECTIVAS_TRAMOS","Tramos de Horas Efectivas"
"E1","E1. ¿Ha hecho algo para conseguir trabajo dentro de los últimos doce meses?"
"E2","E2. En las cuatro últimas semanas, hasta el domingo de la semana de referencia, ¿ha tratado de encontrar algún empleo o ha hecho alguna gestión para crear su propia empresa o negocio?"
"E3_1","E3_1. Gestión de búsqueda de empleo: Envió currículum a empresas / instituciones"
"E3_2","E3_2. Gestión de búsqueda de empleo: Consultó directamente con empleadores"
"E3_3","E3_3. Gestión de búsqueda de empleo: Pidió a conocidos o familiares que le recomendaran o le avisaran algún trabajo"
"E3_4","E3_4. Gestión de búsqueda de empleo: Revisó y contestó anuncios (diarios, internet, etc.)"
"E3_5","E3_5. Gestión de búsqueda de empleo: Se inscribió o revisó los anuncios en la Oficina Municipal de Empleo (OMIL)"
"E3_6","E3_6. Gestión de búsqueda de empleo: Realizó gestiones para establecerse por su cuenta"
"E3_7","E3_7. Gestión de búsqueda de empleo: Estuvo buscando clientes o pedidos"
"E3_8","E3_8. Gestión de búsqueda de empleo: Puso anuncios (diarios, internet, radios, revistas, etc.)"
"E3_9","E3_9. Gestión de búsqueda de empleo: Participó en una prueba o entrevista para contratación"
"E3_10","E3_10. Gestión de búsqueda de empleo: Consultó con agencias de empleo"
"E3_11","E3_11. Gestión de búsqueda de empleo: Actualizó su currículum publicado en internet enviado anteriormente"
"E3_12","E3_12. Gestión de búsqueda de empleo: Nada"
"E3_TOTAL","E3_TOTAL. Número de gestiones realizadas para buscar empleo"
"E4","E4. ¿Cuál es el motivo principal por el cual está buscando otro trabajo? (Sólo para ocupados)"
"E6_MES","E6_MES. ¿Desde cuándo ha estado buscando trabajo? Mes"
"E6_ANO","E6_ANO. ¿Desde cuándo ha estado buscando trabajo? Año"
"E7","E7. ¿Qué tipo de jornada de trabajo está buscando?"
"E8","E8. Y el trabajo que busca es de carácter:"
"E9","E9. ¿Por qué razón no buscó un empleo o no ha hecho preparativos para iniciar o reanudar una actividad por cuenta propia durante las últimas cuatro semanas?"
"E10","E10. Durante las últimas cuatro semanas, a) ¿Hizo gestiones para iniciar un negocio o una actividad por cuenta propia? b) ¿Logró un acuerdo o contrato de trabajo para iniciar un empleo?"
"E11","E11. Si durante la semana pasada, hubiera encontrado un trabajo, ¿estaría disponible para comenzar a trabajar de este lunes que viene al otro?"
"E12","E12. ¿Por qué motivo no estaría disponible para trabajar?"
"E13","E13. ¿Ha tenido anteriormente algún empleo, o alguna actividad por cuenta propia que durara por lo menos un mes?"
"E15_MESES","E15_MESES. ¿Durante cuánto tiempo trabajó en ese empleo o actividad por cuenta propia? En meses"
"E15_ANOS","E15_AÑOS. ¿Durante cuánto tiempo trabajó en ese empleo o actividad por cuenta propia? En años"
"E16","E16. Grupo de Ocupación del Empleo Anterior, CIUO 88 - 1 Dígito"
"E17","E17. En ese empleo era..."
"E18","E18. Rama de Actividad Económica del Empleo Anterior, CIIU Revisión 3 - 1 Dígito"
"E19","E19. ¿Por qué dejó ese empleo, negocio o actividad por cuenta propia?"
"E19_OTRO","E19_OTRO. Especifica E19=Otras razones de despido o de renuncia"
"D1_opcion","D1_opción. ¿Su empleo actual es el mismo que tenía el mes anterior?"
"D1_opcionB","D1_opciónb. Sueldos o Salario Neto"
"D1_monto","¿Cuál fue el monto de su sueldo o salario neto, del empleo actual....en el mes anterior de la encuesta? (en pesos)"
"SS_T","Ingresos por Sueldos y Salarios Fijos"
"D2_1_opcion","D2_1_opción. Bonos por productividad"
"D2_1_monto","Monto por Bonos por Productividad"
"D2_1_porcentaje","Porcentaje por Bonos por Productividad"
"D2_1_opcionb","D2_1_opciónb. ¿Cuál fue su monto?"
"D2_1_opcionc","D2_1_opciónc. ¿Incluyó este monto en lo declarado en D1?"
"D2_2_opcion","D2_2_opción. Bonos de otro tipo"
"D2_2_monto","Monto por Bonos de Otro Tipo"
"D2_2_porcentaje","Porcentaje por Bonos de Otro Tipo"
"D2_2_opcionb","D2_2_opciónb. ¿Cuál fue su monto?"
"D2_2_opcionc","D2_2_opciónc. ¿Incluyó este monto en lo declarado en D1?"
"D2_3_opcion","D2_3_opción. Comisiones por ventas"
"D2_3_monto","Monto por Comisiones por Ventas"
"D2_3_porcentaje","Porcentaje por Comisiones por Ventas"
"D2_3_opcionb","D2_3_opciónb. ¿Cuál fue su monto?"
"D2_3_opcionc","D2_3_opciónc. ¿Incluyó este monto en lo declarado en D1?"
"D2_4_opcion","D2_4_opción. Pago por horas extraordinarias"
"D2_4_monto","Monto por Pago por Horas Extraordinarias"
"D2_4_porcentaje","Porcentaje por Pago por Horas Extraordinarias"
"D2_4_opcionb","D2_4_opciónb. ¿Cuál fue su monto?"
"D2_4_opcionc","D2_4_opciónc. ¿Incluyó este monto en lo declarado en D1?"
"D2_5_opcion","D2_5_opción. Otros ingresos variables"
"D2_5_monto","Monto por Otros Ingresos Variables"
"D2_5_porcentaje","Porcentaje por Otros Ingresos Variables"
"D2_5_opcionb","D2_5_opciónb. ¿Cuál fue su monto?"
"D2_5_opcionc","D2_5_opciónc. ¿Incluyó este monto en lo declarado en D1?"
"SVAR_T","Ingresos por Sueldos y Salarios Variables no Incluidos en D1"
"D3_1_opcion","D3_1_opción. Vivienda"
"D3_1_monto","Monto por Vivienda"
"D3_1_porcentaje","Porcentaje por Vivienda"
"D3_1_opcion2","D3_1_opción2. ¿Cuánto fue el monto?"
"D3_2_opcion","D3_2_opción. Alimentos y/o bebidas"
"D3_2_monto","Monto por Alimentos y/o Bebidas"
"D3_2_porcentaje","Porcentaje por Alimentos y/o Bebidas"
"D3_2_opcion2","D3_2_opción2. ¿Cuánto fue el monto?"
"D3_3_opcion","D3_3_opción. Ropa y/o calzado"
"D3_3_monto","Monto por Ropa y/o Calzado"
"D3_3_porcentaje","Porcentaje por Ropa y/o Calzado"
"D3_3_opcion2","D3_3_opción2. ¿Cuánto fue el monto?"
"D3_4_opcion","D3_4_opción. Teléfono personal"
"D3_4_monto","Monto por Teléfono Personal"
"D3_4_porcentaje","Porcentaje por Teléfono Personal"
"D3_4_opcion2","D3_4_opción2. ¿Cuánto fue el monto?"
"D3_5_opcion","D3_5_opción. Becas de estudio"
"D3_5_monto","Monto por Becas de Estudio"
"D3_5_porcentaje","Porcentaje por Becas de Estudio"
"D3_5_opcion2","D3_5_opción2. ¿Cuánto fue el monto?"
"D3_6_opcion","D3_6_opción. Transporte y/o bencina"
"D3_6_monto","Monto por Transporte y/o Bencina"
"D3_6_porcentaje","Porcentaje por Transporte y/o Bencina"
"D3_6_opcion2","D3_6_opción2. ¿Cuánto fue el monto?"
"D3_7_opcion","D3_7_opción. Propinas"
"D3_7_monto","Monto por Propinas"
"D3_7_porcentaje","Porcentaje por Propinas"
"D3_7_opcion2","D3_7_opción2. ¿Cuánto fue el monto?"
"D3_8_opcion","D3_8_opción. Servicio de estacionamiento"
"D3_8_monto","Monto por Servicio de Estacionamiento"
"D3_8_porcentaje","Porcentaje por Servicio de Estacionamiento"
"D3_8_opcion2","D3_8_opción2. ¿Cuánto fue el monto?"
"D3_9_opcion","D3_9_opción. Viáticos"
"D3_9_monto","Monto por Viáticos"
"D3_9_porcentaje","Porcentaje por Viáticos"
"D3_9_opcion2","D3_9_opción2. ¿Cuánto fue el monto?"
"D3_10_opcion","D3_10_opción. Sala Cuna / Jardín Infantil"
"D3_10_monto","Monto por Sala Cuna / Jardín Infantil"
"D3_10_porcentaje","Porcentaje por Sala Cuna / Jardín Infantil"
"D3_10_opcion2","D3_10_opción2. ¿Cuánto fue el monto?"
"D3_11_opcion","D3_11_opción. Otros, teléfono fijo, gas, agua, etc. (especifique)"
"D3_11_otro","D3_11. Otra Situación"
"D3_11_monto","Monto por Otros, Teléfono Fijo, Gas, Agua, etc."
"D3_11_porcentaje","Porcentaje por Otros, Teléfono Fijo, Gas, Agua, etc."
"D3_11_opcion2","D3_11_opción2. ¿Cuánto fue el monto?"
"REG_T","Total Ingresos por Regalías (Beneficios Entregados por el Empleador)"
"ING_T_D","Total Ingresos Sueldos y Salarios"
"DIAS","D4_dias. Este sueldo o salario neto, ¿a cuántos días de trabajo correspondió?"
"HORAS","D4_horas. Este sueldo o salario neto, ¿a cuántas horas diarias de trabajo correspondió?"
"D5_opcion","D5_opción. ¿La actividad que realiza es la misma que la del mes anterior?"
"D5_opcionB","D5_opciónb. Ingresos Independientes"
"D5_monto","Ingresos Como Empleador o Cuenta Propia Mes Anterior"
"D5_promedio","Ingresos Como Empleador o Cuenta Propia Promedio Mensual"
"GAN_T","Ingresos por Ganancias del Negocio Independiente"
"SALUD_OPCION","D6_1. Opción Salud"
"AFP_INP_OPCION","D6_2. Opción AFP ó INP"
"D7_opcion","D7_opción. ¿Usó productos, bienes o servicios de su empresa, negocio o actividad para consumo personal o del hogar?"
"D7_monto","Ingresos por Autoconsumo de Bienes o Servicios Mes Anterior"
"D7_promedio","Ingresos por Autoconsumo de Bienes o Servicios Promedio Mensual"
"AUTOCONSUMO_T","Ingresos por Autoconsumo"
"D8_opcion","D8_opción. ¿Su empresa, negocio o actividad por cuenta propia la lleva a cabo en su vivienda? Independiente si es propia o arrendada"
"D8_monto","¿Cuánto le costaría el arriendo mensual del espacio que utiliza, si tuviera que pagarlo?"
"AHORROIMP_T","Gasto Imputado por Arriendo de Local"
"ING_T_I","Total Ingresos Trabajo Independiente"
"ING_T_I_AI","Ingresos del Trabajo Independiente Ajustado"
"ING_T_P","Ingresos del Trabajo Principal"
"D9_opcion","D9_opción. Ingresos otros trabajos y/o actividades secundarias de ocupados"
"D9_monto","Ingresos Otros Trabajos y/o Actividades Secundarias de Ocupados Mes Anterior"
"D9_promedio","Ingresos Otros Trabajos y/o Actividades Secundarias de Ocupados Promedio Mensual"
"D9_opcionb","D9_opciónb. Ingresos otros trabajos y/o actividades secundarias de desocupados e inactivos"
"D9_montob","Ingresos Otros Trabajos y/o Actividades Secundarias de Desocupados e Inactivos Mes Anterior"
"D9_promediob","Ingresos Otros Trabajos y/o Actividades Secundarias de Desocupados e Inactivos Promedio Mensual"
"ING_OT","Ingresos Otros Trabajos"
"ING_T_T","Total Ingresos del Trabajo"
"ING_T_T_AI","Ingresos del Trabajo con Ingresos Independientes Ajustados"
"D10_opcion","D10_opción. ¿Percibió en el último mes, ingresos por el arriendo de alguna propiedad? Como: Casa, departamento, galpón, estacionamiento, bodega, terreno, instalaciones agrícolas u otra propiedad"
"D10_monto","Ingresos por Arriendo de Alguna Propiedad  Mes Anterior"
"D10_promedio","Ingresos por Arriendo de Alguna Propiedad Promedio Mensual"
"ING_A_P","Ingresos por Arriendo de Alguna Propiedad"
"D11_opcion","D11_opción. ¿Percibió en el último mes, ingresos por el arriendo de otro tipo de bienes? (vehículos, maquinaria, implementos, animales u otros)"
"D11_monto","Ingresos por Arriendo de Otros Bienes Mes Anterior"
"D11_promedio","Ingresos por Arriendo de Otros Bienes Promedio Mensual"
"ING_A_OB","Ingresos por Arriendos de Otros Bienes"
"ING_A_T","Total Ingresos por Arriendos"
"TIPO_VIVIENDA","La vivienda que usted habita es:"
"VIVIENDA_OTRO","Otra Situación"
"D12_monto","D12_monto. Monto Arriendo o Dividendo"
"D12_estimacion","D12_estimación. Estimación de Arriendo"
"DIV_IMP","Dividendo Imputado"
"ALQ_IMP","Alquiler Imputado"
"D13_1_opcion","D13_1_opción. Intereses cuenta de ahorro"
"D13_1_tramo","D13_1_tramo. Intereses cuenta de ahorro"
"ING_CAH","Ingresos Cuenta de Ahorro"
"D13_2_opcion","D13_2_opción. Otros intereses por depósito(s) a plazo, fondos mutuos, etc."
"D13_2_tramo","D13_2_tramo. Otros intereses por depósito(s) a plazo, fondos mutuos, etc."
"ING_INT","Ingresos Intereses"
"D13_3_opcion","D13_3_opción. Dividendo y ganancias por acciones"
"D13_3_tramo","D13_3_tramo. Dividendo y ganancias por acciones"
"ING_DIV","Ingresos por Dividendos"
"ING_P_T","Ingresos por Rentas de la Propiedad"
"D14_1_opcion","D14_1_opción. Jubilación vejez"
"JUBVEJEZ","Ingresos por Jubilación de Vejez"
"D14_2_opcion","D14_2_opción. Jubilación invalidez"
"JUBINVALIDEZ","Ingresos por Jubilaciones de Invalidez"
"D14_3_opcion","D14_3_opción. Montepío o viudez"
"MONTEPIO","Ingresos por Montepío o Viudez"
"ING_JUB","Ingresos por Jubilaciones"
"D14_4_opcion","D14_4_opción. Pensión de orfandad"
"PORFAND","Ingresos por Pensión de Orfandad"
"D14_5_opcion","D14_5_opción. Pensión de discapacidad"
"PDISCAP","Ingresos por Pensión de Discapacidad"
"D14_6_opcion","D14_6_opción. Pensión básica solidaria del Estado"
"PESTADO","Ingresos por Pensión Básica Solidaria del Estado"
"D14_7_opcion","D14_7_opción. Pensión alimenticia"
"PALIMENT","Ingresos por Pensión Alimenticia"
"D14_8_opcion","D14_8_opción. Otras pensiones"
"POTRAS","Ingresos por Otras Pensiones"
"ING_PEN","Ingresos por Pensiones"
"D14_10_opcion","D14_10_opción. Subsidio único familiar"
"SUF","Ingresos por Subsidio Único Familiar"
"D14_12_opcion","D14_12_opción. Otros subsidios del Estado"
"SUBOTROS","Ingresos por Otros Subsidios del Estado"
"ING_SUBE","Ingresos por Subsidios del Estado"
"D14_9_opcion","D14_9_opción. Seguro de desempleo o cesantía"
"ING_SUBC","Ingresos por Seguro de Desempleo o Cesantía"
"D14_11_opcion","D14_11_opción. Beca estudio en dinero"
"BECAEST","Ingresos por Becas de Estudios (Instituciones Públicas y/o Privadas)"
"D14_13_opcion","D14_13_opción. Donaciones hogar a hogar (Nacionales)"
"DONACIONES","Ingresos por Donaciones de Otros Hogares (Nacionales)"
"D14_14_opcion","D14_14_opción. Donaciones desde el exterior"
"REMESAS","Ingresos por Remesas"
"ING_BDR","Total Ingresos por Becas, Donaciones y Remesas"
"ING_DR","Total Ingresos por Donaciones y Remesas"
"D14_15_opcion","D14_15_opción. Por salarios del exterior"
"SALEXT","Total Ingresos por Salarios del Exterior"
"D14_16_opcion","D14_16_opción. Por otra fuente (especifique)"
"D14_16_otro","D14_16. Otro"
"D14_16_monto","D14_16. Monto"
"D14_17_opcion","D14_17_opción. Por otra fuente (especifique)"
"D14_17_otro","D14_17. Otro"
"D14_17_monto","D14_17. Monto"
"OTRAFUENT","Total Ingresos del Exterior por Otras Fuentes"
"ING_OTROS","Total de Ingresos del Exterior"
"ING_AUT_CB","Total Ingreso Autónomo con Transferencias en Educación (CB)"
"ING_AUT_SB","Total Ingreso Autónomo sin Transferencias en Educación (SB)"
"ING_MON_CB","Total Ingreso Monetario con Transferencias en Educación (CB)"
"ING_MON_SB","Total Ingreso Monetario sin Transferencias en Educación (SB)"
"CSE_ESPECIFICO","Código Sumario Empleo Específico"
"FACT","Factor de Expansión Trimestral de la NENE"
"F_PERS","Factor de Expansión por Sección Ajustado al Total de Población del Estrato H"
"FACT_PER","Factor de Expansión de Personas ESI"
"FACT_HOG","Factor de Expansión de Hogares ESI"
"OCUP_REF","Binario Ocupados de Referencia Tabulados de Personas"
"TIM","Tramos de Ingresos Mínimos Netos según Ingresos del Trabajo Principal"
"DECILH_CB","Decil Ingresos del Hogar con Transferencias en Educación (CB)"
"DECILH_SB","Decil Ingresos del Hogar sin Transferencias en Educación (SB)"
