nem,puntaje_nem_grupo_a,puntaje_nem_grupo_b,puntaje_nem_grupo_c
5.53,523,527,525
5.54,526,529,527
5.55,528,531,529
5.56,530,533,531
5.57,532,535,533
5.58,534,537,535
5.59,536,539,537
5.6,538,541,539
5.61,540,543,541
5.62,542,545,543
5.63,544,547,545
5.64,546,549,548
5.65,548,551,550
5.66,550,553,552
5.67,552,555,554
5.68,554,557,556
5.69,556,559,558
5.7,558,561,560
5.71,560,563,562
5.72,562,565,564
5.73,564,567,566
5.74,567,570,568
5.75,569,572,570
5.76,571,574,572
5.77,573,576,574
5.78,575,578,576
5.79,577,580,578
5.8,579,582,580
5.81,581,584,582
5.82,583,586,584
5.83,585,588,586
5.84,587,590,589
5.85,589,592,591
5.86,591,594,593
5.87,593,596,595
5.88,595,598,597
5.89,597,600,599
5.9,599,602,601
5.91,601,604,603
5.92,603,606,605
5.93,605,608,607
5.94,608,610,609
5.95,610,612,611
5.96,612,614,613
5.97,614,616,615
5.98,616,618,617
5.99,618,620,619
6,620,622,621
6.01,622,624,623
6.02,624,626,625
6.03,626,628,627
6.04,629,630,629
6.05,631,632,631
6.06,633,634,633
6.07,635,636,635
6.08,637,638,637
6.09,639,640,639
6.1,641,642,641
6.11,643,644,643
6.12,645,646,645
6.13,647,648,647
6.14,649,650,650
6.15,651,652,652
6.16,653,654,654
6.17,655,656,656
6.18,657,658,658
6.19,659,660,660
6.2,661,662,662
6.21,663,664,664
6.22,665,666,666
6.23,667,668,668
6.24,670,671,670
6.25,672,673,672
6.26,674,675,674
6.27,676,677,676
6.28,678,679,678
6.29,680,681,680
6.3,682,683,682
6.31,684,685,684
6.32,686,687,686
6.33,688,689,688
6.34,690,691,691
6.35,692,693,693
6.36,694,695,695
6.37,696,697,697
6.38,698,699,699
6.39,700,701,701
6.4,702,703,703
6.41,704,705,705
6.42,706,707,707
6.43,708,709,709
6.44,711,711,711
6.45,713,713,713
6.46,715,715,715
6.47,717,717,717
6.48,719,719,719
6.49,721,721,721
6.5,723,723,723
6.51,725,725,725
6.52,727,727,727
6.53,729,729,729
6.54,732,731,731
6.55,734,733,733
6.56,736,735,735
6.57,738,737,737
6.58,740,739,739
6.59,742,741,741
6.6,744,743,743
6.61,746,745,745
6.62,748,747,747
6.63,750,749,749
6.64,752,751,752
6.65,754,753,754
6.66,756,755,756
6.67,758,757,758
6.68,760,759,760
6.69,762,761,762
6.7,764,763,764
6.71,766,765,766
6.72,768,767,768
6.73,770,769,770
6.74,773,772,772
6.75,775,774,774
6.76,777,776,776
6.77,779,778,778
6.78,781,780,780
6.79,783,782,782
6.8,785,784,784
6.81,787,786,786
6.82,789,788,788
6.83,791,790,790
6.84,793,792,793
6.85,795,794,795
6.86,797,796,797
6.87,799,798,799
6.88,801,800,801
6.89,803,802,803
6.9,805,804,805
6.91,807,806,807
6.92,809,808,809
6.93,811,810,811
6.94,814,812,813
6.95,816,814,815
6.96,818,816,817
6.97,820,818,819
6.98,822,820,821
6.99,824,822,823
7,826,824,825
