"","sexo","rama","comuna","2011","2013","2015"
"52","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Alto Hospicio",369440,436757,441154
"53","Hombre","Administración Pública y Defensa","Alto Hospicio",472618,511289,556789
"54","Hombre","Enseñanza","Alto Hospicio",490704,630000,555652
"55","Hombre","Servicios Sociales y de Salud","Alto Hospicio",404780,550000,349125
"56","Hombre","Servicios Comunitarios, Sociales y Personales","Alto Hospicio",453185,344737,442667
"57","Hombre","Servicio Doméstico","Alto Hospicio",224200,286250,279375
"58","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Ancud",243706,151643,294747
"59","Hombre","Pesca","Ancud",256830,238165,270682
"60","Hombre","Industrias Manufactureras","Ancud",250292,229348,289255
"61","Hombre","Electricidad, Gas y Agua","Ancud",382900,NA,NA
"62","Hombre","Construcción","Ancud",322850,345320,277562
"63","Hombre","Comercio","Ancud",455637,403856,289171
"64","Hombre","Hoteles y Restaurantes","Ancud",286595,160000,168000
"65","Hombre","Transporte, Almacenamiento y Comunicaciones","Ancud",491582,249320,392609
"66","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Ancud",153561,400286,720000
"67","Hombre","Administración Pública y Defensa","Ancud",548368,813333,459578
"68","Hombre","Enseñanza","Ancud",368678,387795,611250
"69","Hombre","Servicios Sociales y de Salud","Ancud",237945,829271,390000
"70","Hombre","Servicios Comunitarios, Sociales y Personales","Ancud",183300,176667,296250
"71","Hombre","Servicio Doméstico","Ancud",123240,167500,217778
"72","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Andacollo",204465,143000,142500
"73","Hombre","Explotación de Minas y Canteras","Andacollo",428327,437581,414574
"74","Hombre","Industrias Manufactureras","Andacollo",442936,5e+05,388333
"75","Hombre","Electricidad, Gas y Agua","Andacollo",328200,NA,210000
"76","Hombre","Construcción","Andacollo",338941,267500,339853
"77","Hombre","Comercio","Andacollo",328695,306667,213333
"78","Hombre","Transporte, Almacenamiento y Comunicaciones","Andacollo",616200,402500,3e+05
"79","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Andacollo",917866,229979,350000
"80","Hombre","Administración Pública y Defensa","Andacollo",202390,NA,458528
"81","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Angol",223456,254996,338714
"82","Hombre","Explotación de Minas y Canteras","Angol",218910,380000,687000
"83","Hombre","Industrias Manufactureras","Angol",365610,354483,471760
"84","Hombre","Construcción","Angol",367265,430939,313085
"85","Hombre","Comercio","Angol",259882,322702,395472
"86","Hombre","Hoteles y Restaurantes","Angol",131280,298667,210250
"87","Hombre","Transporte, Almacenamiento y Comunicaciones","Angol",303340,366138,345800
"88","Hombre","Intermediación Financiera","Angol",376200,270000,NA
"89","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Angol",681429,408000,468000
"90","Hombre","Administración Pública y Defensa","Angol",770948,717300,621638
"91","Hombre","Enseñanza","Angol",531137,536077,512571
"92","Hombre","Servicios Sociales y de Salud","Angol",147690,961667,523330
"93","Hombre","Servicios Comunitarios, Sociales y Personales","Angol",178772,230000,275714
"94","Hombre","Servicio Doméstico","Angol",266800,185177,177500
"95","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Antofagasta",361802,298784,354503
"96","Hombre","Pesca","Antofagasta",340623,4e+05,233158
"97","Hombre","Explotación de Minas y Canteras","Antofagasta",834890,856824,943417
"98","Hombre","Industrias Manufactureras","Antofagasta",669181,536472,779604
"99","Hombre","Electricidad, Gas y Agua","Antofagasta",600144,664615,1000342
"100","Hombre","Construcción","Antofagasta",555301,468962,533277
"101","Hombre","Comercio","Antofagasta",523599,484214,477062
"102","Hombre","Hoteles y Restaurantes","Antofagasta",604620,353469,673226
"103","Hombre","Transporte, Almacenamiento y Comunicaciones","Antofagasta",548412,515161,535926
"104","Hombre","Intermediación Financiera","Antofagasta",806405,706250,725000
"105","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Antofagasta",710817,848064,782040
"106","Hombre","Administración Pública y Defensa","Antofagasta",720606,690458,651456
"107","Hombre","Enseñanza","Antofagasta",731240,758333,734091
"108","Hombre","Servicios Sociales y de Salud","Antofagasta",802483,869333,676667
"109","Hombre","Servicios Comunitarios, Sociales y Personales","Antofagasta",420111,520666,428462
"110","Hombre","Servicio Doméstico","Antofagasta",280270,642895,425000
"111","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Antuco",131280,176667,177778
"112","Hombre","Explotación de Minas y Canteras","Antuco",211507,569796,730000
"113","Hombre","Electricidad, Gas y Agua","Antuco",361020,210000,599333
"114","Hombre","Construcción","Antuco",203265,301136,329813
"115","Hombre","Comercio","Antuco",1914240,156667,150000
"116","Hombre","Hoteles y Restaurantes","Antuco",109400,NA,NA
"117","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Antuco",102700,NA,580000
"118","Hombre","Administración Pública y Defensa","Antuco",382900,350000,653750
"119","Hombre","Servicios Sociales y de Salud","Antuco",218800,NA,740000
"120","Hombre","Servicio Doméstico","Antuco",61620,210000,20000
"121","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Arauco",283292,289835,485923
"122","Hombre","Pesca","Arauco",180693,96667,281990
"123","Hombre","Industrias Manufactureras","Arauco",353877,389716,426555
"124","Hombre","Electricidad, Gas y Agua","Arauco",246150,NA,379974
"125","Hombre","Construcción","Arauco",293578,298640,260000
"126","Hombre","Comercio","Arauco",335149,297000,340517
"127","Hombre","Transporte, Almacenamiento y Comunicaciones","Arauco",360247,261493,4e+05
"128","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Arauco",346433,175000,338333
"129","Hombre","Administración Pública y Defensa","Arauco",191450,370000,436000
"130","Hombre","Servicios Sociales y de Salud","Arauco",273500,433333,443333
"131","Hombre","Servicio Doméstico","Arauco",308100,1e+05,NA
"132","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Arica",381520,253544,292062
"133","Hombre","Pesca","Arica",397587,362787,463333
"134","Hombre","Explotación de Minas y Canteras","Arica",703981,540527,724710
"135","Hombre","Industrias Manufactureras","Arica",414881,319809,335562
"136","Hombre","Electricidad, Gas y Agua","Arica",432641,565268,437500
"137","Hombre","Construcción","Arica",352486,280969,367727
"138","Hombre","Comercio","Arica",358166,282685,297412
"139","Hombre","Hoteles y Restaurantes","Arica",302245,284219,310990
"140","Hombre","Transporte, Almacenamiento y Comunicaciones","Arica",485782,323316,411997
"141","Hombre","Intermediación Financiera","Arica",352689,432143,260000
"142","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Arica",632210,426752,776875
"143","Hombre","Administración Pública y Defensa","Arica",673585,688961,659348
"144","Hombre","Enseñanza","Arica",577587,510840,734648
"145","Hombre","Servicios Sociales y de Salud","Arica",486787,537825,875083
"146","Hombre","Servicios Comunitarios, Sociales y Personales","Arica",317241,273420,300971
"147","Hombre","Servicio Doméstico","Arica",229290,194500,2e+05
"148","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Aysén",264505,222584,471996
"149","Hombre","Pesca","Aysén",390455,332063,446164
"150","Hombre","Explotación de Minas y Canteras","Aysén",404561,531944,553571
"151","Hombre","Industrias Manufactureras","Aysén",364459,408724,224286
"152","Hombre","Electricidad, Gas y Agua","Aysén",306320,388750,290000
"153","Hombre","Construcción","Aysén",433647,337448,444289
"154","Hombre","Comercio","Aysén",435007,343595,342250
"155","Hombre","Hoteles y Restaurantes","Aysén",381657,395625,1e+06
"156","Hombre","Transporte, Almacenamiento y Comunicaciones","Aysén",494023,440447,408667
"157","Hombre","Intermediación Financiera","Aysén",328200,NA,717000
"158","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Aysén",1022684,390000,413714
"159","Hombre","Administración Pública y Defensa","Aysén",759783,628822,821500
"160","Hombre","Enseñanza","Aysén",825287,1002857,619857
"161","Hombre","Servicios Sociales y de Salud","Aysén",1119982,651112,483333
"162","Hombre","Servicios Comunitarios, Sociales y Personales","Aysén",425256,400833,326667
"163","Hombre","Servicio Doméstico","Aysén",256750,6e+05,1e+05
"164","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Buin",330633,257475,280236
"165","Hombre","Industrias Manufactureras","Buin",461279,280500,361786
"166","Hombre","Electricidad, Gas y Agua","Buin",280611,NA,NA
"167","Hombre","Construcción","Buin",452806,312500,417286
"168","Hombre","Comercio","Buin",388086,317385,369030
"169","Hombre","Transporte, Almacenamiento y Comunicaciones","Buin",635084,302541,310625
"170","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Buin",932401,917909,274389
"171","Hombre","Administración Pública y Defensa","Buin",695114,782500,1158704
"172","Hombre","Enseñanza","Buin",355550,333333,550000
"173","Hombre","Servicios Sociales y de Salud","Buin",382900,1208004,NA
"174","Hombre","Servicios Comunitarios, Sociales y Personales","Buin",298471,420000,465000
"175","Hombre","Servicio Doméstico","Buin",241353,NA,288079
"176","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Bulnes",203986,131136,173750
"177","Hombre","Industrias Manufactureras","Bulnes",307051,218500,286000
"178","Hombre","Electricidad, Gas y Agua","Bulnes",277876,170000,NA
"179","Hombre","Construcción","Bulnes",202023,3e+05,197667
"180","Hombre","Comercio","Bulnes",229109,123333,327500
"181","Hombre","Hoteles y Restaurantes","Bulnes",164320,NA,NA
"182","Hombre","Transporte, Almacenamiento y Comunicaciones","Bulnes",235757,158333,521513
"183","Hombre","Administración Pública y Defensa","Bulnes",255267,357750,396000
"184","Hombre","Enseñanza","Bulnes",210595,487500,660000
"185","Hombre","Servicios Sociales y de Salud","Bulnes",257090,NA,210000
"186","Hombre","Servicio Doméstico","Bulnes",218800,180000,NA
"187","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cabildo",231376,214164,301150
"188","Hombre","Explotación de Minas y Canteras","Cabildo",418711,474611,431258
"189","Hombre","Industrias Manufactureras","Cabildo",311563,210000,NA
"190","Hombre","Construcción","Cabildo",318150,310000,285250
"191","Hombre","Comercio","Cabildo",303860,234286,322857
"192","Hombre","Transporte, Almacenamiento y Comunicaciones","Cabildo",321932,412570,480902
"193","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cabildo",333500,3e+05,NA
"194","Hombre","Enseñanza","Cabildo",538662,2e+05,3e+05
"195","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cabrero",351805,227647,309000
"196","Hombre","Explotación de Minas y Canteras","Cabrero",199108,450000,NA
"197","Hombre","Industrias Manufactureras","Cabrero",338534,287726,351865
"198","Hombre","Electricidad, Gas y Agua","Cabrero",235210,NA,305694
"199","Hombre","Construcción","Cabrero",244181,281621,333500
"200","Hombre","Comercio","Cabrero",343211,246667,315632
"201","Hombre","Transporte, Almacenamiento y Comunicaciones","Cabrero",346433,232500,300513
"202","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cabrero",457910,326667,5e+05
"203","Hombre","Administración Pública y Defensa","Cabrero",954697,205000,420500
"204","Hombre","Servicios Comunitarios, Sociales y Personales","Cabrero",218800,NA,180000
"205","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Calama",215859,298571,251000
"206","Hombre","Explotación de Minas y Canteras","Calama",714556,834941,874631
"207","Hombre","Industrias Manufactureras","Calama",506974,573156,590460
"208","Hombre","Electricidad, Gas y Agua","Calama",445805,725000,712500
"209","Hombre","Construcción","Calama",620868,423637,580774
"210","Hombre","Comercio","Calama",522075,344662,448718
"211","Hombre","Hoteles y Restaurantes","Calama",441219,291667,1094742
"212","Hombre","Transporte, Almacenamiento y Comunicaciones","Calama",520059,410676,676464
"213","Hombre","Intermediación Financiera","Calama",464950,413464,1200000
"214","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Calama",584214,753041,579215
"215","Hombre","Administración Pública y Defensa","Calama",476315,531667,710714
"216","Hombre","Enseñanza","Calama",638332,768000,938329
"217","Hombre","Servicios Sociales y de Salud","Calama",520136,574000,466000
"218","Hombre","Servicios Comunitarios, Sociales y Personales","Calama",429297,302467,556644
"219","Hombre","Servicio Doméstico","Calama",296567,433333,320000
"220","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Calbuco",261614,131961,194504
"221","Hombre","Pesca","Calbuco",284605,242174,330160
"222","Hombre","Explotación de Minas y Canteras","Calbuco",306320,160000,NA
"223","Hombre","Industrias Manufactureras","Calbuco",289894,258750,285632
"224","Hombre","Construcción","Calbuco",321899,183750,279231
"225","Hombre","Comercio","Calbuco",392350,196310,252119
"226","Hombre","Hoteles y Restaurantes","Calbuco",199150,5e+05,241000
"227","Hombre","Transporte, Almacenamiento y Comunicaciones","Calbuco",342926,263000,249939
"228","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Calbuco",348850,NA,7e+06
"229","Hombre","Administración Pública y Defensa","Calbuco",350900,240000,846667
"230","Hombre","Enseñanza","Calbuco",359051,793333,920000
"231","Hombre","Servicios Sociales y de Salud","Calbuco",328200,652000,3e+05
"232","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Caldera",288503,168000,NA
"233","Hombre","Pesca","Caldera",582818,294318,413667
"234","Hombre","Explotación de Minas y Canteras","Caldera",515515,620889,650000
"235","Hombre","Industrias Manufactureras","Caldera",318226,483001,376667
"236","Hombre","Electricidad, Gas y Agua","Caldera",273500,180000,750000
"237","Hombre","Construcción","Caldera",361622,304048,412500
"238","Hombre","Comercio","Caldera",524543,174500,513846
"239","Hombre","Hoteles y Restaurantes","Caldera",536398,242500,378571
"240","Hombre","Transporte, Almacenamiento y Comunicaciones","Caldera",891368,430000,504167
"241","Hombre","Intermediación Financiera","Caldera",274868,7e+05,NA
"242","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Caldera",741258,7e+05,491667
"243","Hombre","Administración Pública y Defensa","Caldera",377430,525000,631200
"244","Hombre","Enseñanza","Caldera",492300,505000,350000
"245","Hombre","Servicios Sociales y de Salud","Caldera",612300,506667,160000
"246","Hombre","Servicios Comunitarios, Sociales y Personales","Caldera",605040,280000,NA
"247","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Calera",304454,250000,261606
"248","Hombre","Explotación de Minas y Canteras","Calera",570393,589134,814986
"249","Hombre","Industrias Manufactureras","Calera",372012,320282,587232
"250","Hombre","Electricidad, Gas y Agua","Calera",328200,365000,5e+05
"251","Hombre","Construcción","Calera",271772,327105,320682
"252","Hombre","Comercio","Calera",240893,225565,259477
"253","Hombre","Hoteles y Restaurantes","Calera",175040,189000,3e+05
"254","Hombre","Transporte, Almacenamiento y Comunicaciones","Calera",264985,218571,376409
"255","Hombre","Intermediación Financiera","Calera",1969200,808400,526667
"256","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Calera",375423,643333,325400
"257","Hombre","Administración Pública y Defensa","Calera",564386,6e+05,260000
"258","Hombre","Enseñanza","Calera",259643,370000,426138
"259","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Calera de Tango",256839,240000,337857
"260","Hombre","Industrias Manufactureras","Calera de Tango",345910,236667,366335
"261","Hombre","Construcción","Calera de Tango",328200,278000,350000
"262","Hombre","Comercio","Calera de Tango",490546,251202,347363
"263","Hombre","Transporte, Almacenamiento y Comunicaciones","Calera de Tango",304596,526250,471715
"264","Hombre","Intermediación Financiera","Calera de Tango",747567,425000,NA
"265","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Calera de Tango",1362168,210000,815197
"266","Hombre","Administración Pública y Defensa","Calera de Tango",229740,383333,1347698
"267","Hombre","Enseñanza","Calera de Tango",3944245,280000,240000
"268","Hombre","Servicios Comunitarios, Sociales y Personales","Calera de Tango",409794,230000,360000
"269","Hombre","Servicio Doméstico","Calera de Tango",236985,295000,247250
"270","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Calle Larga",235272,225333,264374
"271","Hombre","Explotación de Minas y Canteras","Calle Larga",805474,766924,1012500
"272","Hombre","Industrias Manufactureras","Calle Larga",240680,195000,6e+05
"273","Hombre","Construcción","Calle Larga",795157,310000,279296
"274","Hombre","Comercio","Calle Larga",345536,258889,570000
"275","Hombre","Hoteles y Restaurantes","Calle Larga",189627,NA,3e+05
"276","Hombre","Transporte, Almacenamiento y Comunicaciones","Calle Larga",233897,167500,593286
"277","Hombre","Administración Pública y Defensa","Calle Larga",255267,210000,4e+05
"278","Hombre","Enseñanza","Calle Larga",1721227,779616,515000
"279","Hombre","Servicios Sociales y de Salud","Calle Larga",1170298,NA,4e+05
"280","Hombre","Servicios Comunitarios, Sociales y Personales","Calle Larga",328200,230000,NA
"281","Hombre","Servicio Doméstico","Calle Larga",246480,190000,NA
"282","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Camarones",325572,136667,112778
"283","Hombre","Pesca","Camarones",470733,50000,NA
"284","Hombre","Industrias Manufactureras","Camarones",184860,250000,182500
"285","Hombre","Comercio","Camarones",123240,193333,NA
"286","Hombre","Administración Pública y Defensa","Camarones",284166,507501,NA
"287","Hombre","Servicios Comunitarios, Sociales y Personales","Camarones",109400,NA,1e+05
"288","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Camiña",584786,119615,95130
"289","Hombre","Construcción","Camiña",262560,NA,850000
"290","Hombre","Transporte, Almacenamiento y Comunicaciones","Camiña",270150,325000,NA
"291","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Canela",198288,115000,216543
"292","Hombre","Explotación de Minas y Canteras","Canela",382157,423071,465714
"293","Hombre","Industrias Manufactureras","Canela",218800,NA,1200000
"294","Hombre","Electricidad, Gas y Agua","Canela",131280,NA,490000
"295","Hombre","Construcción","Canela",454428,213333,286944
"296","Hombre","Comercio","Canela",240787,161683,291667
"297","Hombre","Transporte, Almacenamiento y Comunicaciones","Canela",348713,340000,377750
"298","Hombre","Administración Pública y Defensa","Canela",273500,490000,383222
"299","Hombre","Servicios Sociales y de Salud","Canela",656400,NA,2100000
"300","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cañete",180276,246667,209393
"301","Hombre","Pesca","Cañete",318370,NA,NA
"302","Hombre","Industrias Manufactureras","Cañete",219860,171619,258150
"303","Hombre","Electricidad, Gas y Agua","Cañete",141126,170000,308750
"304","Hombre","Construcción","Cañete",221734,229121,273700
"305","Hombre","Comercio","Cañete",173767,227833,217787
"306","Hombre","Hoteles y Restaurantes","Cañete",218800,NA,257500
"307","Hombre","Transporte, Almacenamiento y Comunicaciones","Cañete",257289,232500,284864
"308","Hombre","Intermediación Financiera","Cañete",361020,NA,743667
"309","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cañete",886140,5e+05,463750
"310","Hombre","Administración Pública y Defensa","Cañete",357373,259500,485330
"311","Hombre","Enseñanza","Cañete",464950,392500,497857
"312","Hombre","Servicios Sociales y de Salud","Cañete",240680,NA,702200
"313","Hombre","Servicios Comunitarios, Sociales y Personales","Cañete",155348,NA,198333
"314","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Carahue",230119,381499,143887
"315","Hombre","Industrias Manufactureras","Carahue",345945,180000,268200
"316","Hombre","Construcción","Carahue",247535,415000,332710
"317","Hombre","Comercio","Carahue",311189,190419,222632
"318","Hombre","Hoteles y Restaurantes","Carahue",1643200,156667,160000
"319","Hombre","Transporte, Almacenamiento y Comunicaciones","Carahue",258700,518571,320197
"320","Hombre","Administración Pública y Defensa","Carahue",396575,366667,1225000
"321","Hombre","Enseñanza","Carahue",638896,416559,368750
"322","Hombre","Servicios Sociales y de Salud","Carahue",468232,451000,NA
"323","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cartagena",379884,184520,316605
"324","Hombre","Explotación de Minas y Canteras","Cartagena",218800,2e+05,419606
"325","Hombre","Industrias Manufactureras","Cartagena",182927,231667,325000
"326","Hombre","Construcción","Cartagena",442429,240000,316667
"327","Hombre","Comercio","Cartagena",286615,268571,256000
"328","Hombre","Transporte, Almacenamiento y Comunicaciones","Cartagena",326834,341344,388889
"329","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cartagena",409842,3e+05,280471
"330","Hombre","Servicios Sociales y de Salud","Cartagena",1232400,270000,NA
"331","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Casablanca",226353,187981,284889
"332","Hombre","Industrias Manufactureras","Casablanca",266564,362529,357750
"333","Hombre","Electricidad, Gas y Agua","Casablanca",255267,NA,990000
"334","Hombre","Construcción","Casablanca",282161,294101,308107
"335","Hombre","Comercio","Casablanca",436627,417053,289333
"336","Hombre","Hoteles y Restaurantes","Casablanca",196920,324353,280000
"337","Hombre","Transporte, Almacenamiento y Comunicaciones","Casablanca",237025,438492,373889
"338","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Casablanca",198014,290000,205667
"339","Hombre","Administración Pública y Defensa","Casablanca",862801,410593,NA
"340","Hombre","Enseñanza","Casablanca",579820,386667,133333
"341","Hombre","Servicios Sociales y de Salud","Casablanca",262560,NA,1050000
"342","Hombre","Servicios Comunitarios, Sociales y Personales","Casablanca",178687,NA,2e+05
"343","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Castro",208352,152982,218381
"344","Hombre","Pesca","Castro",415768,355342,328409
"345","Hombre","Industrias Manufactureras","Castro",359196,262843,370604
"346","Hombre","Electricidad, Gas y Agua","Castro",191450,280000,330500
"347","Hombre","Construcción","Castro",313902,303631,322452
"348","Hombre","Comercio","Castro",477256,260115,320921
"349","Hombre","Hoteles y Restaurantes","Castro",345528,363246,266757
"350","Hombre","Transporte, Almacenamiento y Comunicaciones","Castro",555796,457919,403697
"351","Hombre","Intermediación Financiera","Castro",896400,9e+05,670000
"352","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Castro",1592088,445992,570672
"353","Hombre","Administración Pública y Defensa","Castro",591672,425000,835333
"354","Hombre","Enseñanza","Castro",398702,523333,667778
"355","Hombre","Servicios Sociales y de Salud","Castro",646828,190000,932327
"356","Hombre","Servicios Comunitarios, Sociales y Personales","Castro",2811059,312500,386759
"357","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Catemu",229756,212400,290718
"358","Hombre","Explotación de Minas y Canteras","Catemu",426660,434286,490000
"359","Hombre","Industrias Manufactureras","Catemu",313372,240000,483333
"360","Hombre","Construcción","Catemu",352998,269321,258402
"361","Hombre","Comercio","Catemu",287171,310374,197384
"362","Hombre","Hoteles y Restaurantes","Catemu",492960,NA,NA
"363","Hombre","Administración Pública y Defensa","Catemu",397509,280000,NA
"364","Hombre","Enseñanza","Catemu",578726,364934,9e+05
"365","Hombre","Servicios Comunitarios, Sociales y Personales","Catemu",269124,2e+06,245000
"366","Hombre","Servicio Doméstico","Catemu",308100,NA,241000
"367","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cauquenes",200143,234327,220703
"368","Hombre","Explotación de Minas y Canteras","Cauquenes",210048,306667,191000
"369","Hombre","Industrias Manufactureras","Cauquenes",322823,243204,264743
"370","Hombre","Construcción","Cauquenes",191118,230125,267361
"371","Hombre","Comercio","Cauquenes",249092,306667,288399
"372","Hombre","Transporte, Almacenamiento y Comunicaciones","Cauquenes",214878,205000,295726
"373","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cauquenes",513500,2e+05,230000
"374","Hombre","Administración Pública y Defensa","Cauquenes",559696,540000,441426
"375","Hombre","Enseñanza","Cauquenes",318901,660000,303470
"376","Hombre","Servicios Sociales y de Salud","Cauquenes",513500,NA,465000
"377","Hombre","Servicios Comunitarios, Sociales y Personales","Cauquenes",271769,280000,237500
"378","Hombre","Servicio Doméstico","Cauquenes",87520,1e+05,NA
"379","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cerrillos",205400,NA,NA
"380","Hombre","Explotación de Minas y Canteras","Cerrillos",318354,432500,1100000
"381","Hombre","Industrias Manufactureras","Cerrillos",309876,422367,426656
