"","sexo","region","rama","2011","2013","2015"
"111","Hombre","Bíobío","Hoteles y Restaurantes",356197,289970,358012
"112","Hombre","Coquimbo","Hoteles y Restaurantes",575065,427573,466460
"113","Hombre","Los Lagos","Hoteles y Restaurantes",358832,309730,376651
"114","Hombre","Los Ríos","Hoteles y Restaurantes",524755,303191,298333
"115","Hombre","Magallanes","Hoteles y Restaurantes",470200,590284,512440
"116","Hombre","Maule","Hoteles y Restaurantes",400625,272422,345702
"117","Hombre","Metropolitana","Hoteles y Restaurantes",443423,351875,399583
"118","Hombre","O'Higgins","Hoteles y Restaurantes",353079,312990,387057
"119","Hombre","Tarapacá","Hoteles y Restaurantes",429013,377002,406400
"120","Hombre","Valparaíso","Hoteles y Restaurantes",297089,294280,309242
"121","Hombre","Antofagasta","Transporte, Almacenamiento y Comunicaciones",543210,485810,602325
"122","Hombre","Araucanía","Transporte, Almacenamiento y Comunicaciones",352940,306056,341662
"123","Hombre","Arica y Parinacota","Transporte, Almacenamiento y Comunicaciones",485782,323283,410535
"124","Hombre","Atacama","Transporte, Almacenamiento y Comunicaciones",566471,512267,537752
"125","Hombre","Aysén","Transporte, Almacenamiento y Comunicaciones",513753,438519,449466
"126","Hombre","Bíobío","Transporte, Almacenamiento y Comunicaciones",377140,334175,396780
"127","Hombre","Coquimbo","Transporte, Almacenamiento y Comunicaciones",417020,368475,367310
"128","Hombre","Los Lagos","Transporte, Almacenamiento y Comunicaciones",391725,378809,369164
"129","Hombre","Los Ríos","Transporte, Almacenamiento y Comunicaciones",408652,320725,345830
"130","Hombre","Magallanes","Transporte, Almacenamiento y Comunicaciones",839185,507993,501125
"131","Hombre","Maule","Transporte, Almacenamiento y Comunicaciones",375065,352340,414594
"132","Hombre","Metropolitana","Transporte, Almacenamiento y Comunicaciones",516650,471986,565819
"133","Hombre","O'Higgins","Transporte, Almacenamiento y Comunicaciones",407064,310269,420143
"134","Hombre","Tarapacá","Transporte, Almacenamiento y Comunicaciones",506139,437445,447459
"135","Hombre","Valparaíso","Transporte, Almacenamiento y Comunicaciones",436804,428640,462878
"136","Hombre","Antofagasta","Intermediación Financiera",739536,646411,819645
"137","Hombre","Araucanía","Intermediación Financiera",590452,508125,899376
"138","Hombre","Arica y Parinacota","Intermediación Financiera",352689,432143,260000
"139","Hombre","Atacama","Intermediación Financiera",672013,655000,725000
"140","Hombre","Aysén","Intermediación Financiera",504135,590000,1120667
"141","Hombre","Bíobío","Intermediación Financiera",412722,649099,734608
"142","Hombre","Coquimbo","Intermediación Financiera",1376742,719102,680000
"143","Hombre","Los Lagos","Intermediación Financiera",581903,569681,679958
"144","Hombre","Los Ríos","Intermediación Financiera",567774,562500,580455
"145","Hombre","Magallanes","Intermediación Financiera",449634,736667,1100000
"146","Hombre","Maule","Intermediación Financiera",533113,874403,634025
"147","Hombre","Metropolitana","Intermediación Financiera",1257510,977528,1255184
"148","Hombre","O'Higgins","Intermediación Financiera",489284,606471,720592
"149","Hombre","Tarapacá","Intermediación Financiera",576951,761144,1352500
"150","Hombre","Valparaíso","Intermediación Financiera",981206,888383,700730
"151","Hombre","Antofagasta","Actividades Inmobiliarias, Empresariales y de Alquiler",668774,821658,683483
"152","Hombre","Araucanía","Actividades Inmobiliarias, Empresariales y de Alquiler",587606,475355,591718
"153","Hombre","Arica y Parinacota","Actividades Inmobiliarias, Empresariales y de Alquiler",632210,426752,772778
"154","Hombre","Atacama","Actividades Inmobiliarias, Empresariales y de Alquiler",625334,816807,682970
"155","Hombre","Aysén","Actividades Inmobiliarias, Empresariales y de Alquiler",878122,498919,671182
"156","Hombre","Bíobío","Actividades Inmobiliarias, Empresariales y de Alquiler",518760,571016,542259
"157","Hombre","Coquimbo","Actividades Inmobiliarias, Empresariales y de Alquiler",466335,567339,758253
"158","Hombre","Los Lagos","Actividades Inmobiliarias, Empresariales y de Alquiler",603396,476830,555771
"159","Hombre","Los Ríos","Actividades Inmobiliarias, Empresariales y de Alquiler",492686,469387,572760
"160","Hombre","Magallanes","Actividades Inmobiliarias, Empresariales y de Alquiler",812306,529676,996984
"161","Hombre","Maule","Actividades Inmobiliarias, Empresariales y de Alquiler",478852,515003,601577
"162","Hombre","Metropolitana","Actividades Inmobiliarias, Empresariales y de Alquiler",1063494,1048032,1107045
"163","Hombre","O'Higgins","Actividades Inmobiliarias, Empresariales y de Alquiler",599626,646482,685365
"164","Hombre","Tarapacá","Actividades Inmobiliarias, Empresariales y de Alquiler",568251,646021,694390
"165","Hombre","Valparaíso","Actividades Inmobiliarias, Empresariales y de Alquiler",680340,786572,687300
"166","Hombre","Antofagasta","Administración Pública y Defensa",638571,619964,667807
"167","Hombre","Araucanía","Administración Pública y Defensa",523156,546880,601742
"168","Hombre","Arica y Parinacota","Administración Pública y Defensa",661139,676552,582644
"169","Hombre","Atacama","Administración Pública y Defensa",553279,693036,759815
"170","Hombre","Aysén","Administración Pública y Defensa",837953,870794,889202
"171","Hombre","Bíobío","Administración Pública y Defensa",507774,484639,562451
"172","Hombre","Coquimbo","Administración Pública y Defensa",453819,448042,600701
"173","Hombre","Los Lagos","Administración Pública y Defensa",562139,530284,661922
"174","Hombre","Los Ríos","Administración Pública y Defensa",537177,574351,553893
"175","Hombre","Magallanes","Administración Pública y Defensa",740799,708712,797593
"176","Hombre","Maule","Administración Pública y Defensa",464280,530020,541486
"177","Hombre","Metropolitana","Administración Pública y Defensa",791802,722370,882970
"178","Hombre","O'Higgins","Administración Pública y Defensa",486956,482905,539453
"179","Hombre","Tarapacá","Administración Pública y Defensa",665916,702781,675772
"180","Hombre","Valparaíso","Administración Pública y Defensa",552354,588702,699241
"181","Hombre","Antofagasta","Enseñanza",708122,758800,682340
"182","Hombre","Araucanía","Enseñanza",517558,510787,515760
"183","Hombre","Arica y Parinacota","Enseñanza",573851,520103,731205
"184","Hombre","Atacama","Enseñanza",563240,654742,650240
"185","Hombre","Aysén","Enseñanza",685087,736113,902988
"186","Hombre","Bíobío","Enseñanza",503545,525326,616201
"187","Hombre","Coquimbo","Enseñanza",452084,487245,544363
"188","Hombre","Los Lagos","Enseñanza",516297,559810,573775
"189","Hombre","Los Ríos","Enseñanza",494201,540451,502869
"190","Hombre","Magallanes","Enseñanza",737596,734000,704522
"191","Hombre","Maule","Enseñanza",425139,530616,601154
"192","Hombre","Metropolitana","Enseñanza",781587,660453,860481
"193","Hombre","O'Higgins","Enseñanza",482805,468715,565752
"194","Hombre","Tarapacá","Enseñanza",554767,702116,709026
"195","Hombre","Valparaíso","Enseñanza",519415,525247,658634
"196","Hombre","Antofagasta","Servicios Sociales y de Salud",681805,786410,646091
"197","Hombre","Araucanía","Servicios Sociales y de Salud",497377,713381,624433
"198","Hombre","Arica y Parinacota","Servicios Sociales y de Salud",473534,535842,763667
"199","Hombre","Atacama","Servicios Sociales y de Salud",785804,574500,749000
"200","Hombre","Aysén","Servicios Sociales y de Salud",1253431,827351,575155
"201","Hombre","Bíobío","Servicios Sociales y de Salud",1138335,564842,768719
"202","Hombre","Coquimbo","Servicios Sociales y de Salud",644701,575695,694189
"203","Hombre","Los Lagos","Servicios Sociales y de Salud",656438,896894,722538
"204","Hombre","Los Ríos","Servicios Sociales y de Salud",669475,575161,518465
"205","Hombre","Magallanes","Servicios Sociales y de Salud",571124,826725,968487
"206","Hombre","Maule","Servicios Sociales y de Salud",536359,523085,662820
"207","Hombre","Metropolitana","Servicios Sociales y de Salud",1156683,845890,1172476
"208","Hombre","O'Higgins","Servicios Sociales y de Salud",746486,733532,698384
"209","Hombre","Tarapacá","Servicios Sociales y de Salud",745940,1195290,890569
"210","Hombre","Valparaíso","Servicios Sociales y de Salud",756280,731199,830865
"211","Hombre","Antofagasta","Servicios Comunitarios, Sociales y Personales",404246,439635,412758
"212","Hombre","Araucanía","Servicios Comunitarios, Sociales y Personales",308000,270707,388761
"213","Hombre","Arica y Parinacota","Servicios Comunitarios, Sociales y Personales",301738,273420,270825
"214","Hombre","Atacama","Servicios Comunitarios, Sociales y Personales",421769,480312,434313
"215","Hombre","Aysén","Servicios Comunitarios, Sociales y Personales",425505,398957,299444
"216","Hombre","Bíobío","Servicios Comunitarios, Sociales y Personales",310669,291714,302773
"217","Hombre","Coquimbo","Servicios Comunitarios, Sociales y Personales",523807,298690,430369
"218","Hombre","Los Lagos","Servicios Comunitarios, Sociales y Personales",569234,240714,313991
"219","Hombre","Los Ríos","Servicios Comunitarios, Sociales y Personales",349512,279808,378765
"220","Hombre","Magallanes","Servicios Comunitarios, Sociales y Personales",367236,405059,437210
"221","Hombre","Maule","Servicios Comunitarios, Sociales y Personales",482775,293897,274292
"222","Hombre","Metropolitana","Servicios Comunitarios, Sociales y Personales",578275,444073,583684
"223","Hombre","O'Higgins","Servicios Comunitarios, Sociales y Personales",310388,300309,311255
"224","Hombre","Tarapacá","Servicios Comunitarios, Sociales y Personales",416626,486510,459854
"225","Hombre","Valparaíso","Servicios Comunitarios, Sociales y Personales",388025,314584,380406
"226","Hombre","Antofagasta","Servicio Doméstico",317158,603602,330000
"227","Hombre","Araucanía","Servicio Doméstico",214139,167870,176667
"228","Hombre","Arica y Parinacota","Servicio Doméstico",229290,194500,2e+05
"229","Hombre","Atacama","Servicio Doméstico",254960,311250,199692
"230","Hombre","Aysén","Servicio Doméstico",212795,258067,264286
"231","Hombre","Bíobío","Servicio Doméstico",278092,154140,185181
"232","Hombre","Coquimbo","Servicio Doméstico",231498,216400,248579
"233","Hombre","Los Lagos","Servicio Doméstico",177081,177178,185340
"234","Hombre","Los Ríos","Servicio Doméstico",240425,190321,171966
"235","Hombre","Magallanes","Servicio Doméstico",335760,114444,2e+05
"236","Hombre","Maule","Servicio Doméstico",224774,188381,243980
"237","Hombre","Metropolitana","Servicio Doméstico",340674,255358,306230
"238","Hombre","O'Higgins","Servicio Doméstico",278416,219009,255810
"239","Hombre","Tarapacá","Servicio Doméstico",251141,290942,275750
"240","Hombre","Valparaíso","Servicio Doméstico",262189,219415,265076
"241","Hombre","Araucanía","Organizaciones y órganos Extraterritoriales",525120,NA,NA
"242","Hombre","Aysén","Organizaciones y órganos Extraterritoriales",667340,NA,NA
"243","Hombre","Bíobío","Organizaciones y órganos Extraterritoriales",765800,NA,85000
"244","Hombre","Los Ríos","Organizaciones y órganos Extraterritoriales",262560,380000,NA
"245","Hombre","Metropolitana","Organizaciones y órganos Extraterritoriales",2665960,332702,3242143
"246","Hombre","O'Higgins","Organizaciones y órganos Extraterritoriales",547000,NA,NA
"247","Hombre","Valparaíso","Organizaciones y órganos Extraterritoriales",513500,550000,960978
"248","Mujer","Antofagasta","Agricultura, Ganadería, Caza y Silvicultura",1806827,130000,222500
"249","Mujer","Araucanía","Agricultura, Ganadería, Caza y Silvicultura",170942,164371,199193
"250","Mujer","Arica y Parinacota","Agricultura, Ganadería, Caza y Silvicultura",259518,232981,144335
"251","Mujer","Atacama","Agricultura, Ganadería, Caza y Silvicultura",217401,283608,339458
"252","Mujer","Aysén","Agricultura, Ganadería, Caza y Silvicultura",409757,275556,138167
"253","Mujer","Bíobío","Agricultura, Ganadería, Caza y Silvicultura",160174,155570,212731
"254","Mujer","Coquimbo","Agricultura, Ganadería, Caza y Silvicultura",177746,193636,215517
"255","Mujer","Los Lagos","Agricultura, Ganadería, Caza y Silvicultura",167045,211947,183725
"256","Mujer","Los Ríos","Agricultura, Ganadería, Caza y Silvicultura",234217,167648,198254
"257","Mujer","Magallanes","Agricultura, Ganadería, Caza y Silvicultura",426309,277081,698947
"258","Mujer","Maule","Agricultura, Ganadería, Caza y Silvicultura",165982,194688,213168
"259","Mujer","Metropolitana","Agricultura, Ganadería, Caza y Silvicultura",365174,414063,338343
"260","Mujer","O'Higgins","Agricultura, Ganadería, Caza y Silvicultura",186557,217175,261898
"261","Mujer","Tarapacá","Agricultura, Ganadería, Caza y Silvicultura",263746,156334,140958
"262","Mujer","Valparaíso","Agricultura, Ganadería, Caza y Silvicultura",196118,209539,269847
"263","Mujer","Antofagasta","Pesca",336816,136281,160455
"264","Mujer","Araucanía","Pesca",205324,194444,355667
"265","Mujer","Arica y Parinacota","Pesca",183655,280000,NA
"266","Mujer","Atacama","Pesca",235357,195500,207750
"267","Mujer","Aysén","Pesca",341177,266327,344280
"268","Mujer","Bíobío","Pesca",246049,205000,318535
"269","Mujer","Coquimbo","Pesca",141855,274286,183333
"270","Mujer","Los Lagos","Pesca",289594,233464,285023
"271","Mujer","Los Ríos","Pesca",213330,153000,427550
"272","Mujer","Magallanes","Pesca",270109,304286,357270
"273","Mujer","Maule","Pesca",168413,126667,150000
"274","Mujer","Metropolitana","Pesca",284440,150000,710000
"275","Mujer","O'Higgins","Pesca",273867,1e+05,150000
"276","Mujer","Tarapacá","Pesca",313668,135889,175667
"277","Mujer","Valparaíso","Pesca",196920,297667,NA
"278","Mujer","Antofagasta","Explotación de Minas y Canteras",587223,972283,684958
"279","Mujer","Arica y Parinacota","Explotación de Minas y Canteras",317558,337474,466818
"280","Mujer","Atacama","Explotación de Minas y Canteras",432043,547638,681306
"281","Mujer","Bíobío","Explotación de Minas y Canteras",191450,393333,1050000
"282","Mujer","Coquimbo","Explotación de Minas y Canteras",417492,433939,388038
"283","Mujer","Los Ríos","Explotación de Minas y Canteras",127998,152106,NA
"284","Mujer","Magallanes","Explotación de Minas y Canteras",254355,484375,450000
"285","Mujer","Maule","Explotación de Minas y Canteras",208954,NA,681833
"286","Mujer","Metropolitana","Explotación de Minas y Canteras",1268502,760535,1396042
"287","Mujer","O'Higgins","Explotación de Minas y Canteras",309961,337500,888235
"288","Mujer","Tarapacá","Explotación de Minas y Canteras",521751,597517,486724
"289","Mujer","Valparaíso","Explotación de Minas y Canteras",525120,589697,572600
"290","Mujer","Antofagasta","Industrias Manufactureras",412115,261424,377853
"291","Mujer","Araucanía","Industrias Manufactureras",236915,155390,212859
"292","Mujer","Arica y Parinacota","Industrias Manufactureras",266258,164068,253886
"293","Mujer","Atacama","Industrias Manufactureras",301622,163852,270193
"294","Mujer","Aysén","Industrias Manufactureras",263025,287717,179239
"295","Mujer","Bíobío","Industrias Manufactureras",209855,224040,230539
"296","Mujer","Coquimbo","Industrias Manufactureras",223972,196799,192135
"297","Mujer","Los Lagos","Industrias Manufactureras",245855,238691,256157
"298","Mujer","Los Ríos","Industrias Manufactureras",304824,188242,188789
"299","Mujer","Magallanes","Industrias Manufactureras",316519,267641,280263
"300","Mujer","Maule","Industrias Manufactureras",206713,204368,239906
"301","Mujer","Metropolitana","Industrias Manufactureras",438183,290691,379699
"302","Mujer","O'Higgins","Industrias Manufactureras",249799,215963,280718
"303","Mujer","Tarapacá","Industrias Manufactureras",322142,216346,240789
"304","Mujer","Valparaíso","Industrias Manufactureras",252015,231547,255937
"305","Mujer","Antofagasta","Electricidad, Gas y Agua",833871,510000,375667
"306","Mujer","Araucanía","Electricidad, Gas y Agua",284440,172500,329000
"307","Mujer","Arica y Parinacota","Electricidad, Gas y Agua",314416,8e+05,2e+05
"308","Mujer","Atacama","Electricidad, Gas y Agua",219722,311750,391889
"309","Mujer","Aysén","Electricidad, Gas y Agua",621392,245000,517667
"310","Mujer","Bíobío","Electricidad, Gas y Agua",371413,271163,497248
"311","Mujer","Coquimbo","Electricidad, Gas y Agua",185980,144417,352500
"312","Mujer","Los Lagos","Electricidad, Gas y Agua",193516,371667,244000
"313","Mujer","Los Ríos","Electricidad, Gas y Agua",288543,237500,335000
"314","Mujer","Magallanes","Electricidad, Gas y Agua",503240,NA,NA
"315","Mujer","Maule","Electricidad, Gas y Agua",247869,168000,277850
"316","Mujer","Metropolitana","Electricidad, Gas y Agua",588842,634833,887943
"317","Mujer","O'Higgins","Electricidad, Gas y Agua",264310,293909,244364
"318","Mujer","Tarapacá","Electricidad, Gas y Agua",261622,665000,175000
"319","Mujer","Valparaíso","Electricidad, Gas y Agua",84603,256091,335582
"320","Mujer","Antofagasta","Construcción",513544,447004,662244
"321","Mujer","Araucanía","Construcción",298999,278296,467059
"322","Mujer","Arica y Parinacota","Construcción",347984,314376,360000
"323","Mujer","Atacama","Construcción",362814,440667,630556
"324","Mujer","Aysén","Construcción",528748,780364,871646
"325","Mujer","Bíobío","Construcción",440904,313822,437710
"326","Mujer","Coquimbo","Construcción",262506,270364,358741
"327","Mujer","Los Lagos","Construcción",509384,319427,943241
"328","Mujer","Los Ríos","Construcción",469170,271451,581429
"329","Mujer","Magallanes","Construcción",520744,625077,662500
"330","Mujer","Maule","Construcción",403444,332801,499050
"331","Mujer","Metropolitana","Construcción",657476,478011,586901
"332","Mujer","O'Higgins","Construcción",549577,301927,351210
"333","Mujer","Tarapacá","Construcción",403190,415800,526004
"334","Mujer","Valparaíso","Construcción",660083,367519,404097
"335","Mujer","Antofagasta","Comercio",351309,267609,382527
"336","Mujer","Araucanía","Comercio",258121,214730,197571
"337","Mujer","Arica y Parinacota","Comercio",295342,177006,251364
"338","Mujer","Atacama","Comercio",289084,251707,279051
"339","Mujer","Aysén","Comercio",263478,245645,273212
"340","Mujer","Bíobío","Comercio",242699,195647,228687
"341","Mujer","Coquimbo","Comercio",238609,206828,230476
"342","Mujer","Los Lagos","Comercio",250576,191593,232024
"343","Mujer","Los Ríos","Comercio",229101,183284,197370
"344","Mujer","Magallanes","Comercio",300312,248014,306049
"345","Mujer","Maule","Comercio",207928,192324,218185
"346","Mujer","Metropolitana","Comercio",319381,261713,310166
"347","Mujer","O'Higgins","Comercio",238693,211943,234019
"348","Mujer","Tarapacá","Comercio",301728,271077,273228
"349","Mujer","Valparaíso","Comercio",234955,210318,255526
"350","Mujer","Antofagasta","Hoteles y Restaurantes",404724,286495,366196
"351","Mujer","Araucanía","Hoteles y Restaurantes",240472,221884,230887
"352","Mujer","Arica y Parinacota","Hoteles y Restaurantes",273001,207277,256730
"353","Mujer","Atacama","Hoteles y Restaurantes",315344,273735,306247
"354","Mujer","Aysén","Hoteles y Restaurantes",453685,230866,278829
"355","Mujer","Bíobío","Hoteles y Restaurantes",308584,201119,231281
"356","Mujer","Coquimbo","Hoteles y Restaurantes",321584,215897,253735
"357","Mujer","Los Lagos","Hoteles y Restaurantes",278429,253708,283213
"358","Mujer","Los Ríos","Hoteles y Restaurantes",264745,202378,198241
"359","Mujer","Magallanes","Hoteles y Restaurantes",298004,268775,331054
"360","Mujer","Maule","Hoteles y Restaurantes",229173,225896,226284
"361","Mujer","Metropolitana","Hoteles y Restaurantes",272769,267504,304744
"362","Mujer","O'Higgins","Hoteles y Restaurantes",269352,231596,257178
"363","Mujer","Tarapacá","Hoteles y Restaurantes",250341,273888,271117
"364","Mujer","Valparaíso","Hoteles y Restaurantes",255679,216553,244211
"365","Mujer","Antofagasta","Transporte, Almacenamiento y Comunicaciones",448021,353538,503744
"366","Mujer","Araucanía","Transporte, Almacenamiento y Comunicaciones",413318,352835,264516
"367","Mujer","Arica y Parinacota","Transporte, Almacenamiento y Comunicaciones",472837,254142,472438
"368","Mujer","Atacama","Transporte, Almacenamiento y Comunicaciones",289001,294404,378641
"369","Mujer","Aysén","Transporte, Almacenamiento y Comunicaciones",579674,312643,371786
"370","Mujer","Bíobío","Transporte, Almacenamiento y Comunicaciones",366541,307593,313850
"371","Mujer","Coquimbo","Transporte, Almacenamiento y Comunicaciones",223905,310223,307288
"372","Mujer","Los Lagos","Transporte, Almacenamiento y Comunicaciones",730576,271279,277238
"373","Mujer","Los Ríos","Transporte, Almacenamiento y Comunicaciones",354853,272709,328727
"374","Mujer","Magallanes","Transporte, Almacenamiento y Comunicaciones",314543,361963,444843
"375","Mujer","Maule","Transporte, Almacenamiento y Comunicaciones",354077,252425,303025
"376","Mujer","Metropolitana","Transporte, Almacenamiento y Comunicaciones",465653,409085,518205
"377","Mujer","O'Higgins","Transporte, Almacenamiento y Comunicaciones",306702,262617,329891
"378","Mujer","Tarapacá","Transporte, Almacenamiento y Comunicaciones",429639,334921,349167
"379","Mujer","Valparaíso","Transporte, Almacenamiento y Comunicaciones",367425,358483,347990
"380","Mujer","Antofagasta","Intermediación Financiera",575517,646293,699534
"381","Mujer","Araucanía","Intermediación Financiera",470034,464429,491947
