"","sexo","rama","provincia","2011","2013","2015"
"65","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Bíobío",239406,229210,279297
"66","Hombre","Pesca","Bíobío",224270,290898,349500
"67","Hombre","Explotación de Minas y Canteras","Bíobío",413607,491356,648410
"68","Hombre","Industrias Manufactureras","Bíobío",317527,296138,372806
"69","Hombre","Electricidad, Gas y Agua","Bíobío",302204,314265,508926
"70","Hombre","Construcción","Bíobío",287132,329772,357628
"71","Hombre","Comercio","Bíobío",345029,268006,318136
"72","Hombre","Hoteles y Restaurantes","Bíobío",710808,224833,550677
"73","Hombre","Transporte, Almacenamiento y Comunicaciones","Bíobío",353735,347092,421306
"74","Hombre","Intermediación Financiera","Bíobío",347345,NA,793750
"75","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Bíobío",463867,475534,602568
"76","Hombre","Administración Pública y Defensa","Bíobío",476655,408820,499577
"77","Hombre","Enseñanza","Bíobío",418425,457435,517154
"78","Hombre","Servicios Sociales y de Salud","Bíobío",548056,676305,956886
"79","Hombre","Servicios Comunitarios, Sociales y Personales","Bíobío",324711,303910,325500
"80","Hombre","Servicio Doméstico","Bíobío",170427,172167,164423
"81","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cachapoal",267326,252824,321737
"82","Hombre","Explotación de Minas y Canteras","Cachapoal",590118,700918,773761
"83","Hombre","Industrias Manufactureras","Cachapoal",356406,336953,434220
"84","Hombre","Electricidad, Gas y Agua","Cachapoal",611181,349971,422786
"85","Hombre","Construcción","Cachapoal",425010,338340,389192
"86","Hombre","Comercio","Cachapoal",306634,314645,332762
"87","Hombre","Hoteles y Restaurantes","Cachapoal",362449,326338,454059
"88","Hombre","Transporte, Almacenamiento y Comunicaciones","Cachapoal",423186,323845,441132
"89","Hombre","Intermediación Financiera","Cachapoal",521103,620909,778189
"90","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cachapoal",645105,666236,708399
"91","Hombre","Administración Pública y Defensa","Cachapoal",503342,547225,557110
"92","Hombre","Enseñanza","Cachapoal",460643,478654,580099
"93","Hombre","Servicios Sociales y de Salud","Cachapoal",626772,734224,715679
"94","Hombre","Servicios Comunitarios, Sociales y Personales","Cachapoal",327159,315294,334188
"95","Hombre","Servicio Doméstico","Cachapoal",308818,220693,267348
"96","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Capitán Prat",508569,313254,247424
"97","Hombre","Industrias Manufactureras","Capitán Prat",890067,650000,5e+05
"98","Hombre","Construcción","Capitán Prat",705822,399067,348725
"99","Hombre","Comercio","Capitán Prat",470117,4e+05,327200
"100","Hombre","Hoteles y Restaurantes","Capitán Prat",616200,NA,275000
"101","Hombre","Intermediación Financiera","Capitán Prat",199108,NA,NA
"102","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Capitán Prat",765800,4e+05,6e+05
"103","Hombre","Administración Pública y Defensa","Capitán Prat",985438,2e+06,731769
"104","Hombre","Enseñanza","Capitán Prat",462085,NA,1024000
"105","Hombre","Servicios Sociales y de Salud","Capitán Prat",492300,431667,7e+05
"106","Hombre","Servicios Comunitarios, Sociales y Personales","Capitán Prat",185980,5e+05,NA
"107","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cardenal Caro",252543,238319,313420
"108","Hombre","Pesca","Cardenal Caro",418111,210000,251817
"109","Hombre","Explotación de Minas y Canteras","Cardenal Caro",450728,328000,255474
"110","Hombre","Industrias Manufactureras","Cardenal Caro",231409,342638,381575
"111","Hombre","Electricidad, Gas y Agua","Cardenal Caro",202390,227500,275000
"112","Hombre","Construcción","Cardenal Caro",317062,248923,310454
"113","Hombre","Comercio","Cardenal Caro",491351,254892,375177
"114","Hombre","Hoteles y Restaurantes","Cardenal Caro",331052,161000,309874
"115","Hombre","Transporte, Almacenamiento y Comunicaciones","Cardenal Caro",414476,265753,339542
"116","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cardenal Caro",481780,787500,619167
"117","Hombre","Administración Pública y Defensa","Cardenal Caro",481130,292353,449722
"118","Hombre","Enseñanza","Cardenal Caro",387589,328571,385556
"119","Hombre","Servicios Sociales y de Salud","Cardenal Caro",445805,310250,712500
"120","Hombre","Servicios Comunitarios, Sociales y Personales","Cardenal Caro",228099,350000,298444
"121","Hombre","Servicio Doméstico","Cardenal Caro",175843,239167,189382
"122","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cauquenes",192624,239549,222012
"123","Hombre","Pesca","Cauquenes",195130,250000,168554
"124","Hombre","Explotación de Minas y Canteras","Cauquenes",377543,347654,346400
"125","Hombre","Industrias Manufactureras","Cauquenes",235333,240566,264255
"126","Hombre","Electricidad, Gas y Agua","Cauquenes",218800,210000,NA
"127","Hombre","Construcción","Cauquenes",303093,232333,326306
"128","Hombre","Comercio","Cauquenes",243865,261875,291594
"129","Hombre","Hoteles y Restaurantes","Cauquenes",205400,210000,241000
"130","Hombre","Transporte, Almacenamiento y Comunicaciones","Cauquenes",269416,260300,298044
"131","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cauquenes",513500,2e+05,230000
"132","Hombre","Administración Pública y Defensa","Cauquenes",351627,494286,424710
"133","Hombre","Enseñanza","Cauquenes",365761,375200,286776
"134","Hombre","Servicios Sociales y de Salud","Cauquenes",433500,7e+05,465000
"135","Hombre","Servicios Comunitarios, Sociales y Personales","Cauquenes",232437,280000,220000
"136","Hombre","Servicio Doméstico","Cauquenes",87520,1e+05,NA
"137","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cautín",229141,258143,216714
"138","Hombre","Pesca","Cautín",266741,218050,424315
"139","Hombre","Explotación de Minas y Canteras","Cautín",757048,724825,438280
"140","Hombre","Industrias Manufactureras","Cautín",294743,251974,305852
"141","Hombre","Electricidad, Gas y Agua","Cautín",241774,378231,290206
"142","Hombre","Construcción","Cautín",325738,298349,326571
"143","Hombre","Comercio","Cautín",330645,299725,277204
"144","Hombre","Hoteles y Restaurantes","Cautín",386285,294133,346765
"145","Hombre","Transporte, Almacenamiento y Comunicaciones","Cautín",353840,307136,348992
"146","Hombre","Intermediación Financiera","Cautín",661870,524000,849796
"147","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cautín",499566,495292,654746
"148","Hombre","Administración Pública y Defensa","Cautín",485406,547248,605879
"149","Hombre","Enseñanza","Cautín",504645,520924,530164
"150","Hombre","Servicios Sociales y de Salud","Cautín",573806,689057,564529
"151","Hombre","Servicios Comunitarios, Sociales y Personales","Cautín",311364,269400,399445
"152","Hombre","Servicio Doméstico","Cautín",220327,193223,190956
"153","Hombre","Organizaciones y órganos Extraterritoriales","Cautín",525120,NA,NA
"154","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Chacabuco",273857,260169,280317
"155","Hombre","Explotación de Minas y Canteras","Chacabuco",429937,450100,725000
"156","Hombre","Industrias Manufactureras","Chacabuco",325407,329571,360701
"157","Hombre","Construcción","Chacabuco",405393,315359,416380
"158","Hombre","Comercio","Chacabuco",357368,370691,331763
"159","Hombre","Hoteles y Restaurantes","Chacabuco",258184,267621,338500
"160","Hombre","Transporte, Almacenamiento y Comunicaciones","Chacabuco",431540,370745,438061
"161","Hombre","Intermediación Financiera","Chacabuco",229740,370000,8e+05
"162","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Chacabuco",649816,444615,548812
"163","Hombre","Administración Pública y Defensa","Chacabuco",497139,959500,492517
"164","Hombre","Enseñanza","Chacabuco",218800,326667,530455
"165","Hombre","Servicios Sociales y de Salud","Chacabuco",1031095,419750,325000
"166","Hombre","Servicios Comunitarios, Sociales y Personales","Chacabuco",244691,239750,426444
"167","Hombre","Servicio Doméstico","Chacabuco",310060,203125,275442
"168","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Chañaral",309967,NA,2e+05
"169","Hombre","Pesca","Chañaral",286468,265385,200522
"170","Hombre","Explotación de Minas y Canteras","Chañaral",557207,575938,575098
"171","Hombre","Industrias Manufactureras","Chañaral",528692,323182,439399
"172","Hombre","Electricidad, Gas y Agua","Chañaral",311790,566667,341667
"173","Hombre","Construcción","Chañaral",427958,288478,355608
"174","Hombre","Comercio","Chañaral",463219,283000,455298
"175","Hombre","Hoteles y Restaurantes","Chañaral",529576,271200,677778
"176","Hombre","Transporte, Almacenamiento y Comunicaciones","Chañaral",414910,559091,550018
"177","Hombre","Intermediación Financiera","Chañaral",2188000,NA,NA
"178","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Chañaral",822748,332500,584400
"179","Hombre","Administración Pública y Defensa","Chañaral",375351,496333,734000
"180","Hombre","Enseñanza","Chañaral",575262,575000,732000
"181","Hombre","Servicios Sociales y de Salud","Chañaral",516487,486667,347500
"182","Hombre","Servicios Comunitarios, Sociales y Personales","Chañaral",514197,205000,354500
"183","Hombre","Servicio Doméstico","Chañaral",382900,NA,45000
"184","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Chiloé",244973,137413,201785
"185","Hombre","Pesca","Chiloé",316639,255083,295921
"186","Hombre","Explotación de Minas y Canteras","Chiloé",235210,NA,246667
"187","Hombre","Industrias Manufactureras","Chiloé",289188,280966,323868
"188","Hombre","Electricidad, Gas y Agua","Chiloé",256361,280000,308600
"189","Hombre","Construcción","Chiloé",314436,285105,297035
"190","Hombre","Comercio","Chiloé",389999,289199,300600
"191","Hombre","Hoteles y Restaurantes","Chiloé",293608,220556,343101
"192","Hombre","Transporte, Almacenamiento y Comunicaciones","Chiloé",480308,315131,389408
"193","Hombre","Intermediación Financiera","Chiloé",896400,628354,686104
"194","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Chiloé",627457,354486,578503
"195","Hombre","Administración Pública y Defensa","Chiloé",535940,387856,665920
"196","Hombre","Enseñanza","Chiloé",524874,496126,592585
"197","Hombre","Servicios Sociales y de Salud","Chiloé",498208,689528,836616
"198","Hombre","Servicios Comunitarios, Sociales y Personales","Chiloé",1006053,243408,333667
"199","Hombre","Servicio Doméstico","Chiloé",112285,190714,169118
"200","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Choapa",215585,238015,251305
"201","Hombre","Pesca","Choapa",310950,184148,285839
"202","Hombre","Explotación de Minas y Canteras","Choapa",409627,427682,514419
"203","Hombre","Industrias Manufactureras","Choapa",408935,320600,433867
"204","Hombre","Electricidad, Gas y Agua","Choapa",218800,396667,367600
"205","Hombre","Construcción","Choapa",308181,311728,312730
"206","Hombre","Comercio","Choapa",299026,272125,275072
"207","Hombre","Hoteles y Restaurantes","Choapa",1731307,223000,843700
"208","Hombre","Transporte, Almacenamiento y Comunicaciones","Choapa",386698,406771,414830
"209","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Choapa",590881,580000,408100
"210","Hombre","Administración Pública y Defensa","Choapa",540874,522421,437220
"211","Hombre","Enseñanza","Choapa",469083,310000,456000
"212","Hombre","Servicios Sociales y de Salud","Choapa",346313,781000,1591429
"213","Hombre","Servicio Doméstico","Choapa",148767,218500,175000
"214","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Colchagua",242423,252758,293695
"215","Hombre","Explotación de Minas y Canteras","Colchagua",345704,590250,526069
"216","Hombre","Industrias Manufactureras","Colchagua",290402,280443,329390
"217","Hombre","Electricidad, Gas y Agua","Colchagua",328854,276250,333375
"218","Hombre","Construcción","Colchagua",318248,253312,339245
"219","Hombre","Comercio","Colchagua",300103,297738,291927
"220","Hombre","Hoteles y Restaurantes","Colchagua",337700,331211,262474
"221","Hombre","Transporte, Almacenamiento y Comunicaciones","Colchagua",361182,284855,355812
"222","Hombre","Intermediación Financiera","Colchagua",425645,737500,580714
"223","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Colchagua",489219,549009,610189
"224","Hombre","Administración Pública y Defensa","Colchagua",456983,414434,507800
"225","Hombre","Enseñanza","Colchagua",540338,475011,566062
"226","Hombre","Servicios Sociales y de Salud","Colchagua",1239262,831132,628053
"227","Hombre","Servicios Comunitarios, Sociales y Personales","Colchagua",263102,202727,232062
"228","Hombre","Servicio Doméstico","Colchagua",223298,188462,239000
"229","Hombre","Organizaciones y órganos Extraterritoriales","Colchagua",547000,NA,NA
"230","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Concepción",240210,239627,334528
"231","Hombre","Pesca","Concepción",309414,288526,356644
"232","Hombre","Explotación de Minas y Canteras","Concepción",522923,641207,741144
"233","Hombre","Industrias Manufactureras","Concepción",471039,411176,469876
"234","Hombre","Electricidad, Gas y Agua","Concepción",563216,356227,503845
"235","Hombre","Construcción","Concepción",437938,327134,389840
"236","Hombre","Comercio","Concepción",466635,337468,349338
"237","Hombre","Hoteles y Restaurantes","Concepción",225664,324074,326826
"238","Hombre","Transporte, Almacenamiento y Comunicaciones","Concepción",446727,347782,407943
"239","Hombre","Intermediación Financiera","Concepción",481357,635267,729724
"240","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Concepción",605035,553548,571026
"241","Hombre","Administración Pública y Defensa","Concepción",665761,524394,689961
"242","Hombre","Enseñanza","Concepción",624381,606379,665918
"243","Hombre","Servicios Sociales y de Salud","Concepción",910579,568738,797419
"244","Hombre","Servicios Comunitarios, Sociales y Personales","Concepción",367241,336283,318507
"245","Hombre","Servicio Doméstico","Concepción",636740,174174,224102
"246","Hombre","Organizaciones y órganos Extraterritoriales","Concepción",765800,NA,NA
"247","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Copiapó",327404,262123,405358
"248","Hombre","Pesca","Copiapó",556382,339286,408122
"249","Hombre","Explotación de Minas y Canteras","Copiapó",552575,639034,766190
"250","Hombre","Industrias Manufactureras","Copiapó",420576,404894,514421
"251","Hombre","Electricidad, Gas y Agua","Copiapó",543749,549091,683932
"252","Hombre","Construcción","Copiapó",448382,516414,516063
"253","Hombre","Comercio","Copiapó",438598,399207,431206
"254","Hombre","Hoteles y Restaurantes","Copiapó",482115,466522,416182
"255","Hombre","Transporte, Almacenamiento y Comunicaciones","Copiapó",652986,533738,521518
"256","Hombre","Intermediación Financiera","Copiapó",611577,688889,715625
"257","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Copiapó",629011,888860,695128
"258","Hombre","Administración Pública y Defensa","Copiapó",661749,803634,805752
"259","Hombre","Enseñanza","Copiapó",614308,776968,661669
"260","Hombre","Servicios Sociales y de Salud","Copiapó",978968,615947,784771
"261","Hombre","Servicios Comunitarios, Sociales y Personales","Copiapó",421535,527083,428286
"262","Hombre","Servicio Doméstico","Copiapó",241896,348333,224100
"263","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cordillera",262288,275000,415571
"264","Hombre","Explotación de Minas y Canteras","Cordillera",367949,495556,528340
"265","Hombre","Industrias Manufactureras","Cordillera",391419,322855,454190
"266","Hombre","Electricidad, Gas y Agua","Cordillera",497770,475000,476306
"267","Hombre","Construcción","Cordillera",405326,388639,422432
"268","Hombre","Comercio","Cordillera",362073,308548,397478
"269","Hombre","Hoteles y Restaurantes","Cordillera",260867,417466,345142
"270","Hombre","Transporte, Almacenamiento y Comunicaciones","Cordillera",422844,389535,451419
"271","Hombre","Intermediación Financiera","Cordillera",319611,914178,647982
"272","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cordillera",688960,524868,577321
"273","Hombre","Administración Pública y Defensa","Cordillera",439496,435885,599311
"274","Hombre","Enseñanza","Cordillera",564999,472322,558009
"275","Hombre","Servicios Sociales y de Salud","Cordillera",566051,373359,551407
"276","Hombre","Servicios Comunitarios, Sociales y Personales","Cordillera",475009,289109,442017
"277","Hombre","Servicio Doméstico","Cordillera",231652,255360,294479
"278","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Coyhaique",411194,283733,361930
"279","Hombre","Pesca","Coyhaique",481263,529480,593300
"280","Hombre","Explotación de Minas y Canteras","Coyhaique",530039,551875,1210000
"281","Hombre","Industrias Manufactureras","Coyhaique",507938,332401,400944
"282","Hombre","Electricidad, Gas y Agua","Coyhaique",386108,8e+05,NA
"283","Hombre","Construcción","Coyhaique",435474,472244,526858
"284","Hombre","Comercio","Coyhaique",416072,372759,416363
"285","Hombre","Hoteles y Restaurantes","Coyhaique",406325,432356,280167
"286","Hombre","Transporte, Almacenamiento y Comunicaciones","Coyhaique",502765,384592,475571
"287","Hombre","Intermediación Financiera","Coyhaique",557575,590000,1630000
"288","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Coyhaique",846645,545318,869167
"289","Hombre","Administración Pública y Defensa","Coyhaique",873464,909347,968007
"290","Hombre","Enseñanza","Coyhaique",675198,654889,1079167
"291","Hombre","Servicios Sociales y de Salud","Coyhaique",1380688,909030,510105
"292","Hombre","Servicios Comunitarios, Sociales y Personales","Coyhaique",450870,389599,267000
"293","Hombre","Servicio Doméstico","Coyhaique",202443,247000,2e+05
"294","Hombre","Organizaciones y órganos Extraterritoriales","Coyhaique",667340,NA,NA
"295","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Curicó",256097,238298,297506
"296","Hombre","Pesca","Curicó",347285,131250,211250
"297","Hombre","Explotación de Minas y Canteras","Curicó",358838,588571,655511
"298","Hombre","Industrias Manufactureras","Curicó",410486,320490,353891
"299","Hombre","Electricidad, Gas y Agua","Curicó",365998,389000,464500
"300","Hombre","Construcción","Curicó",329104,358187,383256
"301","Hombre","Comercio","Curicó",294612,339361,343025
"302","Hombre","Hoteles y Restaurantes","Curicó",504917,264192,351825
"303","Hombre","Transporte, Almacenamiento y Comunicaciones","Curicó",408839,309609,408616
"304","Hombre","Intermediación Financiera","Curicó",383862,878007,450000
"305","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Curicó",601177,505645,544979
"306","Hombre","Administración Pública y Defensa","Curicó",511315,592941,520242
"307","Hombre","Enseñanza","Curicó",411192,598038,505260
"308","Hombre","Servicios Sociales y de Salud","Curicó",979572,591226,539789
"309","Hombre","Servicios Comunitarios, Sociales y Personales","Curicó",837945,325464,276545
"310","Hombre","Servicio Doméstico","Curicó",230995,242500,261018
"311","Hombre","Agricultura, Ganadería, Caza y Silvicultura","El Loa",230975,226923,250833
"312","Hombre","Explotación de Minas y Canteras","El Loa",691183,816148,864015
"313","Hombre","Industrias Manufactureras","El Loa",508708,549171,563029
"314","Hombre","Electricidad, Gas y Agua","El Loa",575444,725000,621667
"315","Hombre","Construcción","El Loa",605152,404696,555100
"316","Hombre","Comercio","El Loa",515868,351571,429606
"317","Hombre","Hoteles y Restaurantes","El Loa",526435,285455,707179
"318","Hombre","Transporte, Almacenamiento y Comunicaciones","El Loa",519151,419277,626137
"319","Hombre","Intermediación Financiera","El Loa",464950,413464,1200000
"320","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","El Loa",596726,753041,605969
"321","Hombre","Administración Pública y Defensa","El Loa",470823,462507,790231
"322","Hombre","Enseñanza","El Loa",638332,768000,938329
"323","Hombre","Servicios Sociales y de Salud","El Loa",500943,645000,460667
"324","Hombre","Servicios Comunitarios, Sociales y Personales","El Loa",405654,289235,524564
"325","Hombre","Servicio Doméstico","El Loa",427825,433333,360000
"326","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Elqui",253260,268434,277777
"327","Hombre","Pesca","Elqui",414517,208560,267100
"328","Hombre","Explotación de Minas y Canteras","Elqui",564006,618134,732606
"329","Hombre","Industrias Manufactureras","Elqui",438748,389424,453064
"330","Hombre","Electricidad, Gas y Agua","Elqui",512498,569350,366234
"331","Hombre","Construcción","Elqui",393426,354946,471310
"332","Hombre","Comercio","Elqui",355652,372895,377385
"333","Hombre","Hoteles y Restaurantes","Elqui",265881,460813,317341
"334","Hombre","Transporte, Almacenamiento y Comunicaciones","Elqui",440517,384001,361430
"335","Hombre","Intermediación Financiera","Elqui",1309016,783765,740000
"336","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Elqui",472660,570551,842917
"337","Hombre","Administración Pública y Defensa","Elqui",448393,451979,702506
"338","Hombre","Enseñanza","Elqui",493327,493553,589685
"339","Hombre","Servicios Sociales y de Salud","Elqui",807986,587742,594541
"340","Hombre","Servicios Comunitarios, Sociales y Personales","Elqui",558661,288428,433307
"341","Hombre","Servicio Doméstico","Elqui",224435,222400,260897
"342","Hombre","Agricultura, Ganadería, Caza y Silvicultura","General Carrera",297401,242475,214592
"343","Hombre","Explotación de Minas y Canteras","General Carrera",741694,639304,742857
"344","Hombre","Industrias Manufactureras","General Carrera",338910,282333,375000
"345","Hombre","Electricidad, Gas y Agua","General Carrera",361020,NA,356000
"346","Hombre","Construcción","General Carrera",373751,330000,683714
"347","Hombre","Comercio","General Carrera",405585,324117,403000
"348","Hombre","Hoteles y Restaurantes","General Carrera",306320,373000,506667
"349","Hombre","Transporte, Almacenamiento y Comunicaciones","General Carrera",772733,304000,386000
"350","Hombre","Administración Pública y Defensa","General Carrera",541530,546000,575000
"351","Hombre","Enseñanza","General Carrera",664418,489108,875273
"352","Hombre","Servicios Sociales y de Salud","General Carrera",339140,1e+06,721949
"353","Hombre","Servicios Comunitarios, Sociales y Personales","General Carrera",218800,NA,380000
"354","Hombre","Servicio Doméstico","General Carrera",246480,60000,250000
"355","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Huasco",272502,251676,326500
"356","Hombre","Pesca","Huasco",420199,345278,286875
"357","Hombre","Explotación de Minas y Canteras","Huasco",520125,544082,590805
"358","Hombre","Industrias Manufactureras","Huasco",385628,382546,403269
"359","Hombre","Electricidad, Gas y Agua","Huasco",287441,653441,8e+05
"360","Hombre","Construcción","Huasco",413937,374968,357243
"361","Hombre","Comercio","Huasco",347356,262508,346000
"362","Hombre","Hoteles y Restaurantes","Huasco",458793,383684,441667
"363","Hombre","Transporte, Almacenamiento y Comunicaciones","Huasco",467863,450337,597950
"364","Hombre","Intermediación Financiera","Huasco",185980,350000,8e+05
"365","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Huasco",516852,718182,778250
"366","Hombre","Administración Pública y Defensa","Huasco",439223,458545,369545
"367","Hombre","Enseñanza","Huasco",459866,473267,542400
"368","Hombre","Servicios Sociales y de Salud","Huasco",686304,530833,837500
"369","Hombre","Servicios Comunitarios, Sociales y Personales","Huasco",284236,385000,787500
"370","Hombre","Servicio Doméstico","Huasco",205400,2e+05,155000
"371","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Iquique",432079,213333,424000
"372","Hombre","Pesca","Iquique",430310,499934,377927
"373","Hombre","Explotación de Minas y Canteras","Iquique",715410,757442,782439
"374","Hombre","Industrias Manufactureras","Iquique",432697,525710,446960
"375","Hombre","Electricidad, Gas y Agua","Iquique",764363,612632,415000
"376","Hombre","Construcción","Iquique",432719,425262,470800
"377","Hombre","Comercio","Iquique",448225,424852,447848
"378","Hombre","Hoteles y Restaurantes","Iquique",432021,388981,452682
"379","Hombre","Transporte, Almacenamiento y Comunicaciones","Iquique",507270,439472,460731
"380","Hombre","Intermediación Financiera","Iquique",576951,761144,1500000
"381","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Iquique",567759,656598,759349
"382","Hombre","Administración Pública y Defensa","Iquique",683422,725758,737496
"383","Hombre","Enseñanza","Iquique",558095,716323,720451
"384","Hombre","Servicios Sociales y de Salud","Iquique",763028,1195290,965678
