"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"17","country","País","country","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2014,1764407.41013326,1307043.11318114,"[1593487, 1944119]","[1199775, 1503656]"
"18","country","País","country","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2015,2066526.60416549,1500405.91737327,"[1803820, 2365438]","[1204890, 1797634]"
"19","country","País","country","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,295731.936782856,230328.309705521,"[286228, 310352]","[219951, 243173]"
"20","country","País","country","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,315676.072051855,251208.301743745,"[307637, 330329]","[250000, 259169]"
"21","country","País","country","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,340776.851474802,300000,"[329919, 347426]","[281574, 300000]"
"22","country","País","country","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,375794.314144322,300406.687754181,"[366572, 387697]","[300407, 318792]"
"23","country","País","country","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,391538.247083875,323335.22834944,"[380132, 404671]","[303127, 340502]"
"24","country","País","country","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,413847.717770399,351426.113726912,"[399969, 425434]","[350095, 367625]"
"25","country","País","country","Hombre","Operadores de instalaciones y máquinas y montadores",2010,335971.210832711,280000,"[327372, 349739]","[270000, 299795]"
"26","country","País","country","Hombre","Operadores de instalaciones y máquinas y montadores",2011,371610.595758943,301449.962092494,"[358842, 386200]","[299041, 310787]"
"27","country","País","country","Hombre","Operadores de instalaciones y máquinas y montadores",2012,405172.120620609,331854.957611499,"[388230, 433273]","[311743, 349730]"
"28","country","País","country","Hombre","Operadores de instalaciones y máquinas y montadores",2013,438059.892679773,350474.469046545,"[422634, 457036]","[348178, 375000]"
"29","country","País","country","Hombre","Operadores de instalaciones y máquinas y montadores",2014,445316.374649056,373856.35777904,"[432976, 463183]","[363393, 399092]"
"30","country","País","country","Hombre","Operadores de instalaciones y máquinas y montadores",2015,467504.905561802,400000,"[452006, 482304]","[400000, 400753]"
"31","country","País","country","Hombre","Otros no identificados",2010,635727.055712506,540785.808898794,"[579507, 758267]","[489487, 580568]"
"32","country","País","country","Hombre","Otros no identificados",2011,696239.891459409,550960.351767953,"[623037, 820505]","[515617, 600000]"
"33","country","País","country","Hombre","Otros no identificados",2012,744287.894197292,675977.280266108,"[691441, 808115]","[602922, 726763]"
"34","country","País","country","Hombre","Otros no identificados",2013,765213.401421434,616460.791848123,"[692401, 847246]","[570720, 723983]"
"35","country","País","country","Hombre","Otros no identificados",2014,874293.818185438,708892.344071775,"[803584, 950345]","[650000, 777990]"
"36","country","País","country","Hombre","Otros no identificados",2015,898056.498499751,763096.704092723,"[816950, 994277]","[676036, 821283]"
"37","country","País","country","Hombre","Profesionales científicos e intelectuales",2010,1080713.30066069,810163.558523532,"[1009009, 1143795]","[800000, 897908]"
"38","country","País","country","Hombre","Profesionales científicos e intelectuales",2011,1119891.06130322,823333.449390846,"[1067159, 1188149]","[800000, 897584]"
"39","country","País","country","Hombre","Profesionales científicos e intelectuales",2012,1218091.10791722,943125.793274045,"[1138758, 1326730]","[890173, 1004510]"
"40","country","País","country","Hombre","Profesionales científicos e intelectuales",2013,1236748.90483075,951228.537058317,"[1167202, 1315507]","[889279, 1000000]"
"41","country","País","country","Hombre","Profesionales científicos e intelectuales",2014,1294995.25755418,1000000,"[1227047, 1360893]","[974225, 1030826]"
"42","country","País","country","Hombre","Profesionales científicos e intelectuales",2015,1405193.69373286,1039705.24198763,"[1334308, 1493418]","[1000271, 1128253]"
"43","country","País","country","Hombre","Técnicos y profesionales de nivel medio",2010,585900.680317465,400000,"[557184, 630917]","[399726, 419713]"
"44","country","País","country","Hombre","Técnicos y profesionales de nivel medio",2011,633799.972876135,478465.732819404,"[591900, 684093]","[448562, 498402]"
"45","country","País","country","Hombre","Técnicos y profesionales de nivel medio",2012,660058.967280208,481142.950565511,"[628194, 698173]","[456078, 502134]"
"46","country","País","country","Hombre","Técnicos y profesionales de nivel medio",2013,726717.733685717,537804.92648207,"[689922, 763285]","[500302, 583200]"
"47","country","País","country","Hombre","Técnicos y profesionales de nivel medio",2014,673480.393510201,521704.40637411,"[643098, 713728]","[501172, 569893]"
"48","country","País","country","Hombre","Técnicos y profesionales de nivel medio",2015,758054.740321636,600162.366949308,"[713558, 805378]","[588075, 641451]"
"49","country","País","country","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2010,352351.00889409,224793.194584975,"[321100, 396959]","[210564, 237909]"
"50","country","País","country","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2011,353192.276732712,251208.301743745,"[328040, 375867]","[243788, 270973]"
"51","country","País","country","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2012,358143.63057782,280000,"[339878, 381190]","[258117, 300000]"
"52","country","País","country","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2013,394474.767058817,300000,"[369102, 421481]","[298867, 310420]"
"53","country","País","country","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2014,373387.603462618,303126.7765776,"[354959, 394413]","[299944, 310000]"
"54","country","País","country","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2015,414288.865904325,326308.074887546,"[387589, 438450]","[301222, 350000]"
"55","country","País","country","Hombre","Trabajadores no calificados",2010,193081.391331923,175879.628724963,"[188692, 197959]","[174937, 179877]"
"56","country","País","country","Hombre","Trabajadores no calificados",2011,214146.728700774,199360.722008085,"[209133, 219046]","[194673, 199361]"
"57","country","País","country","Hombre","Trabajadores no calificados",2012,232724.488058275,203967.97076066,"[226850, 239356]","[201124, 211180]"
"58","country","País","country","Hombre","Trabajadores no calificados",2013,259829.798156578,239093.688185578,"[252819, 267192]","[230000, 240325]"
"59","country","País","country","Hombre","Trabajadores no calificados",2014,274644.888861754,252605.647148,"[268391, 279996]","[249953, 256032]"
"60","country","País","country","Hombre","Trabajadores no calificados",2015,292505.239427289,270073.065127189,"[286122, 300346]","[260070, 276063]"
"61","country","País","country","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,106458.629171018,57152.1128178285,"[84928, 134822]","[49971, 69971]"
"62","country","País","country","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,122820.704328695,70280.3808313096,"[105335, 153117]","[60000, 87220]"
"63","country","País","country","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,124877.786682405,60000,"[102030, 152329]","[47268, 70393]"
"64","country","País","country","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,108980.595810804,57197.72154044,"[94128, 125803]","[50066, 73460]"
"65","country","País","country","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,161710.079754603,80833.80708736,"[130858, 187808]","[64570, 110380]"
"66","country","País","country","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,205937.589281792,100000,"[167249, 259771]","[71701, 133867]"
"67","country","País","country","Mujer","Empleados de oficina",2010,282534.437608291,235000,"[270847, 305470]","[227444, 250000]"
"68","country","País","country","Mujer","Empleados de oficina",2011,305411.918348481,251208.301743745,"[294161, 316071]","[250000, 265804]"
"69","country","País","country","Mujer","Empleados de oficina",2012,337530.878739811,300000,"[321633, 353128]","[281574, 301353]"
"70","country","País","country","Mujer","Empleados de oficina",2013,364171.58230251,300000,"[347908, 380329]","[298867, 300407]"
"71","country","País","country","Mujer","Empleados de oficina",2014,369622.102438743,314943.709060122,"[355671, 381236]","[300000, 326386]"
"72","country","País","country","Mujer","Empleados de oficina",2015,396686.775920451,350000,"[382897, 416587]","[340039, 351426]"
"73","country","País","country","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2010,930484.699595076,500489.3325504,"[750711, 1240659]","[400000, 800727]"
"74","country","País","country","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2011,1076192.17664564,800000,"[896430, 1351830]","[599978, 1034200]"
"75","country","País","country","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2012,1200453.92794639,922557.024579767,"[951520, 1766007]","[611012, 1005353]"
"76","country","País","country","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2013,1123132.50846004,796978.960618594,"[999380, 1334846]","[686160, 908886]"
"77","country","País","country","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2014,1282994.05077181,909380.3297328,"[1086840, 1549395]","[795095, 1005472]"
"78","country","País","country","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2015,1321769.35983993,1004074.61064832,"[1097684, 1571217]","[901509, 1200000]"
"79","country","País","country","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,101390.101391696,60058.719906048,"[91567, 112545]","[55882, 70000]"
"80","country","País","country","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,131287.261203104,80000,"[120016, 143393]","[65260, 99099]"
"81","country","País","country","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,120484.45142539,70393.4758569847,"[107620, 132892]","[60271, 83893]"
"82","country","País","country","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,142109.100520707,90000,"[127007, 155200]","[79698, 101666]"
"83","country","País","country","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,160189.372310322,101042.2588592,"[144531, 173603]","[80834, 129991]"
"84","country","País","country","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,155848.822158636,100326.646737305,"[142203, 171049]","[82441, 125661]"
"85","country","País","country","Mujer","Operadores de instalaciones y máquinas y montadores",2010,215391.469396,199895.74073862,"[183838, 258831]","[170009, 200196]"
"86","country","País","country","Mujer","Operadores de instalaciones y máquinas y montadores",2011,243931.192775102,204239.253678094,"[211673, 282079]","[199361, 233687]"
"87","country","País","country","Mujer","Operadores de instalaciones y máquinas y montadores",2012,321228.760958125,235415.857991187,"[262008, 395067]","[210188, 252071]"
"88","country","País","country","Mujer","Operadores de instalaciones y máquinas y montadores",2013,303767.960291282,260265.659711128,"[271534, 345745]","[249056, 280380]"
"89","country","País","country","Mujer","Operadores de instalaciones y máquinas y montadores",2014,326467.233366902,282918.32480576,"[294280, 365807]","[252606, 300000]"
"90","country","País","country","Mujer","Operadores de instalaciones y máquinas y montadores",2015,290909.746307398,284480.740290171,"[266022, 316376]","[256861, 300056]"
"91","country","País","country","Mujer","Otros no identificados",2010,603414.798249306,595539.328428978,"[504859, 719902]","[452000, 723529]"
"92","country","País","country","Mujer","Otros no identificados",2011,533634.601584636,482782.842894073,"[444904, 624999]","[401933, 705833]"
"93","country","País","country","Mujer","Otros no identificados",2012,512307.696938923,500451.346142981,"[407789, 666368]","[401418, 509122]"
"94","country","País","country","Mujer","Otros no identificados",2013,673115.279619736,670870.753620209,"[571716, 772511]","[535526, 772033]"
"95","country","País","country","Mujer","Otros no identificados",2014,670659.9893378,596873.015102047,"[560535, 858977]","[495107, 730000]"
"96","country","País","country","Mujer","Otros no identificados",2015,761663.372695648,680934.52103068,"[637284, 880239]","[538811, 892794]"
"97","country","País","country","Mujer","Profesionales científicos e intelectuales",2010,666186.603681506,542840.576503237,"[638425, 697095]","[500489, 580092]"
"98","country","País","country","Mujer","Profesionales científicos e intelectuales",2011,696697.761029414,566460.29784186,"[653984, 761570]","[525826, 598082]"
"99","country","País","country","Mujer","Profesionales científicos e intelectuales",2012,764471.059779402,614585.368047829,"[722922, 814525]","[601285, 640000]"
"100","country","País","country","Mujer","Profesionales científicos e intelectuales",2013,780656.310764434,647545.405502607,"[742832, 815397]","[624487, 689948]"
"101","country","País","country","Mujer","Profesionales científicos e intelectuales",2014,852884.567960118,679872.492030752,"[812306, 905039]","[647036, 700000]"
"102","country","País","country","Mujer","Profesionales científicos e intelectuales",2015,914323.705668381,740000,"[863015, 952738]","[700189, 787034]"
"103","country","País","country","Mujer","Técnicos y profesionales de nivel medio",2010,426888.549906909,300293.59953024,"[397038, 458574]","[292257, 319781]"
"104","country","País","country","Mujer","Técnicos y profesionales de nivel medio",2011,477773.703848172,371074.360034292,"[447575, 505487]","[350804, 398721]"
"105","country","País","country","Mujer","Técnicos y profesionales de nivel medio",2012,498894.543329125,370000,"[469675, 528150]","[350000, 394000]"
"106","country","País","country","Mujer","Técnicos y profesionales de nivel medio",2013,514916.482542883,400000,"[489828, 548263]","[383845, 418727]"
"107","country","País","country","Mujer","Técnicos y profesionales de nivel medio",2014,537493.281025494,417978.476987488,"[513750, 559079]","[400000, 438562]"
"108","country","País","country","Mujer","Técnicos y profesionales de nivel medio",2015,560175.816928958,432000,"[538505, 598733]","[407466, 463000]"
"109","country","País","country","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2010,211551.082637944,171882.36443576,"[201173, 226182]","[165521, 174943]"
"110","country","País","country","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2011,213382.6121684,181418.257027357,"[203072, 220391]","[180000, 184719]"
"111","country","País","country","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2012,243839.850932358,200000,"[230866, 257643]","[193972, 200902]"
"112","country","País","country","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2013,247130.027502345,210000,"[236704, 258668]","[205724, 210149]"
"113","country","País","country","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2014,253795.40191394,224957.809863117,"[244885, 262351]","[220000, 227345]"
"114","country","País","country","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2015,273368.056487605,244387.273208193,"[263396, 285370]","[240978, 250068]"
"115","country","País","country","Mujer","Trabajadores no calificados",2010,140287.644788036,138000,"[135212, 144201]","[130000, 140137]"
"116","country","País","country","Mujer","Trabajadores no calificados",2011,150898.003299001,150000,"[147046, 154814]","[147717, 155622]"
"117","country","País","country","Mujer","Trabajadores no calificados",2012,163516.557814089,163916.236638407,"[158695, 168802]","[157100, 174992]"
"118","country","País","country","Mujer","Trabajadores no calificados",2013,185915.996828565,180244.012652509,"[180467, 191744]","[179320, 190000]"
"119","country","País","country","Mujer","Trabajadores no calificados",2014,207459.252465788,202084.5177184,"[201843, 214392]","[199962, 214196]"
"120","country","País","country","Mujer","Trabajadores no calificados",2015,213756.104402702,210855.668236147,"[207511, 221255]","[200815, 221734]"
