"","sex","isced","geography_name","geography_id","year","ub_weighted_median"
"62","Hombre","Doctorado","Los Andes","p53",2012,1104961
"63","Hombre","Doctorado","Los Andes","p53",2013,996224
"64","Hombre","Doctorado","Magallanes","p121",2010,1601566
"65","Hombre","Doctorado","Magallanes","p121",2011,6069193
"66","Hombre","Doctorado","Magallanes","p121",2012,3963758
"67","Hombre","Doctorado","Magallanes","p121",2013,4483007
"68","Hombre","Doctorado","Magallanes","p121",2014,1499719
"69","Hombre","Doctorado","Magallanes","p121",2015,1800000
"70","Hombre","Doctorado","Maipo","p134",2010,1630000
"71","Hombre","Doctorado","Maipo","p134",2014,1612000
"72","Hombre","Doctorado","Maipo","p134",2015,1800000
"73","Hombre","Doctorado","Malleco","p92",2013,161388
"74","Hombre","Doctorado","Marga Marga","p58",2012,2212366
"75","Hombre","Doctorado","Marga Marga","p58",2013,2022738
"76","Hombre","Doctorado","Marga Marga","p58",2014,3419143
"77","Hombre","Doctorado","Marga Marga","p58",2015,2000000
"78","Hombre","Doctorado","Melipilla","p135",2014,599887
"79","Hombre","Doctorado","Melipilla","p135",2015,350095
"80","Hombre","Doctorado","Ñuble","p84",2012,5008835
"81","Hombre","Doctorado","Ñuble","p84",2014,2499531
"82","Hombre","Doctorado","Ñuble","p84",2015,3000812
"83","Hombre","Doctorado","Osorno","p103",2010,2000000
"84","Hombre","Doctorado","Osorno","p103",2011,1000000
"85","Hombre","Doctorado","Osorno","p103",2012,1683653
"86","Hombre","Doctorado","Osorno","p103",2013,2827000
"87","Hombre","Doctorado","Osorno","p103",2014,1499719
"88","Hombre","Doctorado","Osorno","p103",2015,600162
"89","Hombre","Doctorado","Petorca","p54",2014,858859
"90","Hombre","Doctorado","Quillota","p55",2012,700000
"91","Hombre","Doctorado","Quillota","p55",2013,800000
"92","Hombre","Doctorado","Quillota","p55",2014,2000000
"93","Hombre","Doctorado","Quillota","p55",2015,720000
"94","Hombre","Doctorado","San Felipe","p57",2013,1494336
"95","Hombre","Doctorado","San Felipe","p57",2014,1559707
"96","Hombre","Doctorado","San Felipe","p57",2015,2900785
"97","Hombre","Doctorado","Santiago","p131",2010,1711513
"98","Hombre","Doctorado","Santiago","p131",2011,3265000
"99","Hombre","Doctorado","Santiago","p131",2012,3328606
"100","Hombre","Doctorado","Santiago","p131",2013,2046615
"101","Hombre","Doctorado","Santiago","p131",2014,2526056
"102","Hombre","Doctorado","Santiago","p131",2015,4001082
"103","Hombre","Doctorado","Talca","p71",2010,1498974
"104","Hombre","Doctorado","Talca","p71",2011,1507250
"105","Hombre","Doctorado","Talca","p71",2012,2300000
"106","Hombre","Doctorado","Talca","p71",2014,1999625
"107","Hombre","Doctorado","Talca","p71",2015,4501218
"108","Hombre","Doctorado","Tamarugal","p12",2012,80000
"109","Hombre","Doctorado","Tamarugal","p12",2013,325000
"110","Hombre","Doctorado","Valdivia","p141",2010,1301272
"111","Hombre","Doctorado","Valdivia","p141",2011,2200000
"112","Hombre","Doctorado","Valdivia","p141",2012,2000000
"113","Hombre","Doctorado","Valdivia","p141",2013,2405400
"114","Hombre","Doctorado","Valdivia","p141",2014,2490427
"115","Hombre","Doctorado","Valdivia","p141",2015,1791804
"116","Hombre","Doctorado","Valparaíso","p51",2010,1469872
"117","Hombre","Doctorado","Valparaíso","p51",2011,2034162
"118","Hombre","Doctorado","Valparaíso","p51",2012,2214865
"119","Hombre","Doctorado","Valparaíso","p51",2013,2690297
"120","Hombre","Doctorado","Valparaíso","p51",2014,2791797
"121","Hombre","Doctorado","Valparaíso","p51",2015,6022773
"122","Hombre","Educación Preescolar","Antofagasta","p21",2011,250000
"123","Hombre","Educación Preescolar","Antofagasta","p21",2012,400000
"124","Hombre","Educación Preescolar","Antofagasta","p21",2013,300000
"125","Hombre","Educación Preescolar","Antofagasta","p21",2014,80834
"126","Hombre","Educación Preescolar","Arauco","p82",2012,193870
"127","Hombre","Educación Preescolar","Arauco","p82",2013,44560
"128","Hombre","Educación Preescolar","Arauco","p82",2014,197032
"129","Hombre","Educación Preescolar","Arica","p151",2010,404395
"130","Hombre","Educación Preescolar","Arica","p151",2011,398919
"131","Hombre","Educación Preescolar","Arica","p151",2012,80450
"132","Hombre","Educación Preescolar","Arica","p151",2013,60000
"133","Hombre","Educación Preescolar","Arica","p151",2015,100266
"134","Hombre","Educación Preescolar","Aysén","p112",2011,200967
"135","Hombre","Educación Preescolar","Bíobío","p83",2012,48270
"136","Hombre","Educación Preescolar","Cachapoal","p61",2010,174880
"137","Hombre","Educación Preescolar","Cachapoal","p61",2011,211015
"138","Hombre","Educación Preescolar","Cachapoal","p61",2012,120000
"139","Hombre","Educación Preescolar","Cachapoal","p61",2013,250000
"140","Hombre","Educación Preescolar","Cachapoal","p61",2015,80022
"141","Hombre","Educación Preescolar","Cardenal Caro","p62",2011,200000
"142","Hombre","Educación Preescolar","Cauquenes","p72",2014,199962
"143","Hombre","Educación Preescolar","Cautín","p91",2010,489665
"144","Hombre","Educación Preescolar","Cautín","p91",2015,175047
"145","Hombre","Educación Preescolar","Chacabuco","p133",2010,370000
"146","Hombre","Educación Preescolar","Chacabuco","p133",2014,199962
"147","Hombre","Educación Preescolar","Chacabuco","p133",2015,300081
"148","Hombre","Educación Preescolar","Chañaral","p32",2012,200000
"149","Hombre","Educación Preescolar","Chiloé","p102",2010,62761
"150","Hombre","Educación Preescolar","Chiloé","p102",2011,182880
"151","Hombre","Educación Preescolar","Chiloé","p102",2015,20000
"152","Hombre","Educación Preescolar","Choapa","p42",2010,59959
"153","Hombre","Educación Preescolar","Choapa","p42",2011,100483
"154","Hombre","Educación Preescolar","Choapa","p42",2012,180812
"155","Hombre","Educación Preescolar","Choapa","p42",2013,215000
"156","Hombre","Educación Preescolar","Choapa","p42",2014,264000
"157","Hombre","Educación Preescolar","Choapa","p42",2015,30008
"158","Hombre","Educación Preescolar","Colchagua","p63",2010,175171
"159","Hombre","Educación Preescolar","Colchagua","p63",2014,249953
"160","Hombre","Educación Preescolar","Colchagua","p63",2015,380343
"161","Hombre","Educación Preescolar","Concepción","p81",2010,31978
"162","Hombre","Educación Preescolar","Concepción","p81",2011,154185
"163","Hombre","Educación Preescolar","Concepción","p81",2012,48000
"164","Hombre","Educación Preescolar","Concepción","p81",2013,39849
"165","Hombre","Educación Preescolar","Concepción","p81",2014,79985
"166","Hombre","Educación Preescolar","Concepción","p81",2015,256000
"167","Hombre","Educación Preescolar","Copiapó","p31",2010,199863
"168","Hombre","Educación Preescolar","Copiapó","p31",2012,30135
"169","Hombre","Educación Preescolar","Copiapó","p31",2013,270366
"170","Hombre","Educación Preescolar","Copiapó","p31",2014,252606
"171","Hombre","Educación Preescolar","Copiapó","p31",2015,150000
"172","Hombre","Educación Preescolar","Cordillera","p152",2011,320000
"173","Hombre","Educación Preescolar","Cordillera","p152",2012,290000
"174","Hombre","Educación Preescolar","Cordillera","p152",2013,298867
"175","Hombre","Educación Preescolar","Cordillera","p152",2014,181730
"176","Hombre","Educación Preescolar","Cordillera","p152",2015,300081
"177","Hombre","Educación Preescolar","Coyhaique","p111",2011,300000
"178","Hombre","Educación Preescolar","El Loa","p22",2010,110000
"179","Hombre","Educación Preescolar","El Loa","p22",2011,70338
"180","Hombre","Educación Preescolar","El Loa","p22",2015,200054
"181","Hombre","Educación Preescolar","Elqui","p41",2010,119918
"182","Hombre","Educación Preescolar","Elqui","p41",2011,148375
"183","Hombre","Educación Preescolar","Elqui","p41",2012,198340
"184","Hombre","Educación Preescolar","Elqui","p41",2013,190000
"185","Hombre","Educación Preescolar","Elqui","p41",2014,199962
"186","Hombre","Educación Preescolar","Elqui","p41",2015,241065
"187","Hombre","Educación Preescolar","Huasco","p33",2010,110000
"188","Hombre","Educación Preescolar","Huasco","p33",2013,30048
"189","Hombre","Educación Preescolar","Iquique","p11",2011,299041
"190","Hombre","Educación Preescolar","Iquique","p11",2013,280380
"191","Hombre","Educación Preescolar","Limarí","p43",2010,173000
"192","Hombre","Educación Preescolar","Linares","p74",2010,60059
"193","Hombre","Educación Preescolar","Linares","p74",2014,114978
"194","Hombre","Educación Preescolar","Llanquihue","p101",2010,60059
"195","Hombre","Educación Preescolar","Llanquihue","p101",2012,163735
"196","Hombre","Educación Preescolar","Llanquihue","p101",2014,279947
"197","Hombre","Educación Preescolar","Los Andes","p53",2011,10032
"198","Hombre","Educación Preescolar","Los Andes","p53",2012,200902
"199","Hombre","Educación Preescolar","Los Andes","p53",2013,209207
"200","Hombre","Educación Preescolar","Los Andes","p53",2014,279887
"201","Hombre","Educación Preescolar","Magallanes","p121",2011,299041
"202","Hombre","Educación Preescolar","Magallanes","p121",2014,180000
"203","Hombre","Educación Preescolar","Magallanes","p121",2015,350000
"204","Hombre","Educación Preescolar","Maipo","p134",2010,207697
"205","Hombre","Educación Preescolar","Maipo","p134",2011,186000
"206","Hombre","Educación Preescolar","Maipo","p134",2012,294245
"207","Hombre","Educación Preescolar","Maipo","p134",2013,261335
"208","Hombre","Educación Preescolar","Maipo","p134",2014,282918
"209","Hombre","Educación Preescolar","Malleco","p92",2011,200000
"210","Hombre","Educación Preescolar","Malleco","p92",2014,348596
"211","Hombre","Educación Preescolar","Malleco","p92",2015,299214
"212","Hombre","Educación Preescolar","Marga Marga","p58",2010,220215
"213","Hombre","Educación Preescolar","Marga Marga","p58",2011,250000
"214","Hombre","Educación Preescolar","Marga Marga","p58",2014,15156
"215","Hombre","Educación Preescolar","Marga Marga","p58",2015,60196
"216","Hombre","Educación Preescolar","Melipilla","p135",2010,500000
"217","Hombre","Educación Preescolar","Melipilla","p135",2012,193000
"218","Hombre","Educación Preescolar","Melipilla","p135",2014,172238
"219","Hombre","Educación Preescolar","Melipilla","p135",2015,70019
"220","Hombre","Educación Preescolar","Ñuble","p84",2010,32031
"221","Hombre","Educación Preescolar","Ñuble","p84",2011,182880
"222","Hombre","Educación Preescolar","Ñuble","p84",2012,200000
"223","Hombre","Educación Preescolar","Ñuble","p84",2014,181876
"224","Hombre","Educación Preescolar","Ñuble","p84",2015,200054
"225","Hombre","Educación Preescolar","Osorno","p103",2010,169068
"226","Hombre","Educación Preescolar","Osorno","p103",2012,140787
"227","Hombre","Educación Preescolar","Osorno","p103",2014,180000
"228","Hombre","Educación Preescolar","Parinacota","p152",2013,199245
"229","Hombre","Educación Preescolar","Parinacota","p152",2014,93982
"230","Hombre","Educación Preescolar","Petorca","p54",2013,35864
"231","Hombre","Educación Preescolar","Quillota","p55",2013,230000
"232","Hombre","Educación Preescolar","Quillota","p55",2014,159970
"233","Hombre","Educación Preescolar","Quillota","p55",2015,130420
"234","Hombre","Educación Preescolar","Ranco","p142",2010,180176
"235","Hombre","Educación Preescolar","Ranco","p142",2011,65314
"236","Hombre","Educación Preescolar","Ranco","p142",2013,207215
"237","Hombre","Educación Preescolar","San Antonio","p56",2010,185873
"238","Hombre","Educación Preescolar","San Antonio","p56",2012,20000
"239","Hombre","Educación Preescolar","San Antonio","p56",2013,199245
"240","Hombre","Educación Preescolar","San Felipe","p57",2011,199361
"241","Hombre","Educación Preescolar","San Felipe","p57",2012,226265
"242","Hombre","Educación Preescolar","San Felipe","p57",2013,206279
"243","Hombre","Educación Preescolar","San Felipe","p57",2014,237449
"244","Hombre","Educación Preescolar","Santiago","p131",2010,250245
"245","Hombre","Educación Preescolar","Santiago","p131",2011,214313
"246","Hombre","Educación Preescolar","Santiago","p131",2012,191068
"247","Hombre","Educación Preescolar","Santiago","p131",2013,483168
"248","Hombre","Educación Preescolar","Santiago","p131",2014,250655
"249","Hombre","Educación Preescolar","Santiago","p131",2015,443120
"250","Hombre","Educación Preescolar","Talagante","p136",2010,200196
"251","Hombre","Educación Preescolar","Talagante","p136",2011,180000
"252","Hombre","Educación Preescolar","Talagante","p136",2013,181639
"253","Hombre","Educación Preescolar","Talagante","p136",2014,49991
"254","Hombre","Educación Preescolar","Talagante","p136",2015,200054
"255","Hombre","Educación Preescolar","Talca","p71",2012,241082
"256","Hombre","Educación Preescolar","Talca","p71",2013,249056
"257","Hombre","Educación Preescolar","Talca","p71",2015,166676
"258","Hombre","Educación Preescolar","Tocopilla","p23",2013,210285
"259","Hombre","Educación Preescolar","Tocopilla","p23",2014,272814
"260","Hombre","Educación Preescolar","Valdivia","p141",2010,5065
"261","Hombre","Educación Preescolar","Valdivia","p141",2012,56315
"262","Hombre","Educación Preescolar","Valdivia","p141",2013,200271
"263","Hombre","Educación Preescolar","Valparaíso","p51",2010,170000
"264","Hombre","Educación Preescolar","Valparaíso","p51",2011,30000
"265","Hombre","Educación Preescolar","Valparaíso","p51",2013,48065
"266","Hombre","Educación Preescolar","Valparaíso","p51",2014,101042
"267","Hombre","Educación Preescolar","Valparaíso","p51",2015,261059
"268","Hombre","Educación Preescolar",NA,NA,2010,62800
"269","Hombre","Educación Primaria (nivel 1)","Antofagasta","p21",2010,594692
"270","Hombre","Educación Primaria (nivel 1)","Antofagasta","p21",2011,408201
"271","Hombre","Educación Primaria (nivel 1)","Antofagasta","p21",2012,387871
"272","Hombre","Educación Primaria (nivel 1)","Antofagasta","p21",2013,399726
"273","Hombre","Educación Primaria (nivel 1)","Antofagasta","p21",2014,404169
"274","Hombre","Educación Primaria (nivel 1)","Antofagasta","p21",2015,581000
"275","Hombre","Educación Primaria (nivel 1)","Arauco","p82",2010,156221
"276","Hombre","Educación Primaria (nivel 1)","Arauco","p82",2011,169087
"277","Hombre","Educación Primaria (nivel 1)","Arauco","p82",2012,190398
"278","Hombre","Educación Primaria (nivel 1)","Arauco","p82",2013,185501
"279","Hombre","Educación Primaria (nivel 1)","Arauco","p82",2014,204734
"280","Hombre","Educación Primaria (nivel 1)","Arauco","p82",2015,292479
"281","Hombre","Educación Primaria (nivel 1)","Arica","p151",2010,199863
"282","Hombre","Educación Primaria (nivel 1)","Arica","p151",2011,213495
"283","Hombre","Educación Primaria (nivel 1)","Arica","p151",2012,202911
"284","Hombre","Educación Primaria (nivel 1)","Arica","p151",2013,210000
"285","Hombre","Educación Primaria (nivel 1)","Arica","p151",2014,252606
"286","Hombre","Educación Primaria (nivel 1)","Arica","p151",2015,300910
"287","Hombre","Educación Primaria (nivel 1)","Aysén","p112",2010,255825
"288","Hombre","Educación Primaria (nivel 1)","Aysén","p112",2011,299041
"289","Hombre","Educación Primaria (nivel 1)","Aysén","p112",2012,268872
"290","Hombre","Educación Primaria (nivel 1)","Aysén","p112",2013,317388
"291","Hombre","Educación Primaria (nivel 1)","Aysén","p112",2014,349934
"292","Hombre","Educación Primaria (nivel 1)","Aysén","p112",2015,379106
"293","Hombre","Educación Primaria (nivel 1)","Bíobío","p83",2010,160626
"294","Hombre","Educación Primaria (nivel 1)","Bíobío","p83",2011,181769
"295","Hombre","Educación Primaria (nivel 1)","Bíobío","p83",2012,212719
"296","Hombre","Educación Primaria (nivel 1)","Bíobío","p83",2013,209207
"297","Hombre","Educación Primaria (nivel 1)","Bíobío","p83",2014,224621
"298","Hombre","Educación Primaria (nivel 1)","Bíobío","p83",2015,241982
"299","Hombre","Educación Primaria (nivel 1)","Cachapoal","p61",2010,212462
"300","Hombre","Educación Primaria (nivel 1)","Cachapoal","p61",2011,248402
"301","Hombre","Educación Primaria (nivel 1)","Cachapoal","p61",2012,214862
"302","Hombre","Educación Primaria (nivel 1)","Cachapoal","p61",2013,277751
"303","Hombre","Educación Primaria (nivel 1)","Cachapoal","p61",2014,279947
"304","Hombre","Educación Primaria (nivel 1)","Cachapoal","p61",2015,321304
"305","Hombre","Educación Primaria (nivel 1)","Capitán Prat","p113",2010,304706
"306","Hombre","Educación Primaria (nivel 1)","Capitán Prat","p113",2011,185894
"307","Hombre","Educación Primaria (nivel 1)","Cardenal Caro","p62",2010,174880
"308","Hombre","Educación Primaria (nivel 1)","Cardenal Caro","p62",2011,196126
"309","Hombre","Educación Primaria (nivel 1)","Cardenal Caro","p62",2012,201089
"310","Hombre","Educación Primaria (nivel 1)","Cardenal Caro","p62",2013,219933
"311","Hombre","Educación Primaria (nivel 1)","Cardenal Caro","p62",2014,252606
"312","Hombre","Educación Primaria (nivel 1)","Cardenal Caro","p62",2015,292157
"313","Hombre","Educación Primaria (nivel 1)","Cauquenes","p72",2010,170000
"314","Hombre","Educación Primaria (nivel 1)","Cauquenes","p72",2011,192817
"315","Hombre","Educación Primaria (nivel 1)","Cauquenes","p72",2012,192229
"316","Hombre","Educación Primaria (nivel 1)","Cauquenes","p72",2013,237953
"317","Hombre","Educación Primaria (nivel 1)","Cauquenes","p72",2014,225147
"318","Hombre","Educación Primaria (nivel 1)","Cauquenes","p72",2015,240415
"319","Hombre","Educación Primaria (nivel 1)","Cautín","p91",2010,112652
"320","Hombre","Educación Primaria (nivel 1)","Cautín","p91",2011,120000
"321","Hombre","Educación Primaria (nivel 1)","Cautín","p91",2012,130731
"322","Hombre","Educación Primaria (nivel 1)","Cautín","p91",2013,144347
"323","Hombre","Educación Primaria (nivel 1)","Cautín","p91",2014,185713
"324","Hombre","Educación Primaria (nivel 1)","Cautín","p91",2015,198637
"325","Hombre","Educación Primaria (nivel 1)","Chacabuco","p133",2010,221516
"326","Hombre","Educación Primaria (nivel 1)","Chacabuco","p133",2011,250000
"327","Hombre","Educación Primaria (nivel 1)","Chacabuco","p133",2012,233340
"328","Hombre","Educación Primaria (nivel 1)","Chacabuco","p133",2013,250465
"329","Hombre","Educación Primaria (nivel 1)","Chacabuco","p133",2014,285828
"330","Hombre","Educación Primaria (nivel 1)","Chacabuco","p133",2015,294157
"331","Hombre","Educación Primaria (nivel 1)","Chañaral","p32",2010,334955
"332","Hombre","Educación Primaria (nivel 1)","Chañaral","p32",2011,245831
"333","Hombre","Educación Primaria (nivel 1)","Chañaral","p32",2012,616509
"334","Hombre","Educación Primaria (nivel 1)","Chañaral","p32",2013,595238
"335","Hombre","Educación Primaria (nivel 1)","Chañaral","p32",2014,299944
"336","Hombre","Educación Primaria (nivel 1)","Chañaral","p32",2015,532160
"337","Hombre","Educación Primaria (nivel 1)","Chiloé","p102",2010,140800
"338","Hombre","Educación Primaria (nivel 1)","Chiloé","p102",2011,189008
"339","Hombre","Educación Primaria (nivel 1)","Chiloé","p102",2012,156299
"340","Hombre","Educación Primaria (nivel 1)","Chiloé","p102",2013,190135
"341","Hombre","Educación Primaria (nivel 1)","Chiloé","p102",2014,224777
"342","Hombre","Educación Primaria (nivel 1)","Chiloé","p102",2015,259356
"343","Hombre","Educación Primaria (nivel 1)","Choapa","p42",2010,179952
"344","Hombre","Educación Primaria (nivel 1)","Choapa","p42",2011,177537
"345","Hombre","Educación Primaria (nivel 1)","Choapa","p42",2012,201130
"346","Hombre","Educación Primaria (nivel 1)","Choapa","p42",2013,300000
"347","Hombre","Educación Primaria (nivel 1)","Choapa","p42",2014,261423
"348","Hombre","Educación Primaria (nivel 1)","Choapa","p42",2015,249803
"349","Hombre","Educación Primaria (nivel 1)","Colchagua","p63",2010,179955
"350","Hombre","Educación Primaria (nivel 1)","Colchagua","p63",2011,217123
"351","Hombre","Educación Primaria (nivel 1)","Colchagua","p63",2012,228369
"352","Hombre","Educación Primaria (nivel 1)","Colchagua","p63",2013,240000
"353","Hombre","Educación Primaria (nivel 1)","Colchagua","p63",2014,253582
"354","Hombre","Educación Primaria (nivel 1)","Colchagua","p63",2015,250000
"355","Hombre","Educación Primaria (nivel 1)","Concepción","p81",2010,175751
"356","Hombre","Educación Primaria (nivel 1)","Concepción","p81",2011,199940
"357","Hombre","Educación Primaria (nivel 1)","Concepción","p81",2012,200902
"358","Hombre","Educación Primaria (nivel 1)","Concepción","p81",2013,250243
"359","Hombre","Educación Primaria (nivel 1)","Concepción","p81",2014,239955
"360","Hombre","Educación Primaria (nivel 1)","Concepción","p81",2015,240034
"361","Hombre","Educación Primaria (nivel 1)","Copiapó","p31",2010,276965
"362","Hombre","Educación Primaria (nivel 1)","Copiapó","p31",2011,299041
"363","Hombre","Educación Primaria (nivel 1)","Copiapó","p31",2012,350203
"364","Hombre","Educación Primaria (nivel 1)","Copiapó","p31",2013,545446
"365","Hombre","Educación Primaria (nivel 1)","Copiapó","p31",2014,365181
"366","Hombre","Educación Primaria (nivel 1)","Copiapó","p31",2015,543017
"367","Hombre","Educación Primaria (nivel 1)","Cordillera","p152",2010,250184
"368","Hombre","Educación Primaria (nivel 1)","Cordillera","p152",2011,259005
"369","Hombre","Educación Primaria (nivel 1)","Cordillera","p152",2012,372084
"370","Hombre","Educación Primaria (nivel 1)","Cordillera","p152",2013,300975
"371","Hombre","Educación Primaria (nivel 1)","Cordillera","p152",2014,333230
"372","Hombre","Educación Primaria (nivel 1)","Cordillera","p152",2015,442926
"373","Hombre","Educación Primaria (nivel 1)","Coyhaique","p111",2010,241302
"374","Hombre","Educación Primaria (nivel 1)","Coyhaique","p111",2011,260000
"375","Hombre","Educación Primaria (nivel 1)","Coyhaique","p111",2012,296930
"376","Hombre","Educación Primaria (nivel 1)","Coyhaique","p111",2013,298867
"377","Hombre","Educación Primaria (nivel 1)","Coyhaique","p111",2014,299897
"378","Hombre","Educación Primaria (nivel 1)","Coyhaique","p111",2015,432755
"379","Hombre","Educación Primaria (nivel 1)","Curicó","p73",2010,169884
"380","Hombre","Educación Primaria (nivel 1)","Curicó","p73",2011,182000
"381","Hombre","Educación Primaria (nivel 1)","Curicó","p73",2012,200904
"382","Hombre","Educación Primaria (nivel 1)","Curicó","p73",2013,254019
"383","Hombre","Educación Primaria (nivel 1)","Curicó","p73",2014,258002
"384","Hombre","Educación Primaria (nivel 1)","Curicó","p73",2015,280989
"385","Hombre","Educación Primaria (nivel 1)","El Loa","p22",2010,480846
"386","Hombre","Educación Primaria (nivel 1)","El Loa","p22",2011,365965
"387","Hombre","Educación Primaria (nivel 1)","El Loa","p22",2012,331137
"388","Hombre","Educación Primaria (nivel 1)","El Loa","p22",2013,407859
"389","Hombre","Educación Primaria (nivel 1)","El Loa","p22",2014,470501
"390","Hombre","Educación Primaria (nivel 1)","El Loa","p22",2015,651555
"391","Hombre","Educación Primaria (nivel 1)","Elqui","p41",2010,200000
"392","Hombre","Educación Primaria (nivel 1)","Elqui","p41",2011,249201
"393","Hombre","Educación Primaria (nivel 1)","Elqui","p41",2012,291308
"394","Hombre","Educación Primaria (nivel 1)","Elqui","p41",2013,258569
"395","Hombre","Educación Primaria (nivel 1)","Elqui","p41",2014,301480
"396","Hombre","Educación Primaria (nivel 1)","Elqui","p41",2015,275000
"397","Hombre","Educación Primaria (nivel 1)","General Carrera","p114",2010,165517
"398","Hombre","Educación Primaria (nivel 1)","General Carrera","p114",2011,287455
"399","Hombre","Educación Primaria (nivel 1)","General Carrera","p114",2012,1810118
"400","Hombre","Educación Primaria (nivel 1)","General Carrera","p114",2013,650881
"401","Hombre","Educación Primaria (nivel 1)","General Carrera","p114",2014,500740
"402","Hombre","Educación Primaria (nivel 1)","General Carrera","p114",2015,351426
"403","Hombre","Educación Primaria (nivel 1)","Huasco","p33",2010,190036
"404","Hombre","Educación Primaria (nivel 1)","Huasco","p33",2011,309405
"405","Hombre","Educación Primaria (nivel 1)","Huasco","p33",2012,250948
"406","Hombre","Educación Primaria (nivel 1)","Huasco","p33",2013,210000
"407","Hombre","Educación Primaria (nivel 1)","Huasco","p33",2014,319940
"408","Hombre","Educación Primaria (nivel 1)","Huasco","p33",2015,300968
"409","Hombre","Educación Primaria (nivel 1)","Iquique","p11",2010,210659
"410","Hombre","Educación Primaria (nivel 1)","Iquique","p11",2011,210991
"411","Hombre","Educación Primaria (nivel 1)","Iquique","p11",2012,290524
"412","Hombre","Educación Primaria (nivel 1)","Iquique","p11",2013,298867
"413","Hombre","Educación Primaria (nivel 1)","Iquique","p11",2014,475271
"414","Hombre","Educación Primaria (nivel 1)","Iquique","p11",2015,391804
"415","Hombre","Educación Primaria (nivel 1)","Limarí","p43",2010,188603
"416","Hombre","Educación Primaria (nivel 1)","Limarí","p43",2011,191054
"417","Hombre","Educación Primaria (nivel 1)","Limarí","p43",2012,212549
"418","Hombre","Educación Primaria (nivel 1)","Limarí","p43",2013,239094
"419","Hombre","Educación Primaria (nivel 1)","Limarí","p43",2014,255808
