"","sex","isco","year","weighted_median"
"77","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2014,909380.3297328
"78","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2015,1004074.61064832
"79","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,60058.719906048
"80","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,80000
"81","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,70393.4758569847
"82","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,90000
"83","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,101042.2588592
"84","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,100326.646737305
"85","Mujer","Operadores de instalaciones y máquinas y montadores",2010,199895.74073862
"86","Mujer","Operadores de instalaciones y máquinas y montadores",2011,204239.253678094
"87","Mujer","Operadores de instalaciones y máquinas y montadores",2012,235415.857991187
"88","Mujer","Operadores de instalaciones y máquinas y montadores",2013,260265.659711128
"89","Mujer","Operadores de instalaciones y máquinas y montadores",2014,282918.32480576
"90","Mujer","Operadores de instalaciones y máquinas y montadores",2015,284480.740290171
"91","Mujer","Otros no identificados",2010,595539.328428978
"92","Mujer","Otros no identificados",2011,482782.842894073
"93","Mujer","Otros no identificados",2012,500451.346142981
"94","Mujer","Otros no identificados",2013,670870.753620209
"95","Mujer","Otros no identificados",2014,596873.015102047
"96","Mujer","Otros no identificados",2015,680934.52103068
"97","Mujer","Profesionales científicos e intelectuales",2010,542840.576503237
"98","Mujer","Profesionales científicos e intelectuales",2011,566460.29784186
"99","Mujer","Profesionales científicos e intelectuales",2012,614585.368047829
"100","Mujer","Profesionales científicos e intelectuales",2013,647545.405502607
"101","Mujer","Profesionales científicos e intelectuales",2014,679872.492030752
"102","Mujer","Profesionales científicos e intelectuales",2015,740000
"103","Mujer","Técnicos y profesionales de nivel medio",2010,300293.59953024
"104","Mujer","Técnicos y profesionales de nivel medio",2011,371074.360034292
"105","Mujer","Técnicos y profesionales de nivel medio",2012,370000
"106","Mujer","Técnicos y profesionales de nivel medio",2013,400000
"107","Mujer","Técnicos y profesionales de nivel medio",2014,417978.476987488
"108","Mujer","Técnicos y profesionales de nivel medio",2015,432000
"109","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2010,171882.36443576
"110","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2011,181418.257027357
"111","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2012,200000
"112","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2013,210000
"113","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2014,224957.809863117
"114","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2015,244387.273208193
"115","Mujer","Trabajadores no calificados",2010,138000
"116","Mujer","Trabajadores no calificados",2011,150000
"117","Mujer","Trabajadores no calificados",2012,163916.236638407
"118","Mujer","Trabajadores no calificados",2013,180244.012652509
"119","Mujer","Trabajadores no calificados",2014,202084.5177184
"120","Mujer","Trabajadores no calificados",2015,210855.668236147
