"","sex","isco","year","lb_weighted_median"
"82","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,79698
"83","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,80834
"84","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,82441
"85","Mujer","Operadores de instalaciones y maquinas y montadores",2010,170009
"86","Mujer","Operadores de instalaciones y maquinas y montadores",2011,199361
"87","Mujer","Operadores de instalaciones y máquinas y montadores",2012,210188
"88","Mujer","Operadores de instalaciones y máquinas y montadores",2013,249056
"89","Mujer","Operadores de instalaciones y máquinas y montadores",2014,252606
"90","Mujer","Operadores de instalaciones y máquinas y montadores",2015,256861
"91","Mujer","Otros no identificados",2012,401418
"92","Mujer","Otros no identificados",2013,535526
"93","Mujer","Otros no identificados",2014,495107
"94","Mujer","Otros no identificados",2015,538811
"95","Mujer","Otros No identificados",2010,452000
"96","Mujer","Otros No identificados",2011,401933
"97","Mujer","Profesionales científicos e intelectuales",2010,500489
"98","Mujer","Profesionales científicos e intelectuales",2011,525826
"99","Mujer","Profesionales científicos e intelectuales",2012,601285
"100","Mujer","Profesionales científicos e intelectuales",2013,624487
"101","Mujer","Profesionales científicos e intelectuales",2014,647036
"102","Mujer","Profesionales científicos e intelectuales",2015,700189
"103","Mujer","Técnicos y profesionales de nivel medio",2010,292257
"104","Mujer","Técnicos y profesionales de nivel medio",2011,350804
"105","Mujer","Técnicos y profesionales de nivel medio",2012,350000
"106","Mujer","Técnicos y profesionales de nivel medio",2013,383845
"107","Mujer","Técnicos y profesionales de nivel medio",2014,400000
"108","Mujer","Técnicos y profesionales de nivel medio",2015,407466
"109","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2010,165521
"110","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2011,180000
"111","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2012,193972
"112","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2013,205724
"113","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2014,220000
"114","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2015,240978
"115","Mujer","Trabajadores no calificados",2010,130000
"116","Mujer","Trabajadores no calificados",2011,147717
"117","Mujer","Trabajadores no calificados",2012,157100
"118","Mujer","Trabajadores no calificados",2013,179320
"119","Mujer","Trabajadores no calificados",2014,199962
"120","Mujer","Trabajadores no calificados",2015,200815
