"","sex","isic","year","weighted_median"
"123","Mujer","3",2010,361820.536943315
"124","Mujer","3",2012,444832.492075747
"125","Mujer","4",2010,171882.36443576
"126","Mujer","4",2012,206714.566346479
"127","Mujer","5",2010,250231.623920093
"128","Mujer","5",2012,299485.867314862
"129","Mujer","6",2010,279808.50024426
"130","Mujer","6",2012,270568.614216299
"131","Mujer","8",2010,180000
"132","Mujer","8",2012,224984.883814902
"133","Mujer","9",2010,240000
"134","Mujer","9",2012,292954.950946276
"135","Mujer","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2010,167163.437071834
"136","Mujer","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2011,181418.257027357
"137","Mujer","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2012,195356.395382007
"138","Mujer","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2015,245111.741609823
"139","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2011,300000
"140","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2013,320433.800271126
"141","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2014,353647.9060072
"142","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2015,361833.071581117
"143","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2011,371473.674635244
"144","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2013,498763.796794828
"145","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2014,464794.39075232
"146","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2015,547116.113586724
"147","Mujer","Agricultura, ganadería, caza y silvicultura",2011,150000
"148","Mujer","Agricultura, ganadería, caza y silvicultura",2013,190069.724780035
"149","Mujer","Agricultura, ganadería, caza y silvicultura",2014,219958.747421714
"150","Mujer","Agricultura, ganadería, caza y silvicultura",2015,210000
"151","Mujer","Construcción",2011,299041.083012127
"152","Mujer","Construcción",2013,338816.546190334
"153","Mujer","Construcción",2014,327378.075221062
"154","Mujer","Construcción",2015,400000
"155","Mujer","Enseñanza",2011,318977.155212936
"156","Mujer","Enseñanza",2013,366196.398577632
"157","Mujer","Enseñanza",2014,399924.995312207
"158","Mujer","Enseñanza",2015,401629.844259328
"159","Mujer","Explotación de minas y canteras",2011,378785.371815361
"160","Mujer","Explotación de minas y canteras",2013,420623.882233195
"161","Mujer","Explotación de minas y canteras",2014,463380.442877898
"162","Mujer","Explotación de minas y canteras",2015,600162.366949308
"163","Mujer","Hogares privados con servicio doméstico",2011,120579.984836998
"164","Mujer","Hogares privados con servicio doméstico",2013,159395.792123719
"165","Mujer","Hogares privados con servicio doméstico",2014,170000
"166","Mujer","Hogares privados con servicio doméstico",2015,200000
"167","Mujer","Hoteles y restaurantes",2011,193320.705565402
"168","Mujer","Hoteles y restaurantes",2013,220298.237686399
"169","Mujer","Hoteles y restaurantes",2014,249953.12207013
"170","Mujer","Hoteles y restaurantes",2015,272678.307115884
"171","Mujer","Industrias manufactureras",2011,194479.802426943
"172","Mujer","Industrias manufactureras",2013,220000
"173","Mujer","Industrias manufactureras",2014,234953.819984322
"174","Mujer","Industrias manufactureras",2015,250000
"175","Mujer","Intermediación financiera",2011,483842.302535346
"176","Mujer","Intermediación financiera",2013,569694.204362969
"177","Mujer","Intermediación financiera",2014,587530.146123108
"178","Mujer","Intermediación financiera",2015,600162.366949308
"179","Mujer","Organizaciones y organos extraterritoriales",2011,590312.532249582
"180","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2011,189723.512306316
"181","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2013,206813.132199306
"182","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2014,219958.747421714
"183","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2015,250067.652895545
"184","Mujer","Pesca",2011,159291.55927728
"185","Mujer","Pesca",2013,298867.110231973
"186","Mujer","Pesca",2014,226182.422895288
"187","Mujer","Pesca",2015,286249.464125661
"188","Mujer","Servicios sociales y de salud",2011,301449.962092494
"189","Mujer","Servicios sociales y de salud",2013,350474.469046545
"190","Mujer","Servicios sociales y de salud",2014,384599.470948895
"191","Mujer","Servicios sociales y de salud",2015,410000
"192","Mujer","Suministro de electricidad, gas y agua",2011,300221.639707548
"193","Mujer","Suministro de electricidad, gas y agua",2013,278942.636216508
"194","Mujer","Suministro de electricidad, gas y agua",2014,294045.788261314
"195","Mujer","Suministro de electricidad, gas y agua",2015,280000
"196","Mujer","Transporte, almacenamiento y comunicaciones",2011,279105.010811319
"197","Mujer","Transporte, almacenamiento y comunicaciones",2013,300000
"198","Mujer","Transporte, almacenamiento y comunicaciones",2014,300000
"199","Mujer","Transporte, almacenamiento y comunicaciones",2015,300081.183474654
"200","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2013,202248.082937721
"201","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2014,225000
"202","Mujer","Organizaciones y órganos extraterritoriales",2013,542204.921028689
"203","Mujer","Organizaciones y órganos extraterritoriales",2014,718512.653348327
"204","Mujer","Organizaciones y órganos extraterritoriales",2015,900186.598430106
