"","sex","isic","year","weighted_mean"
"94","Hombre","Organizaciones y organos extraterritoriales",2011,852813.140707189
"95","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2012,447092.429553831
"96","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2013,498898.956148155
"97","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2014,467549.440394922
"98","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2015,489813.393366158
"99","Hombre","Organizaciones y órganos extraterritoriales",2012,686990.956659014
"100","Hombre","Organizaciones y órganos extraterritoriales",2013,762528.173188328
"101","Hombre","Organizaciones y órganos extraterritoriales",2014,459006.768554417
"102","Hombre","Organizaciones y órganos extraterritoriales",2015,1420469.2105693
"103","Mujer","Agricultura, ganadería, caza y silvicultura",2010,210440.663411661
"104","Mujer","Agricultura, ganadería, caza y silvicultura",2011,182822.720314834
"105","Mujer","Agricultura, ganadería, caza y silvicultura",2012,176051.907987916
"106","Mujer","Agricultura, ganadería, caza y silvicultura",2013,213604.095597088
"107","Mujer","Agricultura, ganadería, caza y silvicultura",2014,256974.008123089
"108","Mujer","Agricultura, ganadería, caza y silvicultura",2015,249590.640476297
"109","Mujer","Pesca",2010,161758.782941067
"110","Mujer","Pesca",2011,187786.216400029
"111","Mujer","Pesca",2012,241591.940923601
"112","Mujer","Pesca",2013,386869.25208826
"113","Mujer","Pesca",2014,284876.716003268
"114","Mujer","Pesca",2015,317407.762965113
"115","Mujer","Explotación de minas y canteras",2010,676454.543470706
"116","Mujer","Explotación de minas y canteras",2011,709170.078143598
"117","Mujer","Explotación de minas y canteras",2012,812113.130459515
"118","Mujer","Explotación de minas y canteras",2013,577060.119947103
"119","Mujer","Explotación de minas y canteras",2014,757128.550878979
"120","Mujer","Explotación de minas y canteras",2015,1042605.54104064
"121","Mujer","Industrias manufactureras",2010,225627.210774028
"122","Mujer","Industrias manufactureras",2011,258538.94661707
"123","Mujer","Industrias manufactureras",2012,314397.551362619
"124","Mujer","Industrias manufactureras",2013,287216.776642453
"125","Mujer","Industrias manufactureras",2014,289037.894646108
"126","Mujer","Industrias manufactureras",2015,315710.640527591
"127","Mujer","Suministro de electricidad, gas y agua",2010,325589.882954492
"128","Mujer","Suministro de electricidad, gas y agua",2011,529616.578087514
"129","Mujer","Suministro de electricidad, gas y agua",2012,448435.115631272
"130","Mujer","Suministro de electricidad, gas y agua",2013,385828.212989176
"131","Mujer","Suministro de electricidad, gas y agua",2014,360784.041358012
"132","Mujer","Suministro de electricidad, gas y agua",2015,428137.203700329
"133","Mujer","Construcción",2010,432415.257642294
"134","Mujer","Construcción",2011,425899.062630557
"135","Mujer","Construcción",2012,422985.733350276
"136","Mujer","Construcción",2013,508993.178326391
"137","Mujer","Construcción",2014,509238.31749203
"138","Mujer","Construcción",2015,541202.233411942
"139","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres do",2010,216655.372133827
"140","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres do",2011,234037.069241489
"141","Mujer","Hoteles y restaurantes",2010,226048.879001017
"142","Mujer","Hoteles y restaurantes",2011,247571.34442846
"143","Mujer","Hoteles y restaurantes",2012,282874.243941907
"144","Mujer","Hoteles y restaurantes",2013,278210.179892585
"145","Mujer","Hoteles y restaurantes",2014,317014.149545543
"146","Mujer","Hoteles y restaurantes",2015,309481.99726227
"147","Mujer","Transporte, almacenamiento y comunicaciones",2010,382872.658711195
"148","Mujer","Transporte, almacenamiento y comunicaciones",2011,355117.30075527
"149","Mujer","Transporte, almacenamiento y comunicaciones",2012,424778.961044989
"150","Mujer","Transporte, almacenamiento y comunicaciones",2013,433027.39173281
"151","Mujer","Transporte, almacenamiento y comunicaciones",2014,448138.508654636
"152","Mujer","Transporte, almacenamiento y comunicaciones",2015,406109.421762306
"153","Mujer","Intermediación financiera",2010,590680.237258163
"154","Mujer","Intermediación financiera",2011,675485.784498231
"155","Mujer","Intermediación financiera",2012,834010.255221192
"156","Mujer","Intermediación financiera",2013,738913.391743636
"157","Mujer","Intermediación financiera",2014,743630.46028372
"158","Mujer","Intermediación financiera",2015,801919.798990042
"159","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2010,393077.354807758
"160","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2011,476604.452739997
"161","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2012,473764.534146011
"162","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2013,508731.15866015
"163","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2014,559262.415141074
"164","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2015,546731.483272949
"165","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2010,457936.441831654
"166","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2011,472158.285406813
"167","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2012,569939.870334261
"168","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2013,668817.072329236
"169","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2014,667317.580981512
"170","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2015,719815.583176296
"171","Mujer","Enseñanza",2010,388549.101271089
"172","Mujer","Enseñanza",2011,399013.896734171
"173","Mujer","Enseñanza",2012,437711.920853084
"174","Mujer","Enseñanza",2013,442456.465269346
"175","Mujer","Enseñanza",2014,487124.712837693
"176","Mujer","Enseñanza",2015,520315.351286003
"177","Mujer","Servicios sociales y de salud",2010,418029.335133665
"178","Mujer","Servicios sociales y de salud",2011,423201.748027204
"179","Mujer","Servicios sociales y de salud",2012,484360.747676548
"180","Mujer","Servicios sociales y de salud",2013,515136.607932105
"181","Mujer","Servicios sociales y de salud",2014,561868.875864911
"182","Mujer","Servicios sociales y de salud",2015,593481.748306279
"183","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2010,255119.621812959
"184","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2011,276216.046973401
"185","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2012,277666.621343135
"186","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2013,315790.157905334
"187","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2014,320023.519447079
"188","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2015,361603.476331508
"189","Mujer","Hogares privados con servicio doméstico",2010,133996.762577232
"190","Mujer","Hogares privados con servicio doméstico",2011,143104.636973594
"191","Mujer","Hogares privados con servicio doméstico",2012,152289.06475101
"192","Mujer","Hogares privados con servicio doméstico",2013,172203.130106502
"193","Mujer","Hogares privados con servicio doméstico",2014,180943.274869424
"194","Mujer","Hogares privados con servicio doméstico",2015,200020.707515565
"195","Mujer","Organizaciones y organos extraterritoriales",2010,953986.699937164
"196","Mujer","Organizaciones y organos extraterritoriales",2011,713435.298626471
"197","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2012,259674.21966632
"198","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2013,266995.220624296
"199","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2014,287879.318599975
"200","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2015,298200.820315293
"201","Mujer","Organizaciones y órganos extraterritoriales",2012,623558.126657475
"202","Mujer","Organizaciones y órganos extraterritoriales",2013,517248.916323733
"203","Mujer","Organizaciones y órganos extraterritoriales",2014,836065.586811159
"204","Mujer","Organizaciones y órganos extraterritoriales",2015,1434061.46201835
