"","sex","isced","year","weighted_median"
"48","Hombre","Nivel ignorado",2015,510331.104566868
"49","Hombre","Nunca estudió",2010,140000
"50","Hombre","Nunca estudió",2011,120579.984836998
"51","Hombre","Nunca estudió",2013,199244.740154648
"52","Hombre","Nunca estudió",2014,199962.497656104
"53","Hombre","Nunca estudió",2015,200047.180183161
"54","Hombre","Nunca Estudió",2012,160000.24226387
"55","Hombre","Postítulo y Maestría",2012,1506765.46391753
"56","Hombre","Postítulo y Maestría",2014,1576314.4971637
"57","Hombre","Postítulo y Maestría",2015,1506111.91597248
"58","Hombre","Postitulos y maestria",2010,1401370.13114112
"59","Hombre","Postitulos y maestria",2011,1495205.41506064
"60","Hombre","Postítulos y Maestría",2013,1335749.31116693
"61","Mujer","Doctorado",2010,486688.934499081
"62","Mujer","Doctorado",2011,1028013.45913282
"63","Mujer","Doctorado",2012,1183179.21186505
"64","Mujer","Doctorado",2013,944041.557943556
"65","Mujer","Doctorado",2014,999895.83596022
"66","Mujer","Doctorado",2015,1402378.62359042
"67","Mujer","Educación preescolar",2010,52864.6485809002
"68","Mujer","Educación preescolar",2011,79744.288803234
"69","Mujer","Educación Preescolar",2012,288891.846895882
"70","Mujer","Educación Preescolar",2013,95057.7208073863
"71","Mujer","Educación Preescolar",2014,221886.677174374
"72","Mujer","Educación Preescolar",2015,105724.112902456
"73","Mujer","Educación primaria (nivel 1)",2010,100000
"74","Mujer","Educación primaria (nivel 1)",2011,100422.5641717
"75","Mujer","Educación Primaria (nivel 1)",2012,113776.311968193
"76","Mujer","Educación Primaria (nivel 1)",2013,125296.150772652
"77","Mujer","Educación Primaria (nivel 1)",2014,141459.16240288
"78","Mujer","Educación Primaria (nivel 1)",2015,140037.885621505
"79","Mujer","Educación primaria (nivel 2)",2010,130000
"80","Mujer","Educación primaria (nivel 2)",2011,149506.452360361
"81","Mujer","Educación Primaria (nivel 2)",2012,152583.294999247
"82","Mujer","Educación Primaria (nivel 2)",2013,171389.080458487
"83","Mujer","Educación Primaria (nivel 2)",2014,191054.687447613
"84","Mujer","Educación Primaria (nivel 2)",2015,200000
"85","Mujer","Educación secundaria",2010,174880.312652662
"86","Mujer","Educación secundaria",2011,190000
"87","Mujer","Educación Secundaria",2012,205341.059347865
"88","Mujer","Educación Secundaria",2013,220298.237686399
"89","Mujer","Educación Secundaria",2014,249953.12207013
"90","Mujer","Educación Secundaria",2015,257043.10032597
"91","Mujer","Educación Técnica (Educación Superior no Universitaria)",2010,279808.50024426
"92","Mujer","Educación Técnica (Educación Superior no Universitaria)",2011,299041.083012127
"93","Mujer","Educación Técnica (Educación Superior no Universitaria)",2012,301686.325101363
"94","Mujer","Educación Técnica (Educación Superior no Universitaria)",2013,323772.702751304
"95","Mujer","Educación Técnica (Educación Superior no Universitaria)",2014,353647.9060072
"96","Mujer","Educación Técnica (Educación Superior no Universitaria)",2015,351426.113726912
"97","Mujer","Educación universitaria",2010,450440.39929536
"98","Mujer","Educación universitaria",2011,494721.419783684
"99","Mujer","Educación Universitaria",2012,502255.154639175
"100","Mujer","Educación Universitaria",2013,547923.035425283
"101","Mujer","Educación Universitaria",2014,565938.020957338
"102","Mujer","Educación Universitaria",2015,600000
"103","Mujer","Nivel ignorado",2010,195517.432570225
"104","Mujer","Nivel ignorado",2011,271857.036346402
"105","Mujer","Nivel ignorado",2012,250000
"106","Mujer","Nivel ignorado",2013,350000
"107","Mujer","Nivel ignorado",2014,274187.562579618
"108","Mujer","Nivel ignorado",2015,408035.897050663
"109","Mujer","Nunca estudió",2010,50001.1764082261
"110","Mujer","Nunca estudió",2011,61415.3380322565
"111","Mujer","Nunca estudió",2013,79697.8960618594
"112","Mujer","Nunca estudió",2014,101042.2588592
"113","Mujer","Nunca estudió",2015,168541.297138276
"114","Mujer","Nunca Estudió",2012,80360.824742268
"115","Mujer","Postítulo y Maestría",2012,1002687.41719462
"116","Mujer","Postítulo y Maestría",2014,909380.3297328
"117","Mujer","Postítulo y Maestría",2015,1000001.12718737
"118","Mujer","Postitulos y maestria",2010,691021.823930183
"119","Mujer","Postitulos y maestria",2011,600000
"120","Mujer","Postítulos y Maestría",2013,796978.960618594
