"","sex","isco","year","ub_weighted_median"
"48","Hombre","Técnicos y profesionales de nivel medio",2015,641451
"49","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2010,237909
"50","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2011,270973
"51","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2012,300000
"52","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2013,310420
"53","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2014,310000
"54","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2015,350000
"55","Hombre","Trabajadores no calificados",2010,179877
"56","Hombre","Trabajadores no calificados",2011,199361
"57","Hombre","Trabajadores no calificados",2012,211180
"58","Hombre","Trabajadores no calificados",2013,240325
"59","Hombre","Trabajadores no calificados",2014,256032
"60","Hombre","Trabajadores no calificados",2015,276063
"61","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,69971
"62","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,87220
"63","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,70393
"64","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,73460
"65","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,110380
"66","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,133867
"67","Mujer","Empleados de oficina",2010,250000
"68","Mujer","Empleados de oficina",2011,265804
"69","Mujer","Empleados de oficina",2012,301353
"70","Mujer","Empleados de oficina",2013,300407
"71","Mujer","Empleados de oficina",2014,326386
"72","Mujer","Empleados de oficina",2015,351426
"73","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2010,800727
"74","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2011,1034200
"75","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2012,1005353
"76","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2013,908886
"77","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2014,1005472
"78","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2015,1200000
"79","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,70000
"80","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,99099
"81","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,83893
"82","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,101666
"83","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,129991
"84","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,125661
"85","Mujer","Operadores de instalaciones y máquinas y montadores",2010,200196
"86","Mujer","Operadores de instalaciones y máquinas y montadores",2011,233687
"87","Mujer","Operadores de instalaciones y máquinas y montadores",2012,252071
"88","Mujer","Operadores de instalaciones y máquinas y montadores",2013,280380
"89","Mujer","Operadores de instalaciones y máquinas y montadores",2014,300000
"90","Mujer","Operadores de instalaciones y máquinas y montadores",2015,300056
"91","Mujer","Otros no identificados",2010,723529
"92","Mujer","Otros no identificados",2011,705833
"93","Mujer","Otros no identificados",2012,509122
"94","Mujer","Otros no identificados",2013,772033
"95","Mujer","Otros no identificados",2014,730000
"96","Mujer","Otros no identificados",2015,892794
"97","Mujer","Profesionales científicos e intelectuales",2010,580092
"98","Mujer","Profesionales científicos e intelectuales",2011,598082
"99","Mujer","Profesionales científicos e intelectuales",2012,640000
"100","Mujer","Profesionales científicos e intelectuales",2013,689948
"101","Mujer","Profesionales científicos e intelectuales",2014,700000
"102","Mujer","Profesionales científicos e intelectuales",2015,787034
"103","Mujer","Técnicos y profesionales de nivel medio",2010,319781
"104","Mujer","Técnicos y profesionales de nivel medio",2011,398721
"105","Mujer","Técnicos y profesionales de nivel medio",2012,394000
"106","Mujer","Técnicos y profesionales de nivel medio",2013,418727
"107","Mujer","Técnicos y profesionales de nivel medio",2014,438562
"108","Mujer","Técnicos y profesionales de nivel medio",2015,463000
"109","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2010,174943
"110","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2011,184719
"111","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2012,200902
"112","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2013,210149
"113","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2014,227345
"114","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2015,250068
"115","Mujer","Trabajadores no calificados",2010,140137
"116","Mujer","Trabajadores no calificados",2011,155622
"117","Mujer","Trabajadores no calificados",2012,174992
"118","Mujer","Trabajadores no calificados",2013,190000
"119","Mujer","Trabajadores no calificados",2014,214196
"120","Mujer","Trabajadores no calificados",2015,221734
