"","sex","isco","year","weighted_mean"
"37","Hombre","Profesionales científicos e intelectuales",2010,1080713.30066069
"38","Hombre","Profesionales científicos e intelectuales",2011,1119891.06130322
"39","Hombre","Profesionales científicos e intelectuales",2012,1218091.10791722
"40","Hombre","Profesionales científicos e intelectuales",2013,1236748.90483075
"41","Hombre","Profesionales científicos e intelectuales",2014,1294995.25755418
"42","Hombre","Profesionales científicos e intelectuales",2015,1405193.69373286
"43","Hombre","Técnicos y profesionales de nivel medio",2010,585900.680317465
"44","Hombre","Técnicos y profesionales de nivel medio",2011,633799.972876135
"45","Hombre","Técnicos y profesionales de nivel medio",2012,660058.967280208
"46","Hombre","Técnicos y profesionales de nivel medio",2013,726717.733685717
"47","Hombre","Técnicos y profesionales de nivel medio",2014,673480.393510201
"48","Hombre","Técnicos y profesionales de nivel medio",2015,758054.740321636
"49","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2010,352351.00889409
"50","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2011,353192.276732712
"51","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2012,358143.63057782
"52","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2013,394474.767058817
"53","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2014,373387.603462618
"54","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2015,414288.865904325
"55","Hombre","Trabajadores no calificados",2010,193081.391331923
"56","Hombre","Trabajadores no calificados",2011,214146.728700774
"57","Hombre","Trabajadores no calificados",2012,232724.488058275
"58","Hombre","Trabajadores no calificados",2013,259829.798156578
"59","Hombre","Trabajadores no calificados",2014,274644.888861754
"60","Hombre","Trabajadores no calificados",2015,292505.239427289
"61","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,106458.629171018
"62","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,122820.704328695
"63","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,124877.786682405
"64","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,108980.595810804
"65","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,161710.079754603
"66","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,205937.589281792
"67","Mujer","Empleados de oficina",2010,282534.437608291
"68","Mujer","Empleados de oficina",2011,305411.918348481
"69","Mujer","Empleados de oficina",2012,337530.878739811
"70","Mujer","Empleados de oficina",2013,364171.58230251
"71","Mujer","Empleados de oficina",2014,369622.102438743
"72","Mujer","Empleados de oficina",2015,396686.775920451
"73","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2010,930484.699595076
"74","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2011,1076192.17664564
"75","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2012,1200453.92794639
"76","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2013,1123132.50846004
"77","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2014,1282994.05077181
"78","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2015,1321769.35983993
"79","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,101390.101391696
"80","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,131287.261203104
"81","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,120484.45142539
"82","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,142109.100520707
"83","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,160189.372310322
"84","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,155848.822158636
"85","Mujer","Operadores de instalaciones y máquinas y montadores",2010,215391.469396
"86","Mujer","Operadores de instalaciones y máquinas y montadores",2011,243931.192775102
"87","Mujer","Operadores de instalaciones y máquinas y montadores",2012,321228.760958125
"88","Mujer","Operadores de instalaciones y máquinas y montadores",2013,303767.960291282
"89","Mujer","Operadores de instalaciones y máquinas y montadores",2014,326467.233366902
"90","Mujer","Operadores de instalaciones y máquinas y montadores",2015,290909.746307398
"91","Mujer","Otros no identificados",2010,603414.798249306
"92","Mujer","Otros no identificados",2011,533634.601584636
"93","Mujer","Otros no identificados",2012,512307.696938923
"94","Mujer","Otros no identificados",2013,673115.279619736
"95","Mujer","Otros no identificados",2014,670659.9893378
"96","Mujer","Otros no identificados",2015,761663.372695648
"97","Mujer","Profesionales científicos e intelectuales",2010,666186.603681506
"98","Mujer","Profesionales científicos e intelectuales",2011,696697.761029414
"99","Mujer","Profesionales científicos e intelectuales",2012,764471.059779402
"100","Mujer","Profesionales científicos e intelectuales",2013,780656.310764434
"101","Mujer","Profesionales científicos e intelectuales",2014,852884.567960118
"102","Mujer","Profesionales científicos e intelectuales",2015,914323.705668381
"103","Mujer","Técnicos y profesionales de nivel medio",2010,426888.549906909
"104","Mujer","Técnicos y profesionales de nivel medio",2011,477773.703848172
"105","Mujer","Técnicos y profesionales de nivel medio",2012,498894.543329125
"106","Mujer","Técnicos y profesionales de nivel medio",2013,514916.482542883
"107","Mujer","Técnicos y profesionales de nivel medio",2014,537493.281025494
"108","Mujer","Técnicos y profesionales de nivel medio",2015,560175.816928958
"109","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2010,211551.082637944
"110","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2011,213382.6121684
"111","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2012,243839.850932358
"112","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2013,247130.027502345
"113","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2014,253795.40191394
"114","Mujer","Trabajadores de los servicios y vendedores de comercios y mercados",2015,273368.056487605
"115","Mujer","Trabajadores no calificados",2010,140287.644788036
"116","Mujer","Trabajadores no calificados",2011,150898.003299001
"117","Mujer","Trabajadores no calificados",2012,163516.557814089
"118","Mujer","Trabajadores no calificados",2013,185915.996828565
"119","Mujer","Trabajadores no calificados",2014,207459.252465788
"120","Mujer","Trabajadores no calificados",2015,213756.104402702
