"","sex","isic","year","lb_weighted_median"
"78","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2011,199986
"79","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2013,250339
"80","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2014,299944
"81","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2015,255869
"82","Hombre","Pesca",2011,180754
"83","Hombre","Pesca",2013,200129
"84","Hombre","Pesca",2014,249953
"85","Hombre","Pesca",2015,264785
"86","Hombre","Servicios sociales y de salud",2011,400000
"87","Hombre","Servicios sociales y de salud",2013,411151
"88","Hombre","Servicios sociales y de salud",2014,447646
"89","Hombre","Servicios sociales y de salud",2015,511520
"90","Hombre","Suministro de electricidad, gas y agua",2011,302673
"91","Hombre","Suministro de electricidad, gas y agua",2013,325667
"92","Hombre","Suministro de electricidad, gas y agua",2014,394638
"93","Hombre","Suministro de electricidad, gas y agua",2015,431523
"94","Hombre","Transporte, almacenamiento y comunicaciones",2011,299041
"95","Hombre","Transporte, almacenamiento y comunicaciones",2013,348678
"96","Hombre","Transporte, almacenamiento y comunicaciones",2014,350000
"97","Hombre","Transporte, almacenamiento y comunicaciones",2015,394708
"98","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2013,298867
"99","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2014,301393
"100","Hombre","Organizaciones y órganos extraterritoriales",2013,250000
"101","Hombre","Organizaciones y órganos extraterritoriales",2014,454690
"102","Hombre","Organizaciones y órganos extraterritoriales",2015,1200325
"103","Mujer","1",2010,136332
"104","Mujer","1",2012,130102
"105","Mujer","10",2010,365800
"106","Mujer","10",2012,483556
"107","Mujer","11",2010,214786
"108","Mujer","11",2012,278423
"109","Mujer","12",2010,300000
"110","Mujer","12",2012,397265
"111","Mujer","13",2010,279809
"112","Mujer","13",2012,311097
"113","Mujer","14",2010,281257
"114","Mujer","14",2012,318540
"115","Mujer","15",2010,159943
"116","Mujer","15",2012,200902
"117","Mujer","16",2010,111091
"118","Mujer","16",2012,130731
"119","Mujer","17",2010,179877
"120","Mujer","17",2012,78400
"121","Mujer","2",2010,59959
"122","Mujer","2",2012,44247
"123","Mujer","3",2010,274500
"124","Mujer","3",2012,362824
"125","Mujer","4",2010,155967
"126","Mujer","4",2012,200000
"127","Mujer","5",2010,180176
"128","Mujer","5",2012,221051
"129","Mujer","6",2010,211682
"130","Mujer","6",2012,251405
"131","Mujer","8",2010,174941
"132","Mujer","8",2012,204152
"133","Mujer","9",2010,208104
"134","Mujer","9",2012,253750
"135","Mujer","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2010,154894
"136","Mujer","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2011,178677
"137","Mujer","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2012,191511
"138","Mujer","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2015,241000
"139","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2011,251208
"140","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2013,300000
"141","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2014,346202
"142","Mujer","Actividades inmobiliarias, empresariales y de alquiler",2015,340173
"143","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2011,335540
"144","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2013,460983
"145","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2014,401980
"146","Mujer","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2015,500064
"147","Mujer","Agricultura, ganadería, caza y silvicultura",2011,145000
"148","Mujer","Agricultura, ganadería, caza y silvicultura",2013,167332
"149","Mujer","Agricultura, ganadería, caza y silvicultura",2014,200551
"150","Mujer","Agricultura, ganadería, caza y silvicultura",2015,200054
"151","Mujer","Construcción",2011,200967
"152","Mujer","Construcción",2013,299313
"153","Mujer","Construcción",2014,323335
"154","Mujer","Construcción",2015,300623
"155","Mujer","Enseñanza",2011,300000
"156","Mujer","Enseñanza",2013,344364
"157","Mujer","Enseñanza",2014,374651
"158","Mujer","Enseñanza",2015,400000
"159","Mujer","Explotación de minas y canteras",2011,347551
"160","Mujer","Explotación de minas y canteras",2013,365495
"161","Mujer","Explotación de minas y canteras",2014,410882
"162","Mujer","Explotación de minas y canteras",2015,417208
"163","Mujer","Hogares privados con servicio doméstico",2011,120000
"164","Mujer","Hogares privados con servicio doméstico",2013,150097
"165","Mujer","Hogares privados con servicio doméstico",2014,159984
"166","Mujer","Hogares privados con servicio doméstico",2015,180049
"167","Mujer","Hoteles y restaurantes",2011,182569
"168","Mujer","Hoteles y restaurantes",2013,210000
"169","Mujer","Hoteles y restaurantes",2014,234223
"170","Mujer","Hoteles y restaurantes",2015,251019
"171","Mujer","Industrias manufactureras",2011,182880
"172","Mujer","Industrias manufactureras",2013,209207
"173","Mujer","Industrias manufactureras",2014,224958
"174","Mujer","Industrias manufactureras",2015,240031
"175","Mujer","Intermediación financiera",2011,418093
"176","Mujer","Intermediación financiera",2013,515364
"177","Mujer","Intermediación financiera",2014,499906
"178","Mujer","Intermediación financiera",2015,549157
"179","Mujer","Organizaciones y organos extraterritoriales",2011,425427
"180","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2011,174441
"181","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2013,200000
"182","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2014,195209
"183","Mujer","Otras actividades de servicios comunitarios, sociales y personales",2015,219000
"184","Mujer","Pesca",2011,102755
"185","Mujer","Pesca",2013,143456
"186","Mujer","Pesca",2014,192919
"187","Mujer","Pesca",2015,225000
"188","Mujer","Servicios sociales y de salud",2011,300000
"189","Mujer","Servicios sociales y de salud",2013,348678
"190","Mujer","Servicios sociales y de salud",2014,369885
"191","Mujer","Servicios sociales y de salud",2015,400051
"192","Mujer","Suministro de electricidad, gas y agua",2011,249264
"193","Mujer","Suministro de electricidad, gas y agua",2013,250298
"194","Mujer","Suministro de electricidad, gas y agua",2014,252606
"195","Mujer","Suministro de electricidad, gas y agua",2015,240475
"196","Mujer","Transporte, almacenamiento y comunicaciones",2011,250616
"197","Mujer","Transporte, almacenamiento y comunicaciones",2013,260021
"198","Mujer","Transporte, almacenamiento y comunicaciones",2014,273465
"199","Mujer","Transporte, almacenamiento y comunicaciones",2015,293309
"200","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2013,200000
"201","Mujer","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2014,223559
"202","Mujer","Organizaciones y órganos extraterritoriales",2013,200271
"203","Mujer","Organizaciones y órganos extraterritoriales",2014,535524
"204","Mujer","Organizaciones y órganos extraterritoriales",2015,400108
