"","provincia","sex","branch","2011","2013","2015"
"100","Aysén","Hombre","Agricultura, Ganadería, Caza y Silvicultura",218800,220000,300000
"101","Aysén","Hombre","Pesca",308100,300000,342575
"102","Aysén","Hombre","Explotación de Minas y Canteras",333173,441667,383333
"103","Aysén","Hombre","Industrias Manufactureras",305369,300000,229091
"104","Aysén","Hombre","Electricidad, Gas y Agua",284440,348736,265000
"105","Aysén","Hombre","Construcción",291731,317959,300000
"106","Aysén","Hombre","Comercio",288648,300000,300000
"107","Aysén","Hombre","Hoteles y Restaurantes",452290,300000,331653
"108","Aysén","Hombre","Transporte, Almacenamiento y Comunicaciones",328200,300000,400820
"109","Aysén","Hombre","Intermediación Financiera",328200,NA,701353
"110","Aysén","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",325866,295263,396098
"111","Aysén","Hombre","Administración Pública y Defensa",656400,477778,700000
"112","Aysén","Hombre","Enseñanza",382900,700000,581739
"113","Aysén","Hombre","Servicios Sociales y de Salud",1863852,389651,580000
"114","Aysén","Hombre","Otras Actividades de Servicios",315697,309259,296279
"115","Aysén","Hombre","Servicio Doméstico",260858,600000,406250
"116","Aysén","Mujer","Agricultura, Ganadería, Caza y Silvicultura",214014,174250,50000
"117","Aysén","Mujer","Pesca",218800,243769,250000
"118","Aysén","Mujer","Industrias Manufactureras",207157,217039,213143
"119","Aysén","Mujer","Electricidad, Gas y Agua",382900,210000,300000
"120","Aysén","Mujer","Construcción",298896,402410,745588
"121","Aysén","Mujer","Comercio",202239,210000,241000
"122","Aysén","Mujer","Hoteles y Restaurantes",292254,233256,241276
"123","Aysén","Mujer","Transporte, Almacenamiento y Comunicaciones",443163,200000,382759
"124","Aysén","Mujer","Intermediación Financiera",1312800,222174,588837
"125","Aysén","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",218800,210000,136923
"126","Aysén","Mujer","Administración Pública y Defensa",350577,350000,702466
"127","Aysén","Mujer","Enseñanza",252093,304217,372615
"128","Aysén","Mujer","Servicios Sociales y de Salud",652192,400000,436842
"129","Aysén","Mujer","Otras Actividades de Servicios",616200,202308,207317
"130","Aysén","Mujer","Servicio Doméstico",111364,122791,135211
"131","Bíobío","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,241000
"132","Bíobío","Hombre","Pesca",224241,269903,290637
"133","Bíobío","Hombre","Explotación de Minas y Canteras",527863,447884,600000
"134","Bíobío","Hombre","Industrias Manufactureras",251620,230000,300000
"135","Bíobío","Hombre","Electricidad, Gas y Agua",218800,300000,389286
"136","Bíobío","Hombre","Construcción",210036,250000,278953
"137","Bíobío","Hombre","Comercio",218800,259471,250000
"138","Bíobío","Hombre","Hoteles y Restaurantes",213018,210000,241000
"139","Bíobío","Hombre","Transporte, Almacenamiento y Comunicaciones",318028,280000,300000
"140","Bíobío","Hombre","Intermediación Financiera",346372,NA,800000
"141","Bíobío","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,385072,400000
"142","Bíobío","Hombre","Administración Pública y Defensa",505696,300000,485909
"143","Bíobío","Hombre","Enseñanza",218800,400000,400000
"144","Bíobío","Hombre","Servicios Sociales y de Salud",273500,454655,423333
"145","Bíobío","Hombre","Otras Actividades de Servicios",231273,227411,300000
"146","Bíobío","Hombre","Servicio Doméstico",138731,180931,192927
"147","Bíobío","Mujer","Agricultura, Ganadería, Caza y Silvicultura",196920,200000,240000
"148","Bíobío","Mujer","Pesca",247734,500000,550000
"149","Bíobío","Mujer","Explotación de Minas y Canteras",76580,300000,800000
"150","Bíobío","Mujer","Industrias Manufactureras",195859,210000,241000
"151","Bíobío","Mujer","Electricidad, Gas y Agua",1094000,193150,200690
"152","Bíobío","Mujer","Construcción",224470,308788,367234
"153","Bíobío","Mujer","Comercio",199108,200000,240000
"154","Bíobío","Mujer","Hoteles y Restaurantes",197398,210000,222747
"155","Bíobío","Mujer","Transporte, Almacenamiento y Comunicaciones",174797,230527,241000
"156","Bíobío","Mujer","Intermediación Financiera",485675,424444,317982
"157","Bíobío","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",278100,210000,255333
"158","Bíobío","Mujer","Administración Pública y Defensa",285988,394932,372570
"159","Bíobío","Mujer","Enseñanza",308066,258840,390205
"160","Bíobío","Mujer","Servicios Sociales y de Salud",247636,347628,300000
"161","Bíobío","Mujer","Otras Actividades de Servicios",445401,100000,240236
"162","Bíobío","Mujer","Servicio Doméstico",111517,130547,144926
"163","Cachapoal","Hombre","Agricultura, Ganadería, Caza y Silvicultura",204578,210000,250000
"164","Cachapoal","Hombre","Explotación de Minas y Canteras",437600,600000,650000
"165","Cachapoal","Hombre","Industrias Manufactureras",322605,300000,350000
"166","Cachapoal","Hombre","Electricidad, Gas y Agua",388615,300000,300000
"167","Cachapoal","Hombre","Construcción",306320,250000,300000
"168","Cachapoal","Hombre","Comercio",218800,240000,270000
"169","Cachapoal","Hombre","Hoteles y Restaurantes",233387,242668,300000
"170","Cachapoal","Hombre","Transporte, Almacenamiento y Comunicaciones",328200,300000,350000
"171","Cachapoal","Hombre","Intermediación Financiera",476302,562695,800000
"172","Cachapoal","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",212115,461081,437355
"173","Cachapoal","Hombre","Administración Pública y Defensa",437600,500000,400000
"174","Cachapoal","Hombre","Enseñanza",381021,145333,475911
"175","Cachapoal","Hombre","Servicios Sociales y de Salud",465850,518328,455574
"176","Cachapoal","Hombre","Otras Actividades de Servicios",228013,242828,253548
"177","Cachapoal","Hombre","Servicio Doméstico",306179,214490,245612
"178","Cachapoal","Hombre","No Bien Especificado",1027000,279882,286667
"179","Cachapoal","Mujer","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,241000
"180","Cachapoal","Mujer","Explotación de Minas y Canteras",239528,300000,1550000
"181","Cachapoal","Mujer","Industrias Manufactureras",208938,210000,250000
"182","Cachapoal","Mujer","Electricidad, Gas y Agua",196511,267143,266495
"183","Cachapoal","Mujer","Construcción",372850,210029,282154
"184","Cachapoal","Mujer","Comercio",199108,210000,239949
"185","Cachapoal","Mujer","Hoteles y Restaurantes",199108,210000,241000
"186","Cachapoal","Mujer","Transporte, Almacenamiento y Comunicaciones",255015,210000,250000
"187","Cachapoal","Mujer","Intermediación Financiera",260119,428049,505057
"188","Cachapoal","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",263325,250000,300000
"189","Cachapoal","Mujer","Administración Pública y Defensa",368845,420000,400000
"190","Cachapoal","Mujer","Enseñanza",278875,379810,420109
"191","Cachapoal","Mujer","Servicios Sociales y de Salud",196920,250000,359100
"192","Cachapoal","Mujer","Otras Actividades de Servicios",192706,210000,243398
"193","Cachapoal","Mujer","Servicio Doméstico",131280,150000,180000
"194","Cachapoal","Mujer","No Bien Especificado",616200,261053,209000
"195","Capitán Prat","Hombre","Agricultura, Ganadería, Caza y Silvicultura",257988,244444,241000
"196","Capitán Prat","Hombre","Industrias Manufactureras",616200,650000,500000
"197","Capitán Prat","Hombre","Construcción",393156,232114,331818
"198","Capitán Prat","Hombre","Comercio",346613,400000,300000
"199","Capitán Prat","Hombre","Hoteles y Restaurantes",616200,NA,273077
"200","Capitán Prat","Hombre","Intermediación Financiera",199108,NA,NA
"201","Capitán Prat","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",765800,400000,600000
"202","Capitán Prat","Hombre","Administración Pública y Defensa",544637,2334426,595455
"203","Capitán Prat","Hombre","Enseñanza",267978,NA,700000
"204","Capitán Prat","Hombre","Servicios Sociales y de Salud",492300,365000,676000
"205","Capitán Prat","Hombre","Otras Actividades de Servicios",187911,500000,NA
"206","Capitán Prat","Mujer","Agricultura, Ganadería, Caza y Silvicultura",410800,600000,115000
"207","Capitán Prat","Mujer","Electricidad, Gas y Agua",656400,NA,NA
"208","Capitán Prat","Mujer","Construcción",204578,NA,700000
"209","Capitán Prat","Mujer","Comercio",178869,211628,636000
"210","Capitán Prat","Mujer","Hoteles y Restaurantes",470050,177029,237143
"211","Capitán Prat","Mujer","Transporte, Almacenamiento y Comunicaciones",410800,300000,300000
"212","Capitán Prat","Mujer","Intermediación Financiera",526407,900000,NA
"213","Capitán Prat","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,NA,NA
"214","Capitán Prat","Mujer","Administración Pública y Defensa",186664,998077,1000000
"215","Capitán Prat","Mujer","Enseñanza",326269,873000,620833
"216","Capitán Prat","Mujer","Servicios Sociales y de Salud",1203400,231818,609545
"217","Capitán Prat","Mujer","Otras Actividades de Servicios",187112,210000,350000
"218","Capitán Prat","Mujer","Servicio Doméstico",92668,178292,165167
"219","Cardenal Caro","Hombre","Agricultura, Ganadería, Caza y Silvicultura",196920,210000,241000
"220","Cardenal Caro","Hombre","Pesca",308100,226316,190000
"221","Cardenal Caro","Hombre","Explotación de Minas y Canteras",450728,210000,308871
"222","Cardenal Caro","Hombre","Industrias Manufactureras",208876,210000,253049
"223","Cardenal Caro","Hombre","Electricidad, Gas y Agua",202390,267143,275221
"224","Cardenal Caro","Hombre","Construcción",246553,210000,268889
"225","Cardenal Caro","Hombre","Comercio",254571,200000,250000
"226","Cardenal Caro","Hombre","Hoteles y Restaurantes",202869,200000,287286
"227","Cardenal Caro","Hombre","Transporte, Almacenamiento y Comunicaciones",285760,247209,350474
"228","Cardenal Caro","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",220377,741667,234808
"229","Cardenal Caro","Hombre","Administración Pública y Defensa",337708,275000,376629
"230","Cardenal Caro","Hombre","Enseñanza",249797,339256,320000
"231","Cardenal Caro","Hombre","Servicios Sociales y de Salud",347736,211478,500000
"232","Cardenal Caro","Hombre","Otras Actividades de Servicios",196920,427027,275574
"233","Cardenal Caro","Hombre","Servicio Doméstico",164282,217021,238594
"234","Cardenal Caro","Mujer","Agricultura, Ganadería, Caza y Silvicultura",155255,172763,240000
"235","Cardenal Caro","Mujer","Pesca",328640,100000,110000
"236","Cardenal Caro","Mujer","Explotación de Minas y Canteras",308100,NA,250000
"237","Cardenal Caro","Mujer","Industrias Manufactureras",200061,196875,114933
"238","Cardenal Caro","Mujer","Construcción",1094000,413043,NA
"239","Cardenal Caro","Mujer","Comercio",190356,176739,231279
"240","Cardenal Caro","Mujer","Hoteles y Restaurantes",164100,147154,250320
"241","Cardenal Caro","Mujer","Transporte, Almacenamiento y Comunicaciones",131280,106514,284531
"242","Cardenal Caro","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",821600,337037,250000
"243","Cardenal Caro","Mujer","Administración Pública y Defensa",292754,332295,293171
"244","Cardenal Caro","Mujer","Enseñanza",197068,294808,374500
"245","Cardenal Caro","Mujer","Servicios Sociales y de Salud",295496,282676,300000
"246","Cardenal Caro","Mujer","Otras Actividades de Servicios",277274,224658,422697
"247","Cardenal Caro","Mujer","Servicio Doméstico",137560,130000,150000
"248","Cauquenes","Hombre","Agricultura, Ganadería, Caza y Silvicultura",177899,212329,241000
"249","Cauquenes","Hombre","Pesca",195130,244330,130682
"250","Cauquenes","Hombre","Explotación de Minas y Canteras",254760,226378,350000
"251","Cauquenes","Hombre","Industrias Manufactureras",169128,225327,261905
"252","Cauquenes","Hombre","Electricidad, Gas y Agua",218800,210000,NA
"253","Cauquenes","Hombre","Construcción",199108,215424,251374
"254","Cauquenes","Hombre","Comercio",205400,210000,256504
"255","Cauquenes","Hombre","Hoteles y Restaurantes",205400,210000,241000
"256","Cauquenes","Hombre","Transporte, Almacenamiento y Comunicaciones",195097,216866,300000
"257","Cauquenes","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",513500,200000,222174
"258","Cauquenes","Hombre","Administración Pública y Defensa",203957,463542,400000
"259","Cauquenes","Hombre","Enseñanza",324862,394921,220000
"260","Cauquenes","Hombre","Servicios Sociales y de Salud",465839,700000,468443
"261","Cauquenes","Hombre","Otras Actividades de Servicios",200308,280000,215500
"262","Cauquenes","Hombre","Servicio Doméstico",87520,100000,NA
"263","Cauquenes","Mujer","Agricultura, Ganadería, Caza y Silvicultura",163533,163778,216000
"264","Cauquenes","Mujer","Pesca",236210,139468,NA
"265","Cauquenes","Mujer","Industrias Manufactureras",98896,100000,139091
"266","Cauquenes","Mujer","Comercio",198603,182061,168000
"267","Cauquenes","Mujer","Hoteles y Restaurantes",138801,201714,229500
"268","Cauquenes","Mujer","Intermediación Financiera",178337,NA,242000
"269","Cauquenes","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",87520,371392,694194
"270","Cauquenes","Mujer","Administración Pública y Defensa",326559,379000,586629
"271","Cauquenes","Mujer","Enseñanza",221025,300000,300000
"272","Cauquenes","Mujer","Servicios Sociales y de Salud",204279,647470,357758
"273","Cauquenes","Mujer","Otras Actividades de Servicios",192512,249789,103000
"274","Cauquenes","Mujer","Servicio Doméstico",91010,300000,164423
"275","Cautín","Hombre","Agricultura, Ganadería, Caza y Silvicultura",165804,190000,200000
"276","Cautín","Hombre","Pesca",263418,210056,240000
"277","Cautín","Hombre","Explotación de Minas y Canteras",602256,574085,291310
"278","Cautín","Hombre","Industrias Manufactureras",218800,210000,250000
"279","Cautín","Hombre","Electricidad, Gas y Agua",279732,344715,250000
"280","Cautín","Hombre","Construcción",207860,220000,300000
"281","Cautín","Hombre","Comercio",199108,210000,250000
"282","Cautín","Hombre","Hoteles y Restaurantes",199108,210000,241000
"283","Cautín","Hombre","Transporte, Almacenamiento y Comunicaciones",369720,250000,300000
"284","Cautín","Hombre","Intermediación Financiera",538859,413128,500000
"285","Cautín","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",218800,359821,400000
"286","Cautín","Hombre","Administración Pública y Defensa",328200,471221,450000
"287","Cautín","Hombre","Enseñanza",442645,280411,500000
"288","Cautín","Hombre","Servicios Sociales y de Salud",343035,400000,582295
"289","Cautín","Hombre","Otras Actividades de Servicios",211049,210000,250000
"290","Cautín","Hombre","Servicio Doméstico",164255,210000,228298
"291","Cautín","Hombre","Organizaciones y Órganos Extraterritoriales",525120,NA,NA
"292","Cautín","Hombre","No Bien Especificado",765800,331736,373034
"293","Cautín","Mujer","Agricultura, Ganadería, Caza y Silvicultura",164100,124227,190000
"294","Cautín","Mujer","Pesca",206430,109273,240392
"295","Cautín","Mujer","Industrias Manufactureras",205400,141529,220000
"296","Cautín","Mujer","Electricidad, Gas y Agua",173419,141302,354917
"297","Cautín","Mujer","Construcción",499008,250000,292549
"298","Cautín","Mujer","Comercio",196920,180000,200000
"299","Cautín","Mujer","Hoteles y Restaurantes",194825,208333,230000
"300","Cautín","Mujer","Transporte, Almacenamiento y Comunicaciones",1577030,210000,247670
"301","Cautín","Mujer","Intermediación Financiera",412835,350000,380000
"302","Cautín","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",1010511,243000,300000
"303","Cautín","Mujer","Administración Pública y Defensa",240680,419527,450000
"304","Cautín","Mujer","Enseñanza",277876,300000,320000
"305","Cautín","Mujer","Servicios Sociales y de Salud",273500,350000,400000
"306","Cautín","Mujer","Otras Actividades de Servicios",201535,200000,250000
"307","Cautín","Mujer","Servicio Doméstico",98460,145317,150000
"308","Cautín","Mujer","Organizaciones y Órganos Extraterritoriales",80956,105000,NA
"309","Chacabuco","Hombre","Agricultura, Ganadería, Caza y Silvicultura",202512,210000,293370
"310","Chacabuco","Hombre","Explotación de Minas y Canteras",382900,400800,594578
"311","Chacabuco","Hombre","Industrias Manufactureras",218800,243896,329882
"312","Chacabuco","Hombre","Construcción",328521,295855,380485
"313","Chacabuco","Hombre","Comercio",271897,235511,300000
"314","Chacabuco","Hombre","Hoteles y Restaurantes",218800,230214,300000
"315","Chacabuco","Hombre","Transporte, Almacenamiento y Comunicaciones",340747,262685,500000
"316","Chacabuco","Hombre","Intermediación Financiera",227469,370000,800000
"317","Chacabuco","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",395771,379959,414322
"318","Chacabuco","Hombre","Administración Pública y Defensa",452836,350000,350823
"319","Chacabuco","Hombre","Enseñanza",218800,370515,341935
"320","Chacabuco","Hombre","Servicios Sociales y de Salud",373102,266613,329710
"321","Chacabuco","Hombre","Otras Actividades de Servicios",205770,273404,436506
"322","Chacabuco","Hombre","Servicio Doméstico",284304,233664,300000
"323","Chacabuco","Mujer","Agricultura, Ganadería, Caza y Silvicultura",182609,175619,250000
"324","Chacabuco","Mujer","Explotación de Minas y Canteras",262560,203047,453299
"325","Chacabuco","Mujer","Industrias Manufactureras",218800,210000,241000
"326","Chacabuco","Mujer","Construcción",371395,238093,300000
"327","Chacabuco","Mujer","Comercio",199108,200000,240000
"328","Chacabuco","Mujer","Hoteles y Restaurantes",206830,182232,240000
"329","Chacabuco","Mujer","Transporte, Almacenamiento y Comunicaciones",300924,210000,381846
"330","Chacabuco","Mujer","Intermediación Financiera",437600,400000,250000
"331","Chacabuco","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",255623,294882,328948
"332","Chacabuco","Mujer","Administración Pública y Defensa",151161,316215,243928
"333","Chacabuco","Mujer","Enseñanza",232475,268792,300000
"334","Chacabuco","Mujer","Servicios Sociales y de Salud",272360,364526,385508
"335","Chacabuco","Mujer","Otras Actividades de Servicios",178274,206260,246000
"336","Chacabuco","Mujer","Servicio Doméstico",169718,207956,247343
"337","Chañaral","Hombre","Agricultura, Ganadería, Caza y Silvicultura",294764,NA,200000
"338","Chañaral","Hombre","Pesca",286468,280000,196842
"339","Chañaral","Hombre","Explotación de Minas y Canteras",463283,550000,500000
"340","Chañaral","Hombre","Industrias Manufactureras",418963,250000,420000
"341","Chañaral","Hombre","Electricidad, Gas y Agua",309967,549068,239000
"342","Chañaral","Hombre","Construcción",350080,251125,300000
"343","Chañaral","Hombre","Comercio",410800,241795,300000
"344","Chañaral","Hombre","Hoteles y Restaurantes",781743,204627,400000
"345","Chañaral","Hombre","Transporte, Almacenamiento y Comunicaciones",388500,464286,362500
"346","Chañaral","Hombre","Intermediación Financiera",2188000,NA,NA
"347","Chañaral","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",527857,375781,400000
"348","Chañaral","Hombre","Administración Pública y Defensa",392822,332124,537500
"349","Chañaral","Hombre","Enseñanza",429144,611111,666250
"350","Chañaral","Hombre","Servicios Sociales y de Salud",596689,563333,350000
"351","Chañaral","Hombre","Otras Actividades de Servicios",382900,209595,300000
"352","Chañaral","Hombre","Servicio Doméstico",382900,NA,45000
"353","Chañaral","Mujer","Pesca",164100,NA,314706
"354","Chañaral","Mujer","Explotación de Minas y Canteras",231232,568235,457403
"355","Chañaral","Mujer","Industrias Manufactureras",470473,157059,179531
"356","Chañaral","Mujer","Electricidad, Gas y Agua",217584,NA,214000
"357","Chañaral","Mujer","Construcción",519650,320364,854545
"358","Chañaral","Mujer","Comercio",200764,158133,200000
"359","Chañaral","Mujer","Hoteles y Restaurantes",166258,210000,241000
"360","Chañaral","Mujer","Transporte, Almacenamiento y Comunicaciones",401133,239000,455429
"361","Chañaral","Mujer","Intermediación Financiera",443435,729412,428824
"362","Chañaral","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",534279,300388,263333
"363","Chañaral","Mujer","Administración Pública y Defensa",492300,500000,400000
"364","Chañaral","Mujer","Enseñanza",287049,425574,301143
"365","Chañaral","Mujer","Servicios Sociales y de Salud",353339,400000,320000
"366","Chañaral","Mujer","Otras Actividades de Servicios",117114,244932,140000
"367","Chañaral","Mujer","Servicio Doméstico",99676,134681,109750
"368","Chiloé","Hombre","Agricultura, Ganadería, Caza y Silvicultura",205400,120000,150000
"369","Chiloé","Hombre","Pesca",215990,200000,250000
"370","Chiloé","Hombre","Explotación de Minas y Canteras",235589,NA,360112
"371","Chiloé","Hombre","Industrias Manufactureras",218800,235000,280000
"372","Chiloé","Hombre","Electricidad, Gas y Agua",201165,280000,241000
"373","Chiloé","Hombre","Construcción",233836,250000,250000
"374","Chiloé","Hombre","Comercio",225940,210000,247308
"375","Chiloé","Hombre","Hoteles y Restaurantes",209610,210000,241000
"376","Chiloé","Hombre","Transporte, Almacenamiento y Comunicaciones",410800,263528,300000
"377","Chiloé","Hombre","Intermediación Financiera",877743,565667,493421
"378","Chiloé","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",196920,232419,400000
"379","Chiloé","Hombre","Administración Pública y Defensa",499420,300000,583111
"380","Chiloé","Hombre","Enseñanza",202104,400000,480203
"381","Chiloé","Hombre","Servicios Sociales y de Salud",419896,478000,600000
"382","Chiloé","Hombre","Otras Actividades de Servicios",202812,200000,249783
"383","Chiloé","Hombre","Servicio Doméstico",125242,181043,138600
"384","Chiloé","Mujer","Agricultura, Ganadería, Caza y Silvicultura",108251,50000,80000
"385","Chiloé","Mujer","Pesca",199924,244706,241000
"386","Chiloé","Mujer","Industrias Manufactureras",199108,210000,240000
"387","Chiloé","Mujer","Electricidad, Gas y Agua",138022,250000,346429
