"","region","sex","branch","2011","2013","2015"
"45","Araucanía","Hombre","Intermediación Financiera",547000,408943,517571
"46","Araucanía","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",252181,366471,380000
"47","Araucanía","Hombre","Administración Pública y Defensa",382900,474989,450000
"48","Araucanía","Hombre","Enseñanza",437600,300000,500000
"49","Araucanía","Hombre","Servicios Sociales y de Salud",328200,400000,500000
"50","Araucanía","Hombre","Otras Actividades de Servicios",215508,210000,250000
"51","Araucanía","Hombre","Servicio Doméstico",166410,200000,200000
"52","Araucanía","Hombre","Organizaciones y Órganos Extraterritoriales",525120,NA,NA
"53","Araucanía","Hombre","No Bien Especificado",765800,300000,302604
"54","Araucanía","Mujer","Agricultura, Ganadería, Caza y Silvicultura",158493,170000,191000
"55","Araucanía","Mujer","Pesca",206430,109273,273509
"56","Araucanía","Mujer","Industrias Manufactureras",203367,136975,200000
"57","Araucanía","Mujer","Electricidad, Gas y Agua",234245,141302,288095
"58","Araucanía","Mujer","Construcción",484534,250000,299412
"59","Araucanía","Mujer","Comercio",196920,181747,200000
"60","Araucanía","Mujer","Hoteles y Restaurantes",196920,210000,224662
"61","Araucanía","Mujer","Transporte, Almacenamiento y Comunicaciones",1503230,225439,241000
"62","Araucanía","Mujer","Intermediación Financiera",385894,367963,388624
"63","Araucanía","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",944191,245528,260000
"64","Araucanía","Mujer","Administración Pública y Defensa",252540,381605,401516
"65","Araucanía","Mujer","Enseñanza",316149,300000,313726
"66","Araucanía","Mujer","Servicios Sociales y de Salud",273500,360000,380000
"67","Araucanía","Mujer","Otras Actividades de Servicios",200147,199298,241712
"68","Araucanía","Mujer","Servicio Doméstico",98460,130000,150000
"69","Araucanía","Mujer","Organizaciones y Órganos Extraterritoriales",80956,105000,NA
"70","Arica y Parinacota","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,246227
"71","Arica y Parinacota","Hombre","Pesca",328627,300000,418405
"72","Arica y Parinacota","Hombre","Explotación de Minas y Canteras",492300,485333,600000
"73","Arica y Parinacota","Hombre","Industrias Manufactureras",305928,210000,283704
"74","Arica y Parinacota","Hombre","Electricidad, Gas y Agua",338775,402800,372727
"75","Arica y Parinacota","Hombre","Construcción",222957,250000,300000
"76","Arica y Parinacota","Hombre","Comercio",240082,210000,250000
"77","Arica y Parinacota","Hombre","Hoteles y Restaurantes",201925,210000,256964
"78","Arica y Parinacota","Hombre","Transporte, Almacenamiento y Comunicaciones",373143,300000,300000
"79","Arica y Parinacota","Hombre","Intermediación Financiera",219035,350000,260000
"80","Arica y Parinacota","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",407243,348800,497174
"81","Arica y Parinacota","Hombre","Administración Pública y Defensa",522689,549314,550000
"82","Arica y Parinacota","Hombre","Enseñanza",525120,380000,605227
"83","Arica y Parinacota","Hombre","Servicios Sociales y de Salud",328711,350000,720994
"84","Arica y Parinacota","Hombre","Otras Actividades de Servicios",218800,238460,156667
"85","Arica y Parinacota","Hombre","Servicio Doméstico",208516,187027,200000
"86","Arica y Parinacota","Hombre","No Bien Especificado",201759,348485,300000
"87","Arica y Parinacota","Mujer","Agricultura, Ganadería, Caza y Silvicultura",218800,200000,201426
"88","Arica y Parinacota","Mujer","Pesca",196920,327500,NA
"89","Arica y Parinacota","Mujer","Explotación de Minas y Canteras",305382,350000,350000
"90","Arica y Parinacota","Mujer","Industrias Manufactureras",218800,150000,250000
"91","Arica y Parinacota","Mujer","Electricidad, Gas y Agua",328200,800000,200000
"92","Arica y Parinacota","Mujer","Construcción",226093,210588,340306
"93","Arica y Parinacota","Mujer","Comercio",218800,150657,200000
"94","Arica y Parinacota","Mujer","Hoteles y Restaurantes",196920,190088,189847
"95","Arica y Parinacota","Mujer","Transporte, Almacenamiento y Comunicaciones",261030,210000,220000
"96","Arica y Parinacota","Mujer","Intermediación Financiera",245056,298551,910106
"97","Arica y Parinacota","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",204578,250000,300000
"98","Arica y Parinacota","Mujer","Administración Pública y Defensa",391391,400001,580000
"99","Arica y Parinacota","Mujer","Enseñanza",328200,300000,320000
"100","Arica y Parinacota","Mujer","Servicios Sociales y de Salud",328200,300000,485031
"101","Arica y Parinacota","Mujer","Otras Actividades de Servicios",205400,152222,204194
"102","Arica y Parinacota","Mujer","Servicio Doméstico",135656,120000,156867
"103","Arica y Parinacota","Mujer","No Bien Especificado",268527,293929,NA
"104","Atacama","Hombre","Agricultura, Ganadería, Caza y Silvicultura",256406,210000,300000
"105","Atacama","Hombre","Pesca",410800,300000,261259
"106","Atacama","Hombre","Explotación de Minas y Canteras",437600,500000,600000
"107","Atacama","Hombre","Industrias Manufactureras",364144,350000,380000
"108","Atacama","Hombre","Electricidad, Gas y Agua",272238,400000,452812
"109","Atacama","Hombre","Construcción",345474,300000,350000
"110","Atacama","Hombre","Comercio",328200,280000,320000
"111","Atacama","Hombre","Hoteles y Restaurantes",350080,214595,320000
"112","Atacama","Hombre","Transporte, Almacenamiento y Comunicaciones",410800,350000,400000
"113","Atacama","Hombre","Intermediación Financiera",445884,310546,498462
"114","Atacama","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",382900,400000,450000
"115","Atacama","Hombre","Administración Pública y Defensa",457549,329687,500000
"116","Atacama","Hombre","Enseñanza",437600,484810,600000
"117","Atacama","Hombre","Servicios Sociales y de Salud",435290,350000,500000
"118","Atacama","Hombre","Otras Actividades de Servicios",341445,300421,350000
"119","Atacama","Hombre","Servicio Doméstico",243261,373554,120000
"120","Atacama","Hombre","No Bien Especificado",1251263,500000,NA
"121","Atacama","Mujer","Agricultura, Ganadería, Caza y Silvicultura",197194,210000,288148
"122","Atacama","Mujer","Pesca",199655,225102,241000
"123","Atacama","Mujer","Explotación de Minas y Canteras",273500,446543,480000
"124","Atacama","Mujer","Industrias Manufactureras",246480,150000,235333
"125","Atacama","Mujer","Electricidad, Gas y Agua",273500,230667,348269
"126","Atacama","Mujer","Construcción",328200,221447,300000
"127","Atacama","Mujer","Comercio",205400,210000,241000
"128","Atacama","Mujer","Hoteles y Restaurantes",199655,210000,241412
"129","Atacama","Mujer","Transporte, Almacenamiento y Comunicaciones",206752,300000,400000
"130","Atacama","Mujer","Intermediación Financiera",403439,550000,400000
"131","Atacama","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,304610,300000
"132","Atacama","Mujer","Administración Pública y Defensa",382900,400000,500000
"133","Atacama","Mujer","Enseñanza",323973,319630,305222
"134","Atacama","Mujer","Servicios Sociales y de Salud",328200,350000,360000
"135","Atacama","Mujer","Otras Actividades de Servicios",205050,214811,300000
"136","Atacama","Mujer","Servicio Doméstico",164100,180000,200000
"137","Atacama","Mujer","Organizaciones y Órganos Extraterritoriales",144509,NA,NA
"138","Atacama","Mujer","No Bien Especificado",404323,286705,NA
"139","Aysén","Hombre","Agricultura, Ganadería, Caza y Silvicultura",240680,210000,257636
"140","Aysén","Hombre","Pesca",328200,301364,353846
"141","Aysén","Hombre","Explotación de Minas y Canteras",437600,500000,750806
"142","Aysén","Hombre","Industrias Manufactureras",328200,280000,300000
"143","Aysén","Hombre","Electricidad, Gas y Agua",284440,400000,284048
"144","Aysén","Hombre","Construcción",306320,300000,350000
"145","Aysén","Hombre","Comercio",273500,280000,300000
"146","Aysén","Hombre","Hoteles y Restaurantes",238691,251136,250000
"147","Aysén","Hombre","Transporte, Almacenamiento y Comunicaciones",328200,300000,350962
"148","Aysén","Hombre","Intermediación Financiera",391537,700000,409516
"149","Aysén","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",616200,375758,521053
"150","Aysén","Hombre","Administración Pública y Defensa",656400,750000,889111
"151","Aysén","Hombre","Enseñanza",524267,496296,700000
"152","Aysén","Hombre","Servicios Sociales y de Salud",399022,596250,500000
"153","Aysén","Hombre","Otras Actividades de Servicios",665009,368448,288837
"154","Aysén","Hombre","Servicio Doméstico",200560,202800,200000
"155","Aysén","Hombre","Organizaciones y Órganos Extraterritoriales",667340,NA,NA
"156","Aysén","Mujer","Agricultura, Ganadería, Caza y Silvicultura",246480,170000,80690
"157","Aysén","Mujer","Pesca",218800,227652,300000
"158","Aysén","Mujer","Industrias Manufactureras",205400,210000,185728
"159","Aysén","Mujer","Electricidad, Gas y Agua",564778,237683,580932
"160","Aysén","Mujer","Construcción",328200,400000,940268
"161","Aysén","Mujer","Comercio",204742,210000,247115
"162","Aysén","Mujer","Hoteles y Restaurantes",251620,210000,249872
"163","Aysén","Mujer","Transporte, Almacenamiento y Comunicaciones",533726,250000,301923
"164","Aysén","Mujer","Intermediación Financiera",437600,390323,400000
"165","Aysén","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",269567,273167,250718
"166","Aysén","Mujer","Administración Pública y Defensa",333728,404561,615455
"167","Aysén","Mujer","Enseñanza",328200,400000,400000
"168","Aysén","Mujer","Servicios Sociales y de Salud",328200,400000,560000
"169","Aysén","Mujer","Otras Actividades de Servicios",204792,210000,282239
"170","Aysén","Mujer","Servicio Doméstico",125403,150000,161362
"171","Bíobío","Hombre","Agricultura, Ganadería, Caza y Silvicultura",196920,205000,241000
"172","Bíobío","Hombre","Pesca",196920,200000,250538
"173","Bíobío","Hombre","Explotación de Minas y Canteras",377731,500000,550000
"174","Bíobío","Hombre","Industrias Manufactureras",273500,280000,300000
"175","Bíobío","Hombre","Electricidad, Gas y Agua",296806,300000,379141
"176","Bíobío","Hombre","Construcción",218800,250000,300000
"177","Bíobío","Hombre","Comercio",305094,250000,250000
"178","Bíobío","Hombre","Hoteles y Restaurantes",218800,210000,250000
"179","Bíobío","Hombre","Transporte, Almacenamiento y Comunicaciones",218800,280000,300000
"180","Bíobío","Hombre","Intermediación Financiera",547000,750000,651955
"181","Bíobío","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,377488,300000
"182","Bíobío","Hombre","Administración Pública y Defensa",437600,425333,500000
"183","Bíobío","Hombre","Enseñanza",287165,400000,500000
"184","Bíobío","Hombre","Servicios Sociales y de Salud",373106,360157,450000
"185","Bíobío","Hombre","Otras Actividades de Servicios",203666,220000,241000
"186","Bíobío","Hombre","Servicio Doméstico",211016,180000,231756
"187","Bíobío","Hombre","Organizaciones y Órganos Extraterritoriales",765800,NA,85000
"188","Bíobío","Hombre","No Bien Especificado",204578,251622,400000
"189","Bíobío","Mujer","Agricultura, Ganadería, Caza y Silvicultura",158630,150000,200000
"190","Bíobío","Mujer","Pesca",196920,198628,250000
"191","Bíobío","Mujer","Explotación de Minas y Canteras",200519,260526,1107229
"192","Bíobío","Mujer","Industrias Manufactureras",199108,200000,200000
"193","Bíobío","Mujer","Electricidad, Gas y Agua",292645,230575,498092
"194","Bíobío","Mujer","Construcción",241157,300000,294784
"195","Bíobío","Mujer","Comercio",199108,200000,227799
"196","Bíobío","Mujer","Hoteles y Restaurantes",199108,210000,229978
"197","Bíobío","Mujer","Transporte, Almacenamiento y Comunicaciones",301144,210000,260000
"198","Bíobío","Mujer","Intermediación Financiera",437600,400000,400000
"199","Bíobío","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",218800,250000,249632
"200","Bíobío","Mujer","Administración Pública y Defensa",218800,297874,400000
"201","Bíobío","Mujer","Enseñanza",273500,340000,360000
"202","Bíobío","Mujer","Servicios Sociales y de Salud",273500,300000,350000
"203","Bíobío","Mujer","Otras Actividades de Servicios",205400,200000,195800
"204","Bíobío","Mujer","Servicio Doméstico",109400,130000,150000
"205","Bíobío","Mujer","Organizaciones y Órganos Extraterritoriales",161912,180261,184373
"206","Coquimbo","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,241000
"207","Coquimbo","Hombre","Pesca",245621,200000,238118
"208","Coquimbo","Hombre","Explotación de Minas y Canteras",437600,450000,500000
"209","Coquimbo","Hombre","Industrias Manufactureras",328200,300000,350000
"210","Coquimbo","Hombre","Electricidad, Gas y Agua",320753,339565,338889
"211","Coquimbo","Hombre","Construcción",273500,300000,300000
"212","Coquimbo","Hombre","Comercio",220118,250000,261991
"213","Coquimbo","Hombre","Hoteles y Restaurantes",205152,382286,274819
"214","Coquimbo","Hombre","Transporte, Almacenamiento y Comunicaciones",386022,300000,300000
"215","Coquimbo","Hombre","Intermediación Financiera",694506,513191,474583
"216","Coquimbo","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",315238,302426,500000
"217","Coquimbo","Hombre","Administración Pública y Defensa",350848,400000,500000
"218","Coquimbo","Hombre","Enseñanza",328200,520428,400000
"219","Coquimbo","Hombre","Servicios Sociales y de Salud",594687,428571,400000
"220","Coquimbo","Hombre","Otras Actividades de Servicios",200493,245763,317083
"221","Coquimbo","Hombre","Servicio Doméstico",206246,210000,240344
"222","Coquimbo","Mujer","Agricultura, Ganadería, Caza y Silvicultura",196920,202779,240000
"223","Coquimbo","Mujer","Pesca",118596,241514,200000
"224","Coquimbo","Mujer","Explotación de Minas y Canteras",328200,313679,380598
"225","Coquimbo","Mujer","Industrias Manufactureras",197674,169780,205949
"226","Coquimbo","Mujer","Electricidad, Gas y Agua",196920,120658,289362
"227","Coquimbo","Mujer","Construcción",199108,250000,300000
"228","Coquimbo","Mujer","Comercio",196920,200000,240000
"229","Coquimbo","Mujer","Hoteles y Restaurantes",194589,210000,240000
"230","Coquimbo","Mujer","Transporte, Almacenamiento y Comunicaciones",199108,300000,300000
"231","Coquimbo","Mujer","Intermediación Financiera",263674,536885,406757
"232","Coquimbo","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",231979,74483,319744
"233","Coquimbo","Mujer","Administración Pública y Defensa",260239,328899,309474
"234","Coquimbo","Mujer","Enseñanza",437600,300000,350000
"235","Coquimbo","Mujer","Servicios Sociales y de Salud",254811,280000,320000
"236","Coquimbo","Mujer","Otras Actividades de Servicios",207585,217878,240000
"237","Coquimbo","Mujer","Servicio Doméstico",142310,144000,160000
"238","Coquimbo","Mujer","No Bien Especificado",218800,248571,NA
"239","Los Lagos","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,192000,240000
"240","Los Lagos","Hombre","Pesca",203592,210000,300000
"241","Los Lagos","Hombre","Explotación de Minas y Canteras",302401,396186,301124
"242","Los Lagos","Hombre","Industrias Manufactureras",234906,240133,277857
"243","Los Lagos","Hombre","Electricidad, Gas y Agua",273500,296122,410909
"244","Los Lagos","Hombre","Construcción",218800,230922,252765
"245","Los Lagos","Hombre","Comercio",218800,210000,250000
"246","Los Lagos","Hombre","Hoteles y Restaurantes",218800,220000,250000
"247","Los Lagos","Hombre","Transporte, Almacenamiento y Comunicaciones",218800,280000,300000
"248","Los Lagos","Hombre","Intermediación Financiera",580566,499118,600000
"249","Los Lagos","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",262560,312160,345128
"250","Los Lagos","Hombre","Administración Pública y Defensa",472764,400000,600000
"251","Los Lagos","Hombre","Enseñanza",307135,447936,455849
"252","Los Lagos","Hombre","Servicios Sociales y de Salud",437600,500000,400000
"253","Los Lagos","Hombre","Otras Actividades de Servicios",265027,210000,250000
"254","Los Lagos","Hombre","Servicio Doméstico",173951,207365,160000
"255","Los Lagos","Mujer","Agricultura, Ganadería, Caza y Silvicultura",107306,150000,190000
"256","Los Lagos","Mujer","Pesca",196920,210000,280000
"257","Los Lagos","Mujer","Industrias Manufactureras",199108,204750,241000
"258","Los Lagos","Mujer","Electricidad, Gas y Agua",337866,250000,290234
"259","Los Lagos","Mujer","Construcción",362142,213612,300000
"260","Los Lagos","Mujer","Comercio",199108,161202,230000
"261","Los Lagos","Mujer","Hoteles y Restaurantes",199108,200000,240000
"262","Los Lagos","Mujer","Transporte, Almacenamiento y Comunicaciones",218800,210000,250000
"263","Los Lagos","Mujer","Intermediación Financiera",260325,420190,400000
"264","Los Lagos","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,280000,300000
"265","Los Lagos","Mujer","Administración Pública y Defensa",82859,400000,500000
"266","Los Lagos","Mujer","Enseñanza",273500,377234,305000
"267","Los Lagos","Mujer","Servicios Sociales y de Salud",313662,302838,350000
"268","Los Lagos","Mujer","Otras Actividades de Servicios",205400,212580,240505
"269","Los Lagos","Mujer","Servicio Doméstico",103709,140000,154057
"270","Los Lagos","Mujer","Organizaciones y Órganos Extraterritoriales",805773,NA,NA
"271","Los Ríos","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,200000,241000
"272","Los Ríos","Hombre","Pesca",205400,161852,248897
"273","Los Ríos","Hombre","Explotación de Minas y Canteras",350621,345143,506000
"274","Los Ríos","Hombre","Industrias Manufactureras",240680,215000,282080
"275","Los Ríos","Hombre","Electricidad, Gas y Agua",273500,254444,350000
"276","Los Ríos","Hombre","Construcción",218800,210000,250000
"277","Los Ríos","Hombre","Comercio",205400,210000,250000
"278","Los Ríos","Hombre","Hoteles y Restaurantes",202390,210000,300000
"279","Los Ríos","Hombre","Transporte, Almacenamiento y Comunicaciones",284648,250000,300000
"280","Los Ríos","Hombre","Intermediación Financiera",475109,496700,481801
"281","Los Ríos","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",300959,350000,500000
"282","Los Ríos","Hombre","Administración Pública y Defensa",382900,450000,500000
"283","Los Ríos","Hombre","Enseñanza",656400,380000,401714
"284","Los Ríos","Hombre","Servicios Sociales y de Salud",492300,500000,381095
"285","Los Ríos","Hombre","Otras Actividades de Servicios",205730,223714,245267
"286","Los Ríos","Hombre","Servicio Doméstico",164320,200000,80000
"287","Los Ríos","Hombre","Organizaciones y Órganos Extraterritoriales",259681,380000,NA
"288","Los Ríos","Hombre","No Bien Especificado",328200,300000,NA
"289","Los Ríos","Mujer","Agricultura, Ganadería, Caza y Silvicultura",196920,150000,240000
"290","Los Ríos","Mujer","Pesca",213672,210000,274730
"291","Los Ríos","Mujer","Explotación de Minas y Canteras",112985,172964,NA
"292","Los Ríos","Mujer","Industrias Manufactureras",184860,150000,186732
"293","Los Ríos","Mujer","Electricidad, Gas y Agua",196920,250000,363889
"294","Los Ríos","Mujer","Construcción",505456,210000,482653
"295","Los Ríos","Mujer","Comercio",197242,200000,220000
"296","Los Ríos","Mujer","Hoteles y Restaurantes",199108,200000,200000
"297","Los Ríos","Mujer","Transporte, Almacenamiento y Comunicaciones",305731,210000,259813
"298","Los Ríos","Mujer","Intermediación Financiera",334118,392241,484727
"299","Los Ríos","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,285116,350000
"300","Los Ríos","Mujer","Administración Pública y Defensa",328200,381647,400000
"301","Los Ríos","Mujer","Enseñanza",373372,300000,300000
"302","Los Ríos","Mujer","Servicios Sociales y de Salud",306320,350000,388324
"303","Los Ríos","Mujer","Otras Actividades de Servicios",280307,183750,212490
"304","Los Ríos","Mujer","Servicio Doméstico",131280,140000,134386
"305","Magallanes","Hombre","Agricultura, Ganadería, Caza y Silvicultura",263420,300000,350000
"306","Magallanes","Hombre","Pesca",305520,301455,500000
"307","Magallanes","Hombre","Explotación de Minas y Canteras",553647,683579,811585
"308","Magallanes","Hombre","Industrias Manufactureras",415720,367862,380000
"309","Magallanes","Hombre","Electricidad, Gas y Agua",389140,692810,416249
"310","Magallanes","Hombre","Construcción",328200,336667,400000
"311","Magallanes","Hombre","Comercio",273273,290000,312000
"312","Magallanes","Hombre","Hoteles y Restaurantes",273416,320000,355182
"313","Magallanes","Hombre","Transporte, Almacenamiento y Comunicaciones",513500,374925,400000
"314","Magallanes","Hombre","Intermediación Financiera",439704,464894,1036025
"315","Magallanes","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",450223,350000,534146
"316","Magallanes","Hombre","Administración Pública y Defensa",736600,600000,800000
"317","Magallanes","Hombre","Enseñanza",930032,900000,549126
"318","Magallanes","Hombre","Servicios Sociales y de Salud",382900,517460,785393
"319","Magallanes","Hombre","Otras Actividades de Servicios",235457,289231,423077
"320","Magallanes","Hombre","Servicio Doméstico",168101,97500,200000
"321","Magallanes","Mujer","Agricultura, Ganadería, Caza y Silvicultura",225532,255455,350000
"322","Magallanes","Mujer","Pesca",225090,288679,290000
"323","Magallanes","Mujer","Explotación de Minas y Canteras",229614,410057,450000
"324","Magallanes","Mujer","Industrias Manufactureras",328200,220000,200000
"325","Magallanes","Mujer","Electricidad, Gas y Agua",503240,NA,NA
"326","Magallanes","Mujer","Construcción",611728,300000,475000
"327","Magallanes","Mujer","Comercio",204847,220000,250000
"328","Magallanes","Mujer","Hoteles y Restaurantes",201742,220000,250000
"329","Magallanes","Mujer","Transporte, Almacenamiento y Comunicaciones",359921,300000,305086
"330","Magallanes","Mujer","Intermediación Financiera",355192,396000,442308
"331","Magallanes","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",307351,300000,341098
"332","Magallanes","Mujer","Administración Pública y Defensa",528767,500000,600000
"333","Magallanes","Mujer","Enseñanza",437600,456211,500000
"334","Magallanes","Mujer","Servicios Sociales y de Salud",328200,400000,500000
"335","Magallanes","Mujer","Otras Actividades de Servicios",218800,220000,270000
"336","Magallanes","Mujer","Servicio Doméstico",164100,165091,170000
"337","Maule","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,241000
"338","Maule","Hombre","Pesca",172151,234435,200000
"339","Maule","Hombre","Explotación de Minas y Canteras",341267,500000,500000
"340","Maule","Hombre","Industrias Manufactureras",218800,220000,272115
"341","Maule","Hombre","Electricidad, Gas y Agua",410302,299694,325412
"342","Maule","Hombre","Construcción",218800,250000,280000
"343","Maule","Hombre","Comercio",204578,210000,250000
"344","Maule","Hombre","Hoteles y Restaurantes",204437,210000,250000
"345","Maule","Hombre","Transporte, Almacenamiento y Comunicaciones",273500,268750,300000
"346","Maule","Hombre","Intermediación Financiera",539278,1818053,420830
"347","Maule","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",328200,400000,380000
"348","Maule","Hombre","Administración Pública y Defensa",433278,400000,450000
"349","Maule","Hombre","Enseñanza",328200,400000,500000
"350","Maule","Hombre","Servicios Sociales y de Salud",304527,400000,360000
"351","Maule","Hombre","Otras Actividades de Servicios",218800,210000,250000
"352","Maule","Hombre","Servicio Doméstico",196920,179032,250000
"353","Maule","Hombre","No Bien Especificado",293137,272956,300000
"354","Maule","Mujer","Agricultura, Ganadería, Caza y Silvicultura",185318,210000,240000
"355","Maule","Mujer","Pesca",114015,88644,150000
"356","Maule","Mujer","Explotación de Minas y Canteras",207501,NA,1002830
"357","Maule","Mujer","Industrias Manufactureras",192489,208424,240000
"358","Maule","Mujer","Electricidad, Gas y Agua",265182,210000,277193
"359","Maule","Mujer","Construcción",328200,246984,386139
"360","Maule","Mujer","Comercio",196920,200000,240000
"361","Maule","Mujer","Hoteles y Restaurantes",182717,210000,240000
"362","Maule","Mujer","Transporte, Almacenamiento y Comunicaciones",218800,210000,250000
"363","Maule","Mujer","Intermediación Financiera",328200,210000,424638
"364","Maule","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",218800,240000,300000
"365","Maule","Mujer","Administración Pública y Defensa",284440,373364,489405
"366","Maule","Mujer","Enseñanza",269804,287030,330000
"367","Maule","Mujer","Servicios Sociales y de Salud",287776,350000,300000
"368","Maule","Mujer","Otras Actividades de Servicios",218800,200000,228677
"369","Maule","Mujer","Servicio Doméstico",123240,150000,146049
"370","Metropolitana","Hombre","Agricultura, Ganadería, Caza y Silvicultura",218800,210000,280000
"371","Metropolitana","Hombre","Pesca",987576,201947,376653
"372","Metropolitana","Hombre","Explotación de Minas y Canteras",549883,520386,700000
"373","Metropolitana","Hombre","Industrias Manufactureras",273500,300000,350000
"374","Metropolitana","Hombre","Electricidad, Gas y Agua",328200,470913,500000
"375","Metropolitana","Hombre","Construcción",306320,300000,350000
"376","Metropolitana","Hombre","Comercio",273500,257409,306643
"377","Metropolitana","Hombre","Hoteles y Restaurantes",218800,300000,300000
"378","Metropolitana","Hombre","Transporte, Almacenamiento y Comunicaciones",328200,350000,400000
"379","Metropolitana","Hombre","Intermediación Financiera",712056,891276,700000
"380","Metropolitana","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",437600,550000,600000
"381","Metropolitana","Hombre","Administración Pública y Defensa",437600,419653,540000
"382","Metropolitana","Hombre","Enseñanza",437600,500000,565000
"383","Metropolitana","Hombre","Servicios Sociales y de Salud",437600,508963,550000
"384","Metropolitana","Hombre","Otras Actividades de Servicios",411106,280000,350000
"385","Metropolitana","Hombre","Servicio Doméstico",262560,250000,300000
