"","comuna","sex","branch","2011","2013","2015"
"127","Ancud","Mujer","Pesca",196920,114955,245846
"128","Ancud","Mujer","Industrias Manufactureras",211480,183846,190000
"129","Ancud","Mujer","Electricidad, Gas y Agua",131280,250000,300000
"130","Ancud","Mujer","Construcción",796482,NA,410000
"131","Ancud","Mujer","Comercio",186345,138132,200000
"132","Ancud","Mujer","Hoteles y Restaurantes",201710,200000,179041
"133","Ancud","Mujer","Transporte, Almacenamiento y Comunicaciones",178184,230132,235443
"134","Ancud","Mujer","Intermediación Financiera",421567,NA,535859
"135","Ancud","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",181385,253333,400000
"136","Ancud","Mujer","Administración Pública y Defensa",201012,309934,600829
"137","Ancud","Mujer","Enseñanza",326463,382346,294925
"138","Ancud","Mujer","Servicios Sociales y de Salud",218016,230000,327465
"139","Ancud","Mujer","Otras Actividades de Servicios",52452,295306,236250
"140","Ancud","Mujer","Servicio Doméstico",75989,106296,109250
"141","Andacollo","Hombre","Agricultura, Ganadería, Caza y Silvicultura",181967,110000,110000
"142","Andacollo","Hombre","Explotación de Minas y Canteras",422284,400000,400000
"143","Andacollo","Hombre","Industrias Manufactureras",769312,500000,350000
"144","Andacollo","Hombre","Electricidad, Gas y Agua",328200,NA,210000
"145","Andacollo","Hombre","Construcción",312486,318667,320000
"146","Andacollo","Hombre","Comercio",277273,370761,125000
"147","Andacollo","Hombre","Transporte, Almacenamiento y Comunicaciones",642237,401250,300000
"148","Andacollo","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",1251616,229979,350000
"149","Andacollo","Hombre","Administración Pública y Defensa",202390,NA,458528
"150","Andacollo","Mujer","Agricultura, Ganadería, Caza y Silvicultura",183063,NA,50000
"151","Andacollo","Mujer","Explotación de Minas y Canteras",413854,355625,374000
"152","Andacollo","Mujer","Industrias Manufactureras",208793,425116,72500
"153","Andacollo","Mujer","Comercio",212363,123333,105000
"154","Andacollo","Mujer","Hoteles y Restaurantes",114323,200000,NA
"155","Andacollo","Mujer","Intermediación Financiera",187785,NA,NA
"156","Andacollo","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",382900,NA,NA
"157","Andacollo","Mujer","Administración Pública y Defensa",244759,290217,110000
"158","Andacollo","Mujer","Enseñanza",80515,252286,350000
"159","Andacollo","Mujer","Servicio Doméstico",41496,165476,50000
"160","Angol","Hombre","Agricultura, Ganadería, Caza y Silvicultura",185068,299219,250000
"161","Angol","Hombre","Explotación de Minas y Canteras",215644,313134,564912
"162","Angol","Hombre","Industrias Manufactureras",198677,257647,347500
"163","Angol","Hombre","Construcción",201511,400000,290270
"164","Angol","Hombre","Comercio",205025,210000,250000
"165","Angol","Hombre","Hoteles y Restaurantes",131280,211929,200000
"166","Angol","Hombre","Transporte, Almacenamiento y Comunicaciones",240254,261336,300000
"167","Angol","Hombre","Intermediación Financiera",446318,270000,NA
"168","Angol","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",428846,391583,250000
"169","Angol","Hombre","Administración Pública y Defensa",529340,505687,550000
"170","Angol","Hombre","Enseñanza",470925,446857,502113
"171","Angol","Hombre","Servicios Sociales y de Salud",160341,747273,490000
"172","Angol","Hombre","Otras Actividades de Servicios",186955,230000,250000
"173","Angol","Hombre","Servicio Doméstico",251042,185177,230851
"174","Angol","Mujer","Agricultura, Ganadería, Caza y Silvicultura",158630,207595,210600
"175","Angol","Mujer","Industrias Manufactureras",178294,209825,280000
"176","Angol","Mujer","Comercio",196920,210000,240000
"177","Angol","Mujer","Hoteles y Restaurantes",196920,126125,205781
"178","Angol","Mujer","Transporte, Almacenamiento y Comunicaciones",197385,412430,180000
"179","Angol","Mujer","Intermediación Financiera",304568,420000,NA
"180","Angol","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",204816,360072,246410
"181","Angol","Mujer","Administración Pública y Defensa",270520,484706,400000
"182","Angol","Mujer","Enseñanza",329833,400766,350000
"183","Angol","Mujer","Servicios Sociales y de Salud",234634,508750,412500
"184","Angol","Mujer","Otras Actividades de Servicios",201462,152609,236949
"185","Angol","Mujer","Servicio Doméstico",70172,100000,127945
"186","Antofagasta","Hombre","Agricultura, Ganadería, Caza y Silvicultura",314174,298784,300000
"187","Antofagasta","Hombre","Pesca",254588,294915,225734
"188","Antofagasta","Hombre","Explotación de Minas y Canteras",765800,700000,800000
"189","Antofagasta","Hombre","Industrias Manufactureras",437600,400000,500000
"190","Antofagasta","Hombre","Electricidad, Gas y Agua",437600,893054,856078
"191","Antofagasta","Hombre","Construcción",461987,400000,499339
"192","Antofagasta","Hombre","Comercio",410800,355047,400000
"193","Antofagasta","Hombre","Hoteles y Restaurantes",306605,280000,400000
"194","Antofagasta","Hombre","Transporte, Almacenamiento y Comunicaciones",413109,400000,500000
"195","Antofagasta","Hombre","Intermediación Financiera",635807,584557,450867
"196","Antofagasta","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",437600,661261,500000
"197","Antofagasta","Hombre","Administración Pública y Defensa",351182,552892,566893
"198","Antofagasta","Hombre","Enseñanza",575468,600000,437822
"199","Antofagasta","Hombre","Servicios Sociales y de Salud",665808,800000,500000
"200","Antofagasta","Hombre","Otras Actividades de Servicios",308664,250000,378203
"201","Antofagasta","Hombre","Servicio Doméstico",289910,319483,462698
"202","Antofagasta","Hombre","No Bien Especificado",393602,700000,671090
"203","Antofagasta","Mujer","Agricultura, Ganadería, Caza y Silvicultura",437600,210000,200000
"204","Antofagasta","Mujer","Pesca",240680,NA,NA
"205","Antofagasta","Mujer","Explotación de Minas y Canteras",437600,682400,564933
"206","Antofagasta","Mujer","Industrias Manufactureras",329812,246211,354975
"207","Antofagasta","Mujer","Electricidad, Gas y Agua",686451,697619,310839
"208","Antofagasta","Mujer","Construcción",306320,424315,425614
"209","Antofagasta","Mujer","Comercio",205400,229330,300000
"210","Antofagasta","Mujer","Hoteles y Restaurantes",218800,260000,250000
"211","Antofagasta","Mujer","Transporte, Almacenamiento y Comunicaciones",393840,250000,450000
"212","Antofagasta","Mujer","Intermediación Financiera",577260,570000,600000
"213","Antofagasta","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",350516,304984,350000
"214","Antofagasta","Mujer","Administración Pública y Defensa",363106,556675,500000
"215","Antofagasta","Mujer","Enseñanza",328200,385429,400000
"216","Antofagasta","Mujer","Servicios Sociales y de Salud",306320,399744,423193
"217","Antofagasta","Mujer","Otras Actividades de Servicios",273500,227030,250000
"218","Antofagasta","Mujer","Servicio Doméstico",180146,195262,212067
"219","Antofagasta","Mujer","Organizaciones y Órganos Extraterritoriales",328200,NA,NA
"220","Antofagasta","Mujer","No Bien Especificado",199108,312000,200000
"221","Antuco","Hombre","Agricultura, Ganadería, Caza y Silvicultura",131280,250000,180000
"222","Antuco","Hombre","Explotación de Minas y Canteras",218800,543750,800000
"223","Antuco","Hombre","Electricidad, Gas y Agua",273500,210000,730000
"224","Antuco","Hombre","Construcción",131280,299394,270000
"225","Antuco","Hombre","Comercio",1868523,187000,150000
"226","Antuco","Hombre","Hoteles y Restaurantes",109400,NA,NA
"227","Antuco","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",102700,NA,580000
"228","Antuco","Hombre","Administración Pública y Defensa",382900,350000,500000
"229","Antuco","Hombre","Servicios Sociales y de Salud",218800,NA,740000
"230","Antuco","Hombre","Servicio Doméstico",61620,210000,20000
"231","Antuco","Mujer","Agricultura, Ganadería, Caza y Silvicultura",131280,185556,20000
"232","Antuco","Mujer","Comercio",196920,123750,150000
"233","Antuco","Mujer","Hoteles y Restaurantes",146365,300000,150000
"234","Antuco","Mujer","Servicios Sociales y de Salud",65640,NA,235500
"235","Antuco","Mujer","Otras Actividades de Servicios",73944,210000,NA
"236","Antuco","Mujer","Servicio Doméstico",100101,70435,60000
"237","Arauco","Hombre","Agricultura, Ganadería, Caza y Silvicultura",238730,300415,387297
"238","Arauco","Hombre","Pesca",127930,90489,443121
"239","Arauco","Hombre","Industrias Manufactureras",284440,311073,304144
"240","Arauco","Hombre","Electricidad, Gas y Agua",246150,NA,430493
"241","Arauco","Hombre","Construcción",244795,230000,245192
"242","Arauco","Hombre","Comercio",334002,300885,239871
"243","Arauco","Hombre","Transporte, Almacenamiento y Comunicaciones",308100,200667,300000
"244","Arauco","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",313765,202299,273810
"245","Arauco","Hombre","Administración Pública y Defensa",191450,387539,400000
"246","Arauco","Hombre","Servicios Sociales y de Salud",273500,419048,477670
"247","Arauco","Hombre","Servicio Doméstico",308100,100000,NA
"248","Arauco","Mujer","Agricultura, Ganadería, Caza y Silvicultura",299206,231678,214688
"249","Arauco","Mujer","Comercio",196920,200000,214961
"250","Arauco","Mujer","Hoteles y Restaurantes",179480,142080,280845
"251","Arauco","Mujer","Transporte, Almacenamiento y Comunicaciones",54700,276911,300000
"252","Arauco","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",197850,96500,130000
"253","Arauco","Mujer","Administración Pública y Defensa",195295,512043,290873
"254","Arauco","Mujer","Enseñanza",145105,304756,299840
"255","Arauco","Mujer","Servicios Sociales y de Salud",256241,488773,400000
"256","Arauco","Mujer","Otras Actividades de Servicios",196920,300000,250000
"257","Arauco","Mujer","Servicio Doméstico",109400,87253,150000
"258","Arica","Hombre","Agricultura, Ganadería, Caza y Silvicultura",185980,210000,282308
"259","Arica","Hombre","Pesca",328200,300000,346341
"260","Arica","Hombre","Explotación de Minas y Canteras",492300,480000,600000
"261","Arica","Hombre","Industrias Manufactureras",303350,210000,300000
"262","Arica","Hombre","Electricidad, Gas y Agua",344786,416000,382468
"263","Arica","Hombre","Construcción",223470,250000,300000
"264","Arica","Hombre","Comercio",232312,210000,250000
"265","Arica","Hombre","Hoteles y Restaurantes",201374,210000,255091
"266","Arica","Hombre","Transporte, Almacenamiento y Comunicaciones",377149,300000,300000
"267","Arica","Hombre","Intermediación Financiera",221344,350000,260000
"268","Arica","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",407054,350000,496042
"269","Arica","Hombre","Administración Pública y Defensa",529370,559211,550000
"270","Arica","Hombre","Enseñanza",533026,383614,612609
"271","Arica","Hombre","Servicios Sociales y de Salud",337233,350000,760000
"272","Arica","Hombre","Otras Actividades de Servicios",218800,239210,170000
"273","Arica","Hombre","Servicio Doméstico",211321,185135,200000
"274","Arica","Hombre","No Bien Especificado",201759,354545,300000
"275","Arica","Mujer","Agricultura, Ganadería, Caza y Silvicultura",218800,204831,242925
"276","Arica","Mujer","Pesca",196920,330328,NA
"277","Arica","Mujer","Explotación de Minas y Canteras",305400,350000,350000
"278","Arica","Mujer","Industrias Manufactureras",218800,128695,251200
"279","Arica","Mujer","Electricidad, Gas y Agua",328200,800000,NA
"280","Arica","Mujer","Construcción",230834,214038,340294
"281","Arica","Mujer","Comercio",218800,150646,200000
"282","Arica","Mujer","Hoteles y Restaurantes",196920,187159,188456
"283","Arica","Mujer","Transporte, Almacenamiento y Comunicaciones",260913,210000,220000
"284","Arica","Mujer","Intermediación Financiera",239899,300788,910152
"285","Arica","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",204675,250000,300000
"286","Arica","Mujer","Administración Pública y Defensa",392889,400002,582500
"287","Arica","Mujer","Enseñanza",328200,300000,333774
"288","Arica","Mujer","Servicios Sociales y de Salud",328200,300000,485201
"289","Arica","Mujer","Otras Actividades de Servicios",205400,152979,218827
"290","Arica","Mujer","Servicio Doméstico",131718,120000,158854
"291","Arica","Mujer","No Bien Especificado",269853,294138,NA
"292","Aysén","Hombre","Agricultura, Ganadería, Caza y Silvicultura",218800,220000,300000
"293","Aysén","Hombre","Pesca",306320,250000,344655
"294","Aysén","Hombre","Explotación de Minas y Canteras",328200,442188,564754
"295","Aysén","Hombre","Industrias Manufactureras",306320,320000,214444
"296","Aysén","Hombre","Electricidad, Gas y Agua",284440,378256,290000
"297","Aysén","Hombre","Construcción",303860,300000,300000
"298","Aysén","Hombre","Comercio",284440,292581,300000
"299","Aysén","Hombre","Hoteles y Restaurantes",408019,328070,1000000
"300","Aysén","Hombre","Transporte, Almacenamiento y Comunicaciones",321500,300000,400000
"301","Aysén","Hombre","Intermediación Financiera",328200,NA,700780
"302","Aysén","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",302218,416667,327647
"303","Aysén","Hombre","Administración Pública y Defensa",656400,421212,669767
"304","Aysén","Hombre","Enseñanza",382900,990909,590545
"305","Aysén","Hombre","Servicios Sociales y de Salud",2279167,612121,391000
"306","Aysén","Hombre","Otras Actividades de Servicios",312155,310156,296154
"307","Aysén","Hombre","Servicio Doméstico",260485,600000,100000
"308","Aysén","Mujer","Agricultura, Ganadería, Caza y Silvicultura",205572,157000,50000
"309","Aysén","Mujer","Pesca",218800,243500,250000
"310","Aysén","Mujer","Industrias Manufactureras",228968,250000,153000
"311","Aysén","Mujer","Electricidad, Gas y Agua",382900,210000,300000
"312","Aysén","Mujer","Construcción",423925,598182,495000
"313","Aysén","Mujer","Comercio",201296,210000,241000
"314","Aysén","Mujer","Hoteles y Restaurantes",311790,209512,241000
"315","Aysén","Mujer","Transporte, Almacenamiento y Comunicaciones",421971,222667,304878
"316","Aysén","Mujer","Intermediación Financiera",1312800,223333,590962
"317","Aysén","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",218800,246667,135625
"318","Aysén","Mujer","Administración Pública y Defensa",378272,392188,727042
"319","Aysén","Mujer","Enseñanza",251620,350000,370667
"320","Aysén","Mujer","Servicios Sociales y de Salud",650741,400000,400000
"321","Aysén","Mujer","Otras Actividades de Servicios",616200,203333,257143
"322","Aysén","Mujer","Servicio Doméstico",109400,107000,135402
"323","Buin","Hombre","Agricultura, Ganadería, Caza y Silvicultura",214220,200668,250000
"324","Buin","Hombre","Industrias Manufactureras",218800,267814,345000
"325","Buin","Hombre","Electricidad, Gas y Agua",278925,NA,NA
"326","Buin","Hombre","Construcción",351128,298300,400000
"327","Buin","Hombre","Comercio",308100,300204,365000
"328","Buin","Hombre","Transporte, Almacenamiento y Comunicaciones",290264,250000,300000
"329","Buin","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",344526,1135412,250000
"330","Buin","Hombre","Administración Pública y Defensa",765800,958904,1000000
"331","Buin","Hombre","Enseñanza",431643,300000,550000
"332","Buin","Hombre","Servicios Sociales y de Salud",382900,847121,NA
"333","Buin","Hombre","Otras Actividades de Servicios",268065,340438,450000
"334","Buin","Hombre","Servicio Doméstico",241353,NA,288079
"335","Buin","Mujer","Agricultura, Ganadería, Caza y Silvicultura",196920,265084,250000
"336","Buin","Mujer","Industrias Manufactureras",310196,250000,220500
"337","Buin","Mujer","Comercio",164689,209264,200000
"338","Buin","Mujer","Transporte, Almacenamiento y Comunicaciones",185967,196000,203190
"339","Buin","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",415600,1500000,526267
"340","Buin","Mujer","Administración Pública y Defensa",415159,400000,600000
"341","Buin","Mujer","Enseñanza",283863,348941,529969
"342","Buin","Mujer","Servicios Sociales y de Salud",295201,261688,458900
"343","Buin","Mujer","Servicio Doméstico",128078,199597,245500
"344","Bulnes","Hombre","Agricultura, Ganadería, Caza y Silvicultura",163811,140000,205000
"345","Bulnes","Hombre","Industrias Manufactureras",196920,210000,240000
"346","Bulnes","Hombre","Electricidad, Gas y Agua",198945,170000,NA
"347","Bulnes","Hombre","Construcción",151541,227312,220000
"348","Bulnes","Hombre","Comercio",193638,156667,330000
"349","Bulnes","Hombre","Hoteles y Restaurantes",164320,NA,NA
"350","Bulnes","Hombre","Transporte, Almacenamiento y Comunicaciones",184886,170000,380000
"351","Bulnes","Hombre","Administración Pública y Defensa",241214,345015,450000
"352","Bulnes","Hombre","Enseñanza",214951,269151,640000
"353","Bulnes","Hombre","Servicios Sociales y de Salud",255777,NA,210000
"354","Bulnes","Hombre","Servicio Doméstico",218800,180000,NA
"355","Bulnes","Mujer","Agricultura, Ganadería, Caza y Silvicultura",180226,120883,NA
"356","Bulnes","Mujer","Electricidad, Gas y Agua",77674,NA,NA
"357","Bulnes","Mujer","Comercio",196920,187553,125000
"358","Bulnes","Mujer","Hoteles y Restaurantes",153160,127974,75000
"359","Bulnes","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",123240,800000,NA
"360","Bulnes","Mujer","Enseñanza",175040,405851,550000
"361","Bulnes","Mujer","Servicios Sociales y de Salud",240573,203380,720000
"362","Bulnes","Mujer","Servicio Doméstico",198422,34958,185000
"363","Cabildo","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199299,200000,241000
"364","Cabildo","Hombre","Explotación de Minas y Canteras",377486,405357,438000
"365","Cabildo","Hombre","Industrias Manufactureras",218800,210000,NA
"366","Cabildo","Hombre","Construcción",315831,313956,220500
"367","Cabildo","Hombre","Comercio",570194,205968,300000
"368","Cabildo","Hombre","Transporte, Almacenamiento y Comunicaciones",353288,412570,501707
"369","Cabildo","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",389249,300000,NA
"370","Cabildo","Hombre","Enseñanza",617888,200000,300000
"371","Cabildo","Mujer","Agricultura, Ganadería, Caza y Silvicultura",196920,200000,240000
"372","Cabildo","Mujer","Comercio",265587,193562,207500
"373","Cabildo","Mujer","Hoteles y Restaurantes",218800,223214,200000
"374","Cabildo","Mujer","Transporte, Almacenamiento y Comunicaciones",718900,NA,NA
"375","Cabildo","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",1093901,180000,NA
"376","Cabildo","Mujer","Administración Pública y Defensa",142421,NA,547881
"377","Cabildo","Mujer","Enseñanza",284173,208400,500000
"378","Cabildo","Mujer","Servicios Sociales y de Salud",364612,280000,530000
"379","Cabildo","Mujer","Otras Actividades de Servicios",179867,NA,NA
"380","Cabildo","Mujer","Servicio Doméstico",198124,60000,200000
"381","Cabrero","Hombre","Agricultura, Ganadería, Caza y Silvicultura",199108,210000,312500
"382","Cabrero","Hombre","Explotación de Minas y Canteras",199108,450000,NA
"383","Cabrero","Hombre","Industrias Manufactureras",230718,210000,290000
"384","Cabrero","Hombre","Electricidad, Gas y Agua",241026,NA,300000
"385","Cabrero","Hombre","Construcción",199108,229149,297500
