"","provincia","sex","branch","2011","2013","2015"
"57","Arauco","Mujer","Transporte, Almacenamiento y Comunicaciones",54700,216824,251926
"58","Arauco","Mujer","Intermediación Financiera",765800,700000,405486
"59","Arauco","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",406719,241490,238284
"60","Arauco","Mujer","Administración Pública y Defensa",172822,287199,348173
"61","Arauco","Mujer","Enseñanza",295638,434596,407318
"62","Arauco","Mujer","Servicios Sociales y de Salud",315346,355680,416250
"63","Arauco","Mujer","Otras Actividades de Servicios",191944,179119,196314
"64","Arauco","Mujer","Servicio Doméstico",89932,105600,135531
"65","Arauco","Mujer","Organizaciones y Órganos Extraterritoriales",161912,210000,NA
"66","Arica","Hombre","Agricultura, Ganadería, Caza y Silvicultura",329345,250690,288691
"67","Arica","Hombre","Pesca",439686,357516,465480
"68","Arica","Hombre","Explotación de Minas y Canteras",655548,539911,789908
"69","Arica","Hombre","Industrias Manufactureras",422418,314641,327006
"70","Arica","Hombre","Electricidad, Gas y Agua",520335,655646,425332
"71","Arica","Hombre","Construcción",351121,282165,363406
"72","Arica","Hombre","Comercio",365736,291521,316934
"73","Arica","Hombre","Hoteles y Restaurantes",279349,256135,278996
"74","Arica","Hombre","Transporte, Almacenamiento y Comunicaciones",500432,311626,399136
"75","Arica","Hombre","Intermediación Financiera",318266,430833,260000
"76","Arica","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",799862,426715,930158
"77","Arica","Hombre","Administración Pública y Defensa",594037,705232,688723
"78","Arica","Hombre","Enseñanza",596577,468052,678369
"79","Arica","Hombre","Servicios Sociales y de Salud",529132,545662,933733
"80","Arica","Hombre","Otras Actividades de Servicios",318834,270380,342153
"81","Arica","Hombre","Servicio Doméstico",220933,185889,200000
"82","Arica","Hombre","No Bien Especificado",266608,416729,300000
"83","Arica","Mujer","Agricultura, Ganadería, Caza y Silvicultura",247561,242965,215148
"84","Arica","Mujer","Pesca",186304,359000,NA
"85","Arica","Mujer","Explotación de Minas y Canteras",316573,344184,544252
"86","Arica","Mujer","Industrias Manufactureras",280868,157912,286587
"87","Arica","Mujer","Electricidad, Gas y Agua",322766,800000,NA
"88","Arica","Mujer","Construcción",438670,313761,347645
"89","Arica","Mujer","Comercio",281552,179463,241348
"90","Arica","Mujer","Hoteles y Restaurantes",255517,208863,189920
"91","Arica","Mujer","Transporte, Almacenamiento y Comunicaciones",449161,262266,407193
"92","Arica","Mujer","Intermediación Financiera",331777,300681,912096
"93","Arica","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",357387,301927,370306
"94","Arica","Mujer","Administración Pública y Defensa",463991,526231,575495
"95","Arica","Mujer","Enseñanza",382984,376849,384257
"96","Arica","Mujer","Servicios Sociales y de Salud",435700,444981,535178
"97","Arica","Mujer","Otras Actividades de Servicios",233829,245469,246619
"98","Arica","Mujer","Servicio Doméstico",153702,130965,166643
"99","Arica","Mujer","No Bien Especificado",268527,365523,NA
"100","Aysén","Hombre","Agricultura, Ganadería, Caza y Silvicultura",307342,276096,491154
"101","Aysén","Hombre","Pesca",418951,342812,414181
"102","Aysén","Hombre","Explotación de Minas y Canteras",423013,514720,515890
"103","Aysén","Hombre","Industrias Manufactureras",386461,379422,208707
"104","Aysén","Hombre","Electricidad, Gas y Agua",297890,357500,265000
"105","Aysén","Hombre","Construcción",464080,360500,380660
"106","Aysén","Hombre","Comercio",459289,456949,354768
"107","Aysén","Hombre","Hoteles y Restaurantes",535074,307186,434424
"108","Aysén","Hombre","Transporte, Almacenamiento y Comunicaciones",484159,587715,446281
"109","Aysén","Hombre","Intermediación Financiera",328200,NA,701353
"110","Aysén","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",738607,348889,431474
"111","Aysén","Hombre","Administración Pública y Defensa",775613,587295,866694
"112","Aysén","Hombre","Enseñanza",664949,887981,553854
"113","Aysén","Hombre","Servicios Sociales y de Salud",2209160,556596,634071
"114","Aysén","Hombre","Otras Actividades de Servicios",458234,386494,314545
"115","Aysén","Hombre","Servicio Doméstico",260858,600000,406250
"116","Aysén","Mujer","Agricultura, Ganadería, Caza y Silvicultura",346916,189905,84134
"117","Aysén","Mujer","Pesca",273463,326832,338208
"118","Aysén","Mujer","Industrias Manufactureras",320503,339939,253638
"119","Aysén","Mujer","Electricidad, Gas y Agua",382900,210000,300000
"120","Aysén","Mujer","Construcción",383119,412903,909434
"121","Aysén","Mujer","Comercio",283558,271198,242265
"122","Aysén","Mujer","Hoteles y Restaurantes",655531,251854,251897
"123","Aysén","Mujer","Transporte, Almacenamiento y Comunicaciones",625217,220347,421653
"124","Aysén","Mujer","Intermediación Financiera",1312800,222174,590769
"125","Aysén","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",386341,258382,153366
"126","Aysén","Mujer","Administración Pública y Defensa",399133,410313,711122
"127","Aysén","Mujer","Enseñanza",367523,485743,546418
"128","Aysén","Mujer","Servicios Sociales y de Salud",586847,487497,726857
"129","Aysén","Mujer","Otras Actividades de Servicios",715237,198969,249841
"130","Aysén","Mujer","Servicio Doméstico",128506,131474,172772
"131","Bíobío","Hombre","Agricultura, Ganadería, Caza y Silvicultura",250184,241787,311378
"132","Bíobío","Hombre","Pesca",224241,272152,349678
"133","Bíobío","Hombre","Explotación de Minas y Canteras",536106,451806,643172
"134","Bíobío","Hombre","Industrias Manufactureras",339450,287699,382276
"135","Bíobío","Hombre","Electricidad, Gas y Agua",311085,290972,497414
"136","Bíobío","Hombre","Construcción",294309,307589,360345
"137","Bíobío","Hombre","Comercio",340035,298974,317561
"138","Bíobío","Hombre","Hoteles y Restaurantes",284834,230410,498020
"139","Bíobío","Hombre","Transporte, Almacenamiento y Comunicaciones",414361,368340,441411
"140","Bíobío","Hombre","Intermediación Financiera",358974,NA,752202
"141","Bíobío","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",453646,480973,590462
"142","Bíobío","Hombre","Administración Pública y Defensa",560065,429679,537249
"143","Bíobío","Hombre","Enseñanza",417017,470717,506772
"144","Bíobío","Hombre","Servicios Sociales y de Salud",528151,765318,858715
"145","Bíobío","Hombre","Otras Actividades de Servicios",368417,314423,306309
"146","Bíobío","Hombre","Servicio Doméstico",160375,159096,164876
"147","Bíobío","Mujer","Agricultura, Ganadería, Caza y Silvicultura",176510,188666,231162
"148","Bíobío","Mujer","Pesca",247734,500000,546667
"149","Bíobío","Mujer","Explotación de Minas y Canteras",76580,300000,800000
"150","Bíobío","Mujer","Industrias Manufactureras",189426,207718,293201
"151","Bíobío","Mujer","Electricidad, Gas y Agua",1094000,271669,287408
"152","Bíobío","Mujer","Construcción",217856,271918,535933
"153","Bíobío","Mujer","Comercio",222420,194154,242250
"154","Bíobío","Mujer","Hoteles y Restaurantes",186495,214109,253625
"155","Bíobío","Mujer","Transporte, Almacenamiento y Comunicaciones",261795,581373,282415
"156","Bíobío","Mujer","Intermediación Financiera",405620,566546,531426
"157","Bíobío","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",362727,257322,378194
"158","Bíobío","Mujer","Administración Pública y Defensa",314276,428231,492521
"159","Bíobío","Mujer","Enseñanza",380754,370195,442614
"160","Bíobío","Mujer","Servicios Sociales y de Salud",307024,505558,433178
"161","Bíobío","Mujer","Otras Actividades de Servicios",393574,122829,233674
"162","Bíobío","Mujer","Servicio Doméstico",136285,142641,159208
"163","Cachapoal","Hombre","Agricultura, Ganadería, Caza y Silvicultura",270972,256064,334373
"164","Cachapoal","Hombre","Explotación de Minas y Canteras",528398,788722,845812
"165","Cachapoal","Hombre","Industrias Manufactureras",357687,358285,434714
"166","Cachapoal","Hombre","Electricidad, Gas y Agua",636033,351278,425078
"167","Cachapoal","Hombre","Construcción",412942,332363,385803
"168","Cachapoal","Hombre","Comercio",329477,317755,320375
"169","Cachapoal","Hombre","Hoteles y Restaurantes",602636,357106,458019
"170","Cachapoal","Hombre","Transporte, Almacenamiento y Comunicaciones",475930,326629,449927
"171","Cachapoal","Hombre","Intermediación Financiera",504922,608688,758689
"172","Cachapoal","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",406239,737945,683902
"173","Cachapoal","Hombre","Administración Pública y Defensa",534942,681094,573890
"174","Cachapoal","Hombre","Enseñanza",466513,290484,583004
"175","Cachapoal","Hombre","Servicios Sociales y de Salud",1063017,801522,725628
"176","Cachapoal","Hombre","Otras Actividades de Servicios",312246,324946,297779
"177","Cachapoal","Hombre","Servicio Doméstico",327000,221367,309306
"178","Cachapoal","Hombre","No Bien Especificado",1027000,366841,279143
"179","Cachapoal","Mujer","Agricultura, Ganadería, Caza y Silvicultura",192239,231075,265166
"180","Cachapoal","Mujer","Explotación de Minas y Canteras",338869,319555,1336348
"181","Cachapoal","Mujer","Industrias Manufactureras",347668,220892,290558
"182","Cachapoal","Mujer","Electricidad, Gas y Agua",252675,398679,289797
"183","Cachapoal","Mujer","Construcción",614450,282093,365232
"184","Cachapoal","Mujer","Comercio",251074,228708,227480
"185","Cachapoal","Mujer","Hoteles y Restaurantes",276230,232643,267162
"186","Cachapoal","Mujer","Transporte, Almacenamiento y Comunicaciones",374773,259663,300559
"187","Cachapoal","Mujer","Intermediación Financiera",398608,873023,645442
"188","Cachapoal","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",327191,360331,408699
"189","Cachapoal","Mujer","Administración Pública y Defensa",492118,568085,555083
"190","Cachapoal","Mujer","Enseñanza",358648,372777,477567
"191","Cachapoal","Mujer","Servicios Sociales y de Salud",302821,364196,468787
"192","Cachapoal","Mujer","Otras Actividades de Servicios",251644,223395,271918
"193","Cachapoal","Mujer","Servicio Doméstico",134348,157715,177704
"194","Cachapoal","Mujer","No Bien Especificado",616200,518079,209000
"195","Capitán Prat","Hombre","Agricultura, Ganadería, Caza y Silvicultura",517272,330973,249205
"196","Capitán Prat","Hombre","Industrias Manufactureras",958533,650000,500000
"197","Capitán Prat","Hombre","Construcción",999893,386672,349270
"198","Capitán Prat","Hombre","Comercio",457000,400000,326158
"199","Capitán Prat","Hombre","Hoteles y Restaurantes",616200,NA,273077
"200","Capitán Prat","Hombre","Intermediación Financiera",199108,NA,NA
"201","Capitán Prat","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",765800,400000,600000
"202","Capitán Prat","Hombre","Administración Pública y Defensa",899224,2294366,727329
"203","Capitán Prat","Hombre","Enseñanza",369430,NA,1037308
"204","Capitán Prat","Hombre","Servicios Sociales y de Salud",492300,418125,676000
"205","Capitán Prat","Hombre","Otras Actividades de Servicios",187911,500000,NA
"206","Capitán Prat","Mujer","Agricultura, Ganadería, Caza y Silvicultura",609309,600000,115000
"207","Capitán Prat","Mujer","Electricidad, Gas y Agua",656400,NA,NA
"208","Capitán Prat","Mujer","Construcción",202895,NA,700000
"209","Capitán Prat","Mujer","Comercio",228488,206870,636000
"210","Capitán Prat","Mujer","Hoteles y Restaurantes",477299,193327,265000
"211","Capitán Prat","Mujer","Transporte, Almacenamiento y Comunicaciones",410800,300000,300000
"212","Capitán Prat","Mujer","Intermediación Financiera",429723,900000,NA
"213","Capitán Prat","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,NA,NA
"214","Capitán Prat","Mujer","Administración Pública y Defensa",305562,766134,972609
"215","Capitán Prat","Mujer","Enseñanza",406827,772324,643867
"216","Capitán Prat","Mujer","Servicios Sociales y de Salud",1203400,440000,695000
"217","Capitán Prat","Mujer","Otras Actividades de Servicios",189232,210000,350000
"218","Capitán Prat","Mujer","Servicio Doméstico",91340,153454,181474
"219","Cardenal Caro","Hombre","Agricultura, Ganadería, Caza y Silvicultura",248699,225851,319134
"220","Cardenal Caro","Hombre","Pesca",409206,280261,232364
"221","Cardenal Caro","Hombre","Explotación de Minas y Canteras",450728,255385,329592
"222","Cardenal Caro","Hombre","Industrias Manufactureras",237830,403470,422985
"223","Cardenal Caro","Hombre","Electricidad, Gas y Agua",202390,255152,275221
"224","Cardenal Caro","Hombre","Construcción",330384,221975,330033
"225","Cardenal Caro","Hombre","Comercio",488916,250239,344634
"226","Cardenal Caro","Hombre","Hoteles y Restaurantes",270169,173410,310368
"227","Cardenal Caro","Hombre","Transporte, Almacenamiento y Comunicaciones",325778,241792,362097
"228","Cardenal Caro","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",429712,821145,691068
"229","Cardenal Caro","Hombre","Administración Pública y Defensa",468353,329752,404677
"230","Cardenal Caro","Hombre","Enseñanza",356193,369679,391022
"231","Cardenal Caro","Hombre","Servicios Sociales y de Salud",418167,239920,639726
"232","Cardenal Caro","Hombre","Otras Actividades de Servicios",206980,427027,307930
"233","Cardenal Caro","Hombre","Servicio Doméstico",177614,219831,229423
"234","Cardenal Caro","Mujer","Agricultura, Ganadería, Caza y Silvicultura",139780,160883,246461
"235","Cardenal Caro","Mujer","Pesca",273867,100000,135806
"236","Cardenal Caro","Mujer","Explotación de Minas y Canteras",308100,NA,250000
"237","Cardenal Caro","Mujer","Industrias Manufactureras",178045,212452,177531
"238","Cardenal Caro","Mujer","Construcción",1094000,401829,NA
"239","Cardenal Caro","Mujer","Comercio",176643,164756,213488
"240","Cardenal Caro","Mujer","Hoteles y Restaurantes",265594,166408,304991
"241","Cardenal Caro","Mujer","Transporte, Almacenamiento y Comunicaciones",131280,119891,292311
"242","Cardenal Caro","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",821600,372838,312118
"243","Cardenal Caro","Mujer","Administración Pública y Defensa",307974,318044,366086
"244","Cardenal Caro","Mujer","Enseñanza",323649,376693,363468
"245","Cardenal Caro","Mujer","Servicios Sociales y de Salud",357331,361348,373424
"246","Cardenal Caro","Mujer","Otras Actividades de Servicios",278587,273139,598814
"247","Cardenal Caro","Mujer","Servicio Doméstico",144518,153863,157626
"248","Cauquenes","Hombre","Agricultura, Ganadería, Caza y Silvicultura",206410,254176,240812
"249","Cauquenes","Hombre","Pesca",195130,244330,142410
"250","Cauquenes","Hombre","Explotación de Minas y Canteras",323431,333991,300432
"251","Cauquenes","Hombre","Industrias Manufactureras",244025,233705,268284
"252","Cauquenes","Hombre","Electricidad, Gas y Agua",218800,210000,NA
"253","Cauquenes","Hombre","Construcción",228694,236112,331403
"254","Cauquenes","Hombre","Comercio",248588,265046,292373
"255","Cauquenes","Hombre","Hoteles y Restaurantes",205400,210000,241000
"256","Cauquenes","Hombre","Transporte, Almacenamiento y Comunicaciones",245894,251831,311147
"257","Cauquenes","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",513500,200000,222174
"258","Cauquenes","Hombre","Administración Pública y Defensa",355319,519608,443206
"259","Cauquenes","Hombre","Enseñanza",353022,430792,286771
"260","Cauquenes","Hombre","Servicios Sociales y de Salud",479479,700000,548067
"261","Cauquenes","Hombre","Otras Actividades de Servicios",263387,280000,211533
"262","Cauquenes","Hombre","Servicio Doméstico",87520,100000,NA
"263","Cauquenes","Mujer","Agricultura, Ganadería, Caza y Silvicultura",158257,148941,185621
"264","Cauquenes","Mujer","Pesca",236210,139468,NA
"265","Cauquenes","Mujer","Industrias Manufactureras",130779,89673,274981
"266","Cauquenes","Mujer","Comercio",214205,169128,170561
"267","Cauquenes","Mujer","Hoteles y Restaurantes",143151,201714,241959
"268","Cauquenes","Mujer","Intermediación Financiera",178337,NA,242000
"269","Cauquenes","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",87520,371392,694194
"270","Cauquenes","Mujer","Administración Pública y Defensa",311734,444428,617695
"271","Cauquenes","Mujer","Enseñanza",299964,368245,383255
"272","Cauquenes","Mujer","Servicios Sociales y de Salud",303449,671000,421544
"273","Cauquenes","Mujer","Otras Actividades de Servicios",213353,249789,103000
"274","Cauquenes","Mujer","Servicio Doméstico",104488,317661,183054
"275","Cautín","Hombre","Agricultura, Ganadería, Caza y Silvicultura",217860,285154,225073
"276","Cautín","Hombre","Pesca",269262,259351,360845
"277","Cautín","Hombre","Explotación de Minas y Canteras",1052820,943713,396998
"278","Cautín","Hombre","Industrias Manufactureras",313609,252274,306215
"279","Cautín","Hombre","Electricidad, Gas y Agua",251019,484483,279191
"280","Cautín","Hombre","Construcción",323433,305417,358830
"281","Cautín","Hombre","Comercio",334750,295991,285266
"282","Cautín","Hombre","Hoteles y Restaurantes",344606,324212,305715
"283","Cautín","Hombre","Transporte, Almacenamiento y Comunicaciones",617788,310190,372825
"284","Cautín","Hombre","Intermediación Financiera",768842,520019,853150
"285","Cautín","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",498015,531291,850312
"286","Cautín","Hombre","Administración Pública y Defensa",470217,548913,683284
"287","Cautín","Hombre","Enseñanza",571910,438420,534001
"288","Cautín","Hombre","Servicios Sociales y de Salud",580046,886550,1025222
"289","Cautín","Hombre","Otras Actividades de Servicios",335368,303320,375143
"290","Cautín","Hombre","Servicio Doméstico",195534,196704,194334
"291","Cautín","Hombre","Organizaciones y Órganos Extraterritoriales",525120,NA,NA
"292","Cautín","Hombre","No Bien Especificado",765800,411186,340595
"293","Cautín","Mujer","Agricultura, Ganadería, Caza y Silvicultura",186361,144439,199703
"294","Cautín","Mujer","Pesca",203158,169861,317761
"295","Cautín","Mujer","Industrias Manufactureras",309064,148111,249677
"296","Cautín","Mujer","Electricidad, Gas y Agua",173419,154857,407566
"297","Cautín","Mujer","Construcción",461438,276664,487366
"298","Cautín","Mujer","Comercio",291135,210488,208981
"299","Cautín","Mujer","Hoteles y Restaurantes",202987,249046,222700
"300","Cautín","Mujer","Transporte, Almacenamiento y Comunicaciones",1565390,423498,305239
"301","Cautín","Mujer","Intermediación Financiera",512932,431141,480568
"302","Cautín","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",891523,306660,354780
"303","Cautín","Mujer","Administración Pública y Defensa",386078,735928,510347
"304","Cautín","Mujer","Enseñanza",353117,377645,456663
"305","Cautín","Mujer","Servicios Sociales y de Salud",358317,490029,575997
"306","Cautín","Mujer","Otras Actividades de Servicios",282809,177381,217092
"307","Cautín","Mujer","Servicio Doméstico",117755,143085,160360
"308","Cautín","Mujer","Organizaciones y Órganos Extraterritoriales",80956,105000,NA
"309","Chacabuco","Hombre","Agricultura, Ganadería, Caza y Silvicultura",260303,216700,281660
"310","Chacabuco","Hombre","Explotación de Minas y Canteras",477152,425223,849113
"311","Chacabuco","Hombre","Industrias Manufactureras",277299,289681,336266
"312","Chacabuco","Hombre","Construcción",414830,360989,425932
"313","Chacabuco","Hombre","Comercio",332176,331669,336390
"314","Chacabuco","Hombre","Hoteles y Restaurantes",260535,228655,308040
"315","Chacabuco","Hombre","Transporte, Almacenamiento y Comunicaciones",416855,315533,461320
"316","Chacabuco","Hombre","Intermediación Financiera",227469,370000,800000
"317","Chacabuco","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",643775,420921,598246
"318","Chacabuco","Hombre","Administración Pública y Defensa",490789,444291,434827
"319","Chacabuco","Hombre","Enseñanza",218800,371046,543609
"320","Chacabuco","Hombre","Servicios Sociales y de Salud",1347633,407354,329710
"321","Chacabuco","Hombre","Otras Actividades de Servicios",222983,278984,483785
"322","Chacabuco","Hombre","Servicio Doméstico",319414,225695,288786
"323","Chacabuco","Mujer","Agricultura, Ganadería, Caza y Silvicultura",202092,165564,287659
"324","Chacabuco","Mujer","Explotación de Minas y Canteras",262560,202526,453299
"325","Chacabuco","Mujer","Industrias Manufactureras",257983,209851,223950
"326","Chacabuco","Mujer","Construcción",371395,230972,300000
"327","Chacabuco","Mujer","Comercio",248272,238738,238003
"328","Chacabuco","Mujer","Hoteles y Restaurantes",236328,178515,222336
"329","Chacabuco","Mujer","Transporte, Almacenamiento y Comunicaciones",320218,216069,398476
"330","Chacabuco","Mujer","Intermediación Financiera",437600,340000,250000
"331","Chacabuco","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",344982,297563,436660
"332","Chacabuco","Mujer","Administración Pública y Defensa",184562,437938,289276
"333","Chacabuco","Mujer","Enseñanza",308868,306139,383059
"334","Chacabuco","Mujer","Servicios Sociales y de Salud",607129,362643,507241
"335","Chacabuco","Mujer","Otras Actividades de Servicios",183351,204165,220933
"336","Chacabuco","Mujer","Servicio Doméstico",172219,215830,227815
"337","Chañaral","Hombre","Agricultura, Ganadería, Caza y Silvicultura",278632,NA,200000
"338","Chañaral","Hombre","Pesca",286468,255058,217090
"339","Chañaral","Hombre","Explotación de Minas y Canteras",572955,684338,624009
"340","Chañaral","Hombre","Industrias Manufactureras",461203,358201,437144
"341","Chañaral","Hombre","Electricidad, Gas y Agua",309967,542935,287500
"342","Chañaral","Hombre","Construcción",423112,350632,332178
"343","Chañaral","Hombre","Comercio",471282,348197,420025
"344","Chañaral","Hombre","Hoteles y Restaurantes",857794,209311,607059
"345","Chañaral","Hombre","Transporte, Almacenamiento y Comunicaciones",381680,535324,450804
"346","Chañaral","Hombre","Intermediación Financiera",2188000,NA,NA
"347","Chañaral","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",900196,348267,544596
"348","Chañaral","Hombre","Administración Pública y Defensa",387121,459433,733477
"349","Chañaral","Hombre","Enseñanza",593169,611111,728442
"350","Chañaral","Hombre","Servicios Sociales y de Salud",573579,541644,347586
"351","Chañaral","Hombre","Otras Actividades de Servicios",664442,209595,351216
"352","Chañaral","Hombre","Servicio Doméstico",382900,NA,45000
"353","Chañaral","Mujer","Pesca",164100,NA,252703
"354","Chañaral","Mujer","Explotación de Minas y Canteras",355696,664882,689082
"355","Chañaral","Mujer","Industrias Manufactureras",377237,157934,164437
"356","Chañaral","Mujer","Electricidad, Gas y Agua",210230,NA,214000
"357","Chañaral","Mujer","Construcción",519650,320364,854545
"358","Chañaral","Mujer","Comercio",403951,195475,232295
"359","Chañaral","Mujer","Hoteles y Restaurantes",309757,209917,340465
"360","Chañaral","Mujer","Transporte, Almacenamiento y Comunicaciones",401133,239000,404757
"361","Chañaral","Mujer","Intermediación Financiera",443435,729412,458000
"362","Chañaral","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",516183,283701,300000
"363","Chañaral","Mujer","Administración Pública y Defensa",492082,458549,499332
"364","Chañaral","Mujer","Enseñanza",327364,429281,437558
"365","Chañaral","Mujer","Servicios Sociales y de Salud",389834,449453,413747
"366","Chañaral","Mujer","Otras Actividades de Servicios",185325,244872,171516
"367","Chañaral","Mujer","Servicio Doméstico",111182,146085,152494
"368","Chiloé","Hombre","Agricultura, Ganadería, Caza y Silvicultura",261481,151424,208384
"369","Chiloé","Hombre","Pesca",339319,267056,299604
"370","Chiloé","Hombre","Explotación de Minas y Canteras",235589,NA,335900
"371","Chiloé","Hombre","Industrias Manufactureras",277943,270411,326663
"372","Chiloé","Hombre","Electricidad, Gas y Agua",241347,280000,287685
"373","Chiloé","Hombre","Construcción",332436,283879,292559
"374","Chiloé","Hombre","Comercio",373104,322188,295729
"375","Chiloé","Hombre","Hoteles y Restaurantes",284814,192381,299993
"376","Chiloé","Hombre","Transporte, Almacenamiento y Comunicaciones",625442,317292,411021
"377","Chiloé","Hombre","Intermediación Financiera",877743,565667,634364
"378","Chiloé","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",573599,355003,645727
"379","Chiloé","Hombre","Administración Pública y Defensa",509819,403401,642990
"380","Chiloé","Hombre","Enseñanza",343088,439642,562647
"381","Chiloé","Hombre","Servicios Sociales y de Salud",458863,778612,799780
"382","Chiloé","Hombre","Otras Actividades de Servicios",1446842,232279,336922
"383","Chiloé","Hombre","Servicio Doméstico",119595,191877,186541
"384","Chiloé","Mujer","Agricultura, Ganadería, Caza y Silvicultura",166051,107409,133492
"385","Chiloé","Mujer","Pesca",276475,301337,302573
"386","Chiloé","Mujer","Industrias Manufactureras",271016,201969,236371
