"","comuna","sex","branch","2011","2013","2015"
"176","Angol","Mujer","Comercio",622070,231286,238265
"177","Angol","Mujer","Hoteles y Restaurantes",196920,147544,218325
"178","Angol","Mujer","Transporte, Almacenamiento y Comunicaciones",197385,450329,180000
"179","Angol","Mujer","Intermediación Financiera",571390,420000,NA
"180","Angol","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",207270,347600,231409
"181","Angol","Mujer","Administración Pública y Defensa",361830,417141,452733
"182","Angol","Mujer","Enseñanza",364901,428159,431498
"183","Angol","Mujer","Servicios Sociales y de Salud",262738,535984,540374
"184","Angol","Mujer","Otras Actividades de Servicios",278554,152609,207485
"185","Angol","Mujer","Servicio Doméstico",90323,120680,141462
"186","Antofagasta","Hombre","Agricultura, Ganadería, Caza y Silvicultura",393289,298784,348392
"187","Antofagasta","Hombre","Pesca",315791,393103,238118
"188","Antofagasta","Hombre","Explotación de Minas y Canteras",818514,945035,1011523
"189","Antofagasta","Hombre","Industrias Manufactureras",642268,534269,705344
"190","Antofagasta","Hombre","Electricidad, Gas y Agua",624461,757377,1011720
"191","Antofagasta","Hombre","Construcción",621131,485110,616159
"192","Antofagasta","Hombre","Comercio",522025,510244,466243
"193","Antofagasta","Hombre","Hoteles y Restaurantes",562333,360135,875245
"194","Antofagasta","Hombre","Transporte, Almacenamiento y Comunicaciones",523136,490355,522132
"195","Antofagasta","Hombre","Intermediación Financiera",707031,677935,725069
"196","Antofagasta","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",665311,957634,886571
"197","Antofagasta","Hombre","Administración Pública y Defensa",527750,660295,622867
"198","Antofagasta","Hombre","Enseñanza",668390,707099,721781
"199","Antofagasta","Hombre","Servicios Sociales y de Salud",791641,1097092,672451
"200","Antofagasta","Hombre","Otras Actividades de Servicios",376047,316993,425939
"201","Antofagasta","Hombre","Servicio Doméstico",285313,552711,462698
"202","Antofagasta","Hombre","No Bien Especificado",770452,743114,671090
"203","Antofagasta","Mujer","Agricultura, Ganadería, Caza y Silvicultura",2109749,210000,200000
"204","Antofagasta","Mujer","Pesca",240680,NA,NA
"205","Antofagasta","Mujer","Explotación de Minas y Canteras",550952,1156491,650252
"206","Antofagasta","Mujer","Industrias Manufactureras",406728,277738,391365
"207","Antofagasta","Mujer","Electricidad, Gas y Agua",1078280,685552,321859
"208","Antofagasta","Mujer","Construcción",487210,623412,625972
"209","Antofagasta","Mujer","Comercio",331626,277496,475690
"210","Antofagasta","Mujer","Hoteles y Restaurantes",350393,294720,444412
"211","Antofagasta","Mujer","Transporte, Almacenamiento y Comunicaciones",525264,312289,408772
"212","Antofagasta","Mujer","Intermediación Financiera",795482,699811,646502
"213","Antofagasta","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",459402,398086,597284
"214","Antofagasta","Mujer","Administración Pública y Defensa",457289,655830,582629
"215","Antofagasta","Mujer","Enseñanza",424797,457256,466723
"216","Antofagasta","Mujer","Servicios Sociales y de Salud",407347,618534,498813
"217","Antofagasta","Mujer","Otras Actividades de Servicios",397396,342324,303354
"218","Antofagasta","Mujer","Servicio Doméstico",188255,188700,205205
"219","Antofagasta","Mujer","Organizaciones y Órganos Extraterritoriales",328200,NA,NA
"220","Antofagasta","Mujer","No Bien Especificado",199108,312000,200000
"221","Antuco","Hombre","Agricultura, Ganadería, Caza y Silvicultura",131280,191538,177778
"222","Antuco","Hombre","Explotación de Minas y Canteras",211507,558458,730000
"223","Antuco","Hombre","Electricidad, Gas y Agua",361020,210000,599333
"224","Antuco","Hombre","Construcción",231855,324211,329813
"225","Antuco","Hombre","Comercio",1868523,153571,150000
"226","Antuco","Hombre","Hoteles y Restaurantes",109400,NA,NA
"227","Antuco","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",102700,NA,580000
"228","Antuco","Hombre","Administración Pública y Defensa",382900,350000,653750
"229","Antuco","Hombre","Servicios Sociales y de Salud",218800,NA,740000
"230","Antuco","Hombre","Servicio Doméstico",61620,210000,20000
"231","Antuco","Mujer","Agricultura, Ganadería, Caza y Silvicultura",131280,185556,113333
"232","Antuco","Mujer","Comercio",196920,128000,231250
"233","Antuco","Mujer","Hoteles y Restaurantes",146365,300000,255000
"234","Antuco","Mujer","Servicios Sociales y de Salud",65640,NA,235500
"235","Antuco","Mujer","Otras Actividades de Servicios",73944,210000,NA
"236","Antuco","Mujer","Servicio Doméstico",155620,65581,134000
"237","Arauco","Hombre","Agricultura, Ganadería, Caza y Silvicultura",279182,295323,470221
"238","Arauco","Hombre","Pesca",144859,101762,402582
"239","Arauco","Hombre","Industrias Manufactureras",356945,399875,392646
"240","Arauco","Hombre","Electricidad, Gas y Agua",246150,NA,375353
"241","Arauco","Hombre","Construcción",296944,296563,269084
"242","Arauco","Hombre","Comercio",332585,340900,342821
"243","Arauco","Hombre","Transporte, Almacenamiento y Comunicaciones",369077,253162,372925
"244","Arauco","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",326495,202299,340187
"245","Arauco","Hombre","Administración Pública y Defensa",191450,386042,394123
"246","Arauco","Hombre","Servicios Sociales y de Salud",273500,467133,467769
"247","Arauco","Hombre","Servicio Doméstico",308100,100000,NA
"248","Arauco","Mujer","Agricultura, Ganadería, Caza y Silvicultura",299206,230256,266265
"249","Arauco","Mujer","Comercio",178695,307086,355688
"250","Arauco","Mujer","Hoteles y Restaurantes",179480,134469,273813
"251","Arauco","Mujer","Transporte, Almacenamiento y Comunicaciones",54700,276911,287013
"252","Arauco","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",197850,96500,162727
"253","Arauco","Mujer","Administración Pública y Defensa",193033,424712,426908
"254","Arauco","Mujer","Enseñanza",172410,413961,442174
"255","Arauco","Mujer","Servicios Sociales y de Salud",211681,462336,525637
"256","Arauco","Mujer","Otras Actividades de Servicios",196920,300000,250000
"257","Arauco","Mujer","Servicio Doméstico",110757,93614,148600
"258","Arica","Hombre","Agricultura, Ganadería, Caza y Silvicultura",334817,258248,344265
"259","Arica","Hombre","Pesca",436858,384237,448922
"260","Arica","Hombre","Explotación de Minas y Canteras",655374,537911,774496
"261","Arica","Hombre","Industrias Manufactureras",419187,313195,356270
"262","Arica","Hombre","Electricidad, Gas y Agua",533497,658731,441453
"263","Arica","Hombre","Construcción",338792,283349,364986
"264","Arica","Hombre","Comercio",365151,291063,322412
"265","Arica","Hombre","Hoteles y Restaurantes",265949,253393,263153
"266","Arica","Hombre","Transporte, Almacenamiento y Comunicaciones",501398,312591,405624
"267","Arica","Hombre","Intermediación Financiera",321377,433991,260000
"268","Arica","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",806227,426032,928378
"269","Arica","Hombre","Administración Pública y Defensa",596227,708689,691161
"270","Arica","Hombre","Enseñanza",600109,473012,689811
"271","Arica","Hombre","Servicios Sociales y de Salud",534440,501800,946017
"272","Arica","Hombre","Otras Actividades de Servicios",327017,270529,351999
"273","Arica","Hombre","Servicio Doméstico",225571,183745,200000
"274","Arica","Hombre","No Bien Especificado",266444,419947,300000
"275","Arica","Mujer","Agricultura, Ganadería, Caza y Silvicultura",266119,247873,245274
"276","Arica","Mujer","Pesca",185681,360549,NA
"277","Arica","Mujer","Explotación de Minas y Canteras",315838,344538,547927
"278","Arica","Mujer","Industrias Manufactureras",283955,156755,293450
"279","Arica","Mujer","Electricidad, Gas y Agua",322557,800000,NA
"280","Arica","Mujer","Construcción",405525,320441,347667
"281","Arica","Mujer","Comercio",276142,179133,248942
"282","Arica","Mujer","Hoteles y Restaurantes",249924,206457,177466
"283","Arica","Mujer","Transporte, Almacenamiento y Comunicaciones",449243,262012,412156
"284","Arica","Mujer","Intermediación Financiera",329319,303410,910868
"285","Arica","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",359472,302224,378364
"286","Arica","Mujer","Administración Pública y Defensa",461161,525010,585281
"287","Arica","Mujer","Enseñanza",382501,376142,388336
"288","Arica","Mujer","Servicios Sociales y de Salud",430995,443698,535637
"289","Arica","Mujer","Otras Actividades de Servicios",237634,248246,256799
"290","Arica","Mujer","Servicio Doméstico",152385,131080,168778
"291","Arica","Mujer","No Bien Especificado",269853,366078,NA
"292","Aysén","Hombre","Agricultura, Ganadería, Caza y Silvicultura",250626,275992,461915
"293","Aysén","Hombre","Pesca",411553,326077,412539
"294","Aysén","Hombre","Explotación de Minas y Canteras",420748,515853,588534
"295","Aysén","Hombre","Industrias Manufactureras",386292,420582,201899
"296","Aysén","Hombre","Electricidad, Gas y Agua",290623,392746,290000
"297","Aysén","Hombre","Construcción",480683,339455,390601
"298","Aysén","Hombre","Comercio",482206,341498,356836
"299","Aysén","Hombre","Hoteles y Restaurantes",370287,373951,1000000
"300","Aysén","Hombre","Transporte, Almacenamiento y Comunicaciones",475841,454270,401029
"301","Aysén","Hombre","Intermediación Financiera",328200,NA,700780
"302","Aysén","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",725841,383500,426335
"303","Aysén","Hombre","Administración Pública y Defensa",764187,586234,866564
"304","Aysén","Hombre","Enseñanza",693132,1001191,586945
"305","Aysén","Hombre","Servicios Sociales y de Salud",2434733,662283,465000
"306","Aysén","Hombre","Otras Actividades de Servicios",464631,387722,313939
"307","Aysén","Hombre","Servicio Doméstico",260485,600000,100000
"308","Aysén","Mujer","Agricultura, Ganadería, Caza y Silvicultura",293549,172936,82418
"309","Aysén","Mujer","Pesca",249247,325391,318463
"310","Aysén","Mujer","Industrias Manufactureras",362626,350386,164720
"311","Aysén","Mujer","Electricidad, Gas y Agua",382900,210000,300000
"312","Aysén","Mujer","Construcción",463458,598182,495000
"313","Aysén","Mujer","Comercio",279689,249064,247926
"314","Aysén","Mujer","Hoteles y Restaurantes",515515,266207,263685
"315","Aysén","Mujer","Transporte, Almacenamiento y Comunicaciones",607349,295915,300449
"316","Aysén","Mujer","Intermediación Financiera",1312800,223333,592540
"317","Aysén","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",424836,299846,152960
"318","Aysén","Mujer","Administración Pública y Defensa",405756,434968,740320
"319","Aysén","Mujer","Enseñanza",374277,486827,544981
"320","Aysén","Mujer","Servicios Sociales y de Salud",609626,525495,677518
"321","Aysén","Mujer","Otras Actividades de Servicios",706910,199035,266847
"322","Aysén","Mujer","Servicio Doméstico",127422,120043,172950
"323","Buin","Hombre","Agricultura, Ganadería, Caza y Silvicultura",329341,267427,280236
"324","Buin","Hombre","Industrias Manufactureras",449660,300765,361786
"325","Buin","Hombre","Electricidad, Gas y Agua",278925,NA,NA
"326","Buin","Hombre","Construcción",438217,340985,417286
"327","Buin","Hombre","Comercio",420420,354138,369030
"328","Buin","Hombre","Transporte, Almacenamiento y Comunicaciones",674909,312705,310625
"329","Buin","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",1210177,1300861,274389
"330","Buin","Hombre","Administración Pública y Defensa",695781,958904,1158704
"331","Buin","Hombre","Enseñanza",397927,328933,550000
"332","Buin","Hombre","Servicios Sociales y de Salud",382900,1114842,NA
"333","Buin","Hombre","Otras Actividades de Servicios",292287,427511,465000
"334","Buin","Hombre","Servicio Doméstico",241353,NA,288079
"335","Buin","Mujer","Agricultura, Ganadería, Caza y Silvicultura",208567,261593,266727
"336","Buin","Mujer","Industrias Manufactureras",277976,230622,454250
"337","Buin","Mujer","Comercio",229483,387456,210487
"338","Buin","Mujer","Transporte, Almacenamiento y Comunicaciones",193435,196000,236595
"339","Buin","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",507089,1500000,2675241
"340","Buin","Mujer","Administración Pública y Defensa",576365,400000,600000
"341","Buin","Mujer","Enseñanza",407628,401182,529987
"342","Buin","Mujer","Servicios Sociales y de Salud",260904,281242,458900
"343","Buin","Mujer","Servicio Doméstico",135046,197240,229167
"344","Bulnes","Hombre","Agricultura, Ganadería, Caza y Silvicultura",201482,132175,173750
"345","Bulnes","Hombre","Industrias Manufactureras",251260,220057,286000
"346","Bulnes","Hombre","Electricidad, Gas y Agua",258792,170000,NA
"347","Bulnes","Hombre","Construcción",197114,272241,197667
"348","Bulnes","Hombre","Comercio",213868,133121,327500
"349","Bulnes","Hombre","Hoteles y Restaurantes",164320,NA,NA
"350","Bulnes","Hombre","Transporte, Almacenamiento y Comunicaciones",225348,154517,521513
"351","Bulnes","Hombre","Administración Pública y Defensa",262761,346092,396000
"352","Bulnes","Hombre","Enseñanza",214951,424602,660000
"353","Bulnes","Hombre","Servicios Sociales y de Salud",255777,NA,210000
"354","Bulnes","Hombre","Servicio Doméstico",218800,180000,NA
"355","Bulnes","Mujer","Agricultura, Ganadería, Caza y Silvicultura",140199,127024,NA
"356","Bulnes","Mujer","Electricidad, Gas y Agua",77674,NA,NA
"357","Bulnes","Mujer","Comercio",161838,138090,121000
"358","Bulnes","Mujer","Hoteles y Restaurantes",155321,128832,75000
"359","Bulnes","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",123240,800000,NA
"360","Bulnes","Mujer","Enseñanza",172126,362598,468389
"361","Bulnes","Mujer","Servicios Sociales y de Salud",240573,173035,720000
"362","Bulnes","Mujer","Servicio Doméstico",167911,34958,185000
"363","Cabildo","Hombre","Agricultura, Ganadería, Caza y Silvicultura",232744,203772,301150
"364","Cabildo","Hombre","Explotación de Minas y Canteras",453604,493810,431258
"365","Cabildo","Hombre","Industrias Manufactureras",330460,210000,NA
"366","Cabildo","Hombre","Construcción",315831,313956,285250
"367","Cabildo","Hombre","Comercio",568182,243080,322857
"368","Cabildo","Hombre","Transporte, Almacenamiento y Comunicaciones",353474,412570,480902
"369","Cabildo","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",372726,300000,NA
"370","Cabildo","Hombre","Enseñanza",587101,200000,300000
"371","Cabildo","Mujer","Agricultura, Ganadería, Caza y Silvicultura",443876,182932,222400
"372","Cabildo","Mujer","Comercio",270280,164087,206000
"373","Cabildo","Mujer","Hoteles y Restaurantes",218800,227949,200000
"374","Cabildo","Mujer","Transporte, Almacenamiento y Comunicaciones",718900,NA,NA
"375","Cabildo","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",1093901,180000,NA
"376","Cabildo","Mujer","Administración Pública y Defensa",142421,NA,547881
"377","Cabildo","Mujer","Enseñanza",285771,205265,440000
"378","Cabildo","Mujer","Servicios Sociales y de Salud",364612,280000,530000
"379","Cabildo","Mujer","Otras Actividades de Servicios",179867,NA,NA
"380","Cabildo","Mujer","Servicio Doméstico",202106,117515,193000
"381","Cabrero","Hombre","Agricultura, Ganadería, Caza y Silvicultura",347810,223520,309000
"382","Cabrero","Hombre","Explotación de Minas y Canteras",199108,450000,NA
"383","Cabrero","Hombre","Industrias Manufactureras",336880,272769,351865
"384","Cabrero","Hombre","Electricidad, Gas y Agua",241026,NA,305694
