"","geography_level","geography_name","geography_id","year","branch","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"35","pais","País","pais","2011","No Bien Especificado","Hombre",455564,271825,"[283551, 1031067]","[224632, 837546]"
"36","pais","País","pais","2011","No Bien Especificado","Mujer",302682,214364,"[207184, 495302]","[196920, 608979]"
"37","pais","País","pais","2013","Agricultura, Ganadería, Caza y Silvicultura","Hombre",256305,210000,"[246113, 269276]","[210000, 210000]"
"38","pais","País","pais","2013","Agricultura, Ganadería, Caza y Silvicultura","Mujer",214692,205000,"[192589, 252137]","[200000, 210000]"
"39","pais","País","pais","2013","Pesca","Hombre",307756,210000,"[277174, 344210]","[200000, 230000]"
"40","pais","País","pais","2013","Pesca","Mujer",227169,209933,"[198811, 260870]","[194746, 210000]"
"41","pais","País","pais","2013","Explotación de Minas y Canteras","Hombre",747991,550000,"[712704, 783984]","[500000, 594522]"
"42","pais","País","pais","2013","Explotación de Minas y Canteras","Mujer",715933,407840,"[590318, 891853]","[350000, 520000]"
"43","pais","País","pais","2013","Industrias Manufactureras","Hombre",409143,300000,"[390125, 432322]","[280000, 300000]"
"44","pais","País","pais","2013","Industrias Manufactureras","Mujer",259539,210000,"[243468, 279680]","[210000, 210000]"
"45","pais","País","pais","2013","Electricidad, Gas y Agua","Hombre",530011,350000,"[474194, 614671]","[307508, 400000]"
"46","pais","País","pais","2013","Electricidad, Gas y Agua","Mujer",394486,216905,"[286693, 545376]","[210000, 284276]"
"47","pais","País","pais","2013","Construcción","Hombre",403960,300000,"[381493, 432113]","[280000, 300000]"
"48","pais","País","pais","2013","Construcción","Mujer",426063,300000,"[379281, 482125]","[283325, 350000]"
"49","pais","País","pais","2013","Comercio","Hombre",372904,250000,"[351217, 401222]","[250000, 250000]"
"50","pais","País","pais","2013","Comercio","Mujer",239907,200000,"[231885, 252700]","[200000, 210000]"
"51","pais","País","pais","2013","Hoteles y Restaurantes","Hombre",347290,256595,"[314739, 382580]","[234603, 300000]"
"52","pais","País","pais","2013","Hoteles y Restaurantes","Mujer",247907,210000,"[233258, 275266]","[210000, 210000]"
"53","pais","País","pais","2013","Transporte, Almacenamiento y Comunicaciones","Hombre",440086,300000,"[415484, 473769]","[300000, 320000]"
"54","pais","País","pais","2013","Transporte, Almacenamiento y Comunicaciones","Mujer",407662,300000,"[379012, 437702]","[280000, 300000]"
"55","pais","País","pais","2013","Intermediación Financiera","Hombre",1093191,800000,"[904824, 1283295]","[694935, 1000000]"
"56","pais","País","pais","2013","Intermediación Financiera","Mujer",716817,500000,"[603362, 906888]","[402114, 580000]"
"57","pais","País","pais","2013","Actividades Inmobiliarias, Empresariales y de Alquiler","Hombre",905363,500000,"[845115, 1004026]","[450000, 500000]"
"58","pais","País","pais","2013","Actividades Inmobiliarias, Empresariales y de Alquiler","Mujer",517773,300000,"[476088, 628004]","[264750, 300000]"
"59","pais","País","pais","2013","Administración Pública y Defensa","Hombre",638794,450000,"[595704, 679668]","[400000, 500000]"
"60","pais","País","pais","2013","Administración Pública y Defensa","Mujer",570380,430000,"[514425, 617439]","[380000, 450000]"
"61","pais","País","pais","2013","Enseñanza","Hombre",601692,450000,"[557268, 644748]","[400000, 500000]"
"62","pais","País","pais","2013","Enseñanza","Mujer",441738,341077,"[426116, 459993]","[320000, 350000]"
"63","pais","País","pais","2013","Servicios Sociales y de Salud","Hombre",784051,450000,"[691801, 954191]","[400000, 526250]"
"64","pais","País","pais","2013","Servicios Sociales y de Salud","Mujer",496735,331290,"[470235, 545229]","[300380, 350000]"
"65","pais","País","pais","2013","Otras Actividades de Servicios","Hombre",401678,250000,"[363665, 465409]","[242375, 291045]"
"66","pais","País","pais","2013","Otras Actividades de Servicios","Mujer",313959,235405,"[291080, 341484]","[210000, 250000]"
"67","pais","País","pais","2013","Servicio Doméstico","Hombre",242430,230000,"[227822, 266303]","[210000, 250000]"
"68","pais","País","pais","2013","Servicio Doméstico","Mujer",175644,180000,"[171884, 181311]","[173425, 181050]"
"69","pais","País","pais","2013","Organizaciones y Órganos Extraterritoriales","Hombre",388206,392714,"[275332, 497463]","[265403, 550000]"
"70","pais","País","pais","2013","Organizaciones y Órganos Extraterritoriales","Mujer",575812,199796,"[256335, 1384765]","[198000, 1795683]"
"71","pais","País","pais","2013","No Bien Especificado","Hombre",526881,350000,"[431017, 707392]","[300000, 400000]"
"72","pais","País","pais","2013","No Bien Especificado","Mujer",392693,265424,"[334279, 453371]","[250000, 307810]"
"73","pais","País","pais","2015","Agricultura, Ganadería, Caza y Silvicultura","Hombre",306382,241000,"[294651, 318297]","[241000, 241525]"
"74","pais","País","pais","2015","Agricultura, Ganadería, Caza y Silvicultura","Mujer",245821,240000,"[236234, 255750]","[240000, 241000]"
"75","pais","País","pais","2015","Pesca","Hombre",365831,280000,"[347640, 390439]","[250000, 300000]"
"76","pais","País","pais","2015","Pesca","Mujer",317419,260000,"[290547, 357563]","[250000, 280000]"
"77","pais","País","pais","2015","Explotación de Minas y Canteras","Hombre",867677,600000,"[827356, 911772]","[600000, 600000]"
"78","pais","País","pais","2015","Explotación de Minas y Canteras","Mujer",827701,500000,"[708818, 944295]","[450000, 600000]"
"79","pais","País","pais","2015","Industrias Manufactureras","Hombre",446265,320000,"[433459, 461701]","[300000, 328761]"
"80","pais","País","pais","2015","Industrias Manufactureras","Mujer",321986,250000,"[301942, 340002]","[241000, 250000]"
"81","pais","País","pais","2015","Electricidad, Gas y Agua","Hombre",724471,420626,"[631176, 854026]","[400000, 477626]"
"82","pais","País","pais","2015","Electricidad, Gas y Agua","Mujer",492510,300000,"[402734, 683248]","[270000, 400000]"
"83","pais","País","pais","2015","Construcción","Hombre",445995,320000,"[433261, 458911]","[300000, 330000]"
"84","pais","País","pais","2015","Construcción","Mujer",488586,350000,"[445813, 553130]","[314000, 366405]"
"85","pais","País","pais","2015","Comercio","Hombre",419483,300000,"[405868, 434530]","[300000, 300000]"
"86","pais","País","pais","2015","Comercio","Mujer",276416,240000,"[269913, 285893]","[240000, 241000]"
"87","pais","País","pais","2015","Hoteles y Restaurantes","Hombre",376585,300000,"[355415, 401311]","[260972, 300000]"
"88","pais","País","pais","2015","Hoteles y Restaurantes","Mujer",265031,241000,"[253475, 274540]","[240475, 241000]"
"89","pais","País","pais","2015","Transporte, Almacenamiento y Comunicaciones","Hombre",485481,360000,"[472178, 501678]","[350000, 380000]"
"90","pais","País","pais","2015","Transporte, Almacenamiento y Comunicaciones","Mujer",441410,300000,"[410143, 475113]","[300000, 320000]"
"91","pais","País","pais","2015","Intermediación Financiera","Hombre",1052666,650000,"[961406, 1179587]","[600000, 752500]"
"92","pais","País","pais","2015","Intermediación Financiera","Mujer",708634,500000,"[645444, 769871]","[498756, 560500]"
"93","pais","País","pais","2015","Actividades Inmobiliarias, Empresariales y de Alquiler","Hombre",874628,500000,"[824496, 922216]","[500000, 530000]"
"94","pais","País","pais","2015","Actividades Inmobiliarias, Empresariales y de Alquiler","Mujer",573830,380000,"[540678, 611349]","[350000, 400000]"
"95","pais","País","pais","2015","Administración Pública y Defensa","Hombre",739000,550000,"[712308, 783711]","[500000, 600000]"
"96","pais","País","pais","2015","Administración Pública y Defensa","Mujer",607462,471509,"[575194, 642855]","[450000, 500000]"
"97","pais","País","pais","2015","Enseñanza","Hombre",690956,500000,"[653431, 760450]","[500000, 555250]"
"98","pais","País","pais","2015","Enseñanza","Mujer",474052,380000,"[459992, 485015]","[350000, 400000]"
"99","pais","País","pais","2015","Servicios Sociales y de Salud","Hombre",966097,500000,"[877632, 1072096]","[450000, 500000]"
"100","pais","País","pais","2015","Servicios Sociales y de Salud","Mujer",544442,380000,"[515314, 571595]","[350000, 400000]"
"101","pais","País","pais","2015","Otras Actividades de Servicios","Hombre",431817,300000,"[397276, 467760]","[282850, 300000]"
"102","pais","País","pais","2015","Otras Actividades de Servicios","Mujer",327142,250000,"[302006, 348856]","[241000, 250000]"
"103","pais","País","pais","2015","Servicio Doméstico","Hombre",273212,250000,"[261420, 286003]","[250000, 261050]"
"104","pais","País","pais","2015","Servicio Doméstico","Mujer",208968,200000,"[203944, 215471]","[200000, 200000]"
"105","pais","País","pais","2015","Organizaciones y Órganos Extraterritoriales","Hombre",2622812,1964400,"[1574724, 3726374]","[1072538, 4500000]"
"106","pais","País","pais","2015","Organizaciones y Órganos Extraterritoriales","Mujer",1068580,1409137,"[582006, 1560440]","[248631, 1600000]"
"107","pais","País","pais","2015","No Bien Especificado","Hombre",584802,309903,"[410195, 910670]","[300000, 400000]"
"108","pais","País","pais","2015","No Bien Especificado","Mujer",335560,292145,"[269238, 415054]","[244426, 364431]"
