V1,V2
,Pedagogía en Educación Básica con
17823,"Menciones, Licenciatura en Educación  (2)"
,(11) (23) (25)
,"Enfermería, Licenciatura en Enfermería"
17825,
,(11) (14)
,"Administración Pública, Licenciatura en"
17831,Administración Pública y Ciencias Políticas
,(2)
,"Terapia Ocupacional, Licenciatura en"
17832,
,Ciencias de la Ocupación (2) (11) (14)
,"Derecho, Licenciatura en Ciencias Jurídicas"
17835,
,y Sociales  (5) (11)
,Bachillerato en Ciencias de la Ingeniería
17812,
,(17) (19)
,Bachillerato en Ciencias y Recursos
17813,
,Naturales  (17) (20)
,Pedagogía en Educación Básica con
17824,"Menciones, Licenciatura en Educación  (2)"
,(11) (23) (25)
