"","attributes(casen_2015)$variable.labels"
"o7r1","o7r1. ¿Cuál es la razón o razones...? Razón 1"
"o7r2","o7r2. ¿Cuál es la razón o razones...? Razón 2"
"o8","o8. ¿Cuántas semanas buscó o ha estado buscando trabajo?"
"o9a","o9a. ¿Cuál es su ocupación u oficio?"
"o9b","o9b. ¿Qué hace usted en su trabajo o negocio principal?"
"oficio1","oficio1. Oficio u ocupación (Código 1 dígito)"
"oficio4","oficio4. Oficio u ocupación"
"o10","o10. ¿Cuántas horas trabaja habitualmente por semana en su trabajo, negocio o actividad principal?"
"o11","o11. ¿Ud. está dispuesto a trabajar más horas a la semana?"
"o12","o12. ¿Su trabajo o negocio principal es de tipo…?"
"o13","o13. ¿Desde qué año tiene su trabajo o negocio principal?"
"o14","o14. En su trabajo o negocio principal, ¿usted da boleta?"
"o15","o15. En su trabajo o negocio principal, ¿usted trabaja como?"
"o16","o16. En su trabajo principal, ¿qué tipo de contrato o acuerdo de trabajo tiene…?"
"o17","o17. En su trabajo principal, ¿tiene contrato de trabajo escrito?"
"o18","o18. Según su contrato de trabajo o el acuerdo con su empleador, ¿su jornada de trabajo normal es…?"
"o19","o19. ¿Qué tipo de horario tiene en su trabajo actual?"
"o20","o20. ¿Con quién firmó su contrato o estableció su acuerdo de trabajo?"
"o21","o21. ¿A qué se dedica o qué hace el negocio, empresa o institución que le paga?"
"rama4_sub","rama4_sub. ¿A qué se dedica o qué hace el negocio, empresa o institución que le paga? (Código 4 dígitos)"
"rama1_sub","rama1_sub. ¿A qué se dedica o qué hace el negocio, empresa o institución que le paga? (Código 2 dígitos)"
"o22","o22. ¿A qué se dedica o qué hace el negocio, empresa o institución donde usted trabaja?"
"rama4","rama4. ¿A qué se dedica o qué hace el negocio, empresa o institución donde usted trabaja? (Código 4 dígitos)"
"rama1","rama1. ¿A qué se dedica o qué hace el negocio, empresa o institución donde usted trabaja? (Código 2 dígitos)"
"o23","o23. ¿Cuántas personas trabajan en total en ese negocio, empresa o institución en Chile?"
"o24a","o24a. ¿En su empleo principal, pertenece...? a) Sindicato"
"o24b","o24b. ¿En su empleo principal, pertenece...? b) Asociación de funcionarios"
"o24c","o24c. ¿En su empleo principal, pertenece...? c) Asociación gremial sectorial"
"o24d","o24d. ¿En su empleo principal, pertenece...? d) Colegio profesional"
"o25a_hr","o25.a. En un día habitual, ¿cuánto tiempo en total tarda...? Horas"
"o25a_min","o25.a. En un día habitual, ¿cuánto tiempo en total tarda...? Minutos"
"o25b","o25.b. ¿Cuántas veces a la semana realiza este viaje?"
"o25c","o25.c. ¿Qué medio de transporte utiliza habitualmente para realizar este viaje?"
"o26","o26. En el último mes, ¿tuvo otros trabajos, empleos, actividades o negocios además de su trabajo o negocio principal?"
"o27","o27. Considere el trabajo secundario que le reporta mayores ingresos mensuales. En ese trabajo secundario, ¿usted trabaja como…"
"o28","o28. ¿Se encuentra afiliado a algún sistema previsional (sistema de pensiones)?"
"o29","o29. ¿Cotizó durante el mes pasado en algún sistema previsional (sistema de pensiones)?"
"o29_esp","o29esp. ¿En qué otro sistema previsional (sistema de pensiones) cotizó?"
"o30","o30. En los últimos 12 meses, ¿ha participado o participa actualmente en alguna capacitación laboral de a lo menos 8 horas de duración?"
"o0","o0. ¿Quién (o quienes) responde(n) el módulo Trabajo?"
"ch1","ch1. Chequeo de situación ocupacional"
"y1","y1. En el mes pasado, ¿cuál fue su sueldo o salario líquido en su trabajo principal?"
"y2d","y2d. En el mes pasado, ¿a cuántos días pactados con su empleador correspondió ese sueldo o salario? Días"
"y2h","y2h. En el mes pasado, ¿a cuántas horas pactadas con su empleador correspondió ese sueldo o salario? Horas"
"y3a","y3a. ¿Recibió el mes pasado ingresos por horas extras...? (Monto)"
"y3ap","y3ap. ¿Y con qué periodicidad recibió estos ingresos por horas extras? (P)"
"y3b","y3b. ¿Recibió el mes pasado ingresos por comisiones...? (Monto)"
"y3bp","y3bp. ¿Y con qué periodicidad recibió estos ingresos por comisiones? (P)"
"y3c","y3c. ¿Recibió el mes pasado ingresos por propinas...? (Monto)"
"y3cp","y3cp. ¿Y con qué periodicidad recibió estos ingresos por propinas? (P)"
"y3d","y3d. ¿Recibió el mes pasado ingresos por asignaciones por vivienda, transporte, educación de los hijos y semejantes...? (Monto)"
"y3dp","y3dp. ¿Y con qué periodicidad recibió estos ingresos por asignaciones por vivienda, transporte, educación de los hijos y semejantes? (P)"
"y3e","y3e. ¿Recibió el mes pasado ingresos por viáticos no sujetos a rendición...? (Monto)"
"y3ep","y3ep. ¿Y con qué periodicidad recibió estos ingresos por viáticos no sujetos a rendición? (P)"
"y3f","y3f. ¿Recibió el mes pasado otros ingresos...? (Monto)"
"y3fp","y3fp. ¿Y con qué periodicidad recibió estos otros ingresos? (P)"
"y3f_esp","y3fesp. Especifique estos otros ingresos"
"y4a","y4a. En los últimos 12 meses, ¿recibió bonificaciones o aguinaldos y otras asignaciones especiales? "
"y4b","y4b. En los últimos 12 meses, ¿recibió gratificaciones? "
"y4c","y4c. En los últimos 12 meses, ¿recibió sueldo adicional por sobre la remuneración mensual (Décimo tercer mes)? "
"y4d","y4d. En los últimos 12 meses, ¿recibió otros ingresos similares? "
"y4d_esp","y4desp. Especifique estos otros ingresos similares"
"y5a","y5a. El mes pasado, ¿recibió en su trabajo principal alimentos y bebidas?"
"y5b","y5b. El mes pasado, ¿recibió en su trabajo principal vales de alimentación?"
"y5c","y5c. El mes pasado, ¿recibió en su trabajo principal vivienda o alojamiento?"
"y5d","y5d. El mes pasado, ¿recibió en su trabajo principal vehículo para uso privado?"
"y5e","y5e. El mes pasado, ¿recibió en su trabajo principal servicio de transporte?"
"y5f","y5f. El mes pasado, ¿recibió en su trabajo principal estacionamiento gratuito?"
"y5g","y5g. El mes pasado, ¿recibió en su trabajo principal teléfono?"
"y5h","y5h. El mes pasado, ¿recibió en su trabajo principal vestimenta?"
"y5i","y5i. El mes pasado, ¿recibió en su trabajo principal servicios de guardería o sala cuna?"
"y5j","y5j. El mes pasado, ¿recibió en su trabajo principal leña u otro tipo de combustible de uso doméstico?"
"y5k","y5k. El mes pasado, ¿recibió en su trabajo principal bienes o servicios producidos por el empleador?"
"y5l","y5l. El mes pasado, ¿recibió en su trabajo principal otros beneficios similares?"
"ch2","ch2. Chequeo de ocupación secundaria"
"y6","y6. El mes pasado, ¿cuál fue el ingreso líquido total, que Ud. recibió por otro u otros trabajos u ocupaciones además de su ocupación principal? Considere ingresos en dinero y en especies"
"y7","y7. ¿Cuánto dinero retiró el mes pasado de su negocio o actividad para sus gastos propios o de su hogar? Incluya su propio sueldo si lo tiene"
"y8","y8. El mes pasado, ¿cuánto retiró en productos de su negocio o actividad para consumo propio o de su hogar? Estime el monto que hubiera tenido que pagar por comprar estos productos"
"y9","y9. Durante los últimos 12 meses, ¿cuánto recibió Ud. por ganancias derivadas de la venta de productos silvoagropecuarios, mineros o pesqueros en su negocio o actividad?"
"ch3","ch3. Chequeo de ocupación secundaria"
"y10","y10. El mes pasado, ¿Cuál fue el ingreso líquido total, que Ud. recibió por otro u otros trabajos u ocupaciones además de su ocupación principal? Considere ingresos en dinero y en especies"
"y11","y11. El mes pasado, ¿recibió algún sueldo o pago por trabajos, actividades o negocio que Ud. haya realizado ese mes?"
"y12a","y12a. El mes pasado, ¿recibió ingresos por arriendo de propiedades urbanas?"
"y12b","y12b. El mes pasado, ¿recibió ingresos por arriendo de maquinarias, animales o implementos?"
"y13a","y13a. El mes pasado, ¿recibió ingresos por pensión de alimentos?"
"y13b","y13b. El mes pasado, ¿recibió ingresos por dinero aportado por familiares ajenos al hogar residentes en el país?"
"y13c","y13c. El mes pasado, ¿recibió ingresos por dinero aportado por familiares ajenos al hogar residentes fuera del país?"
"y14a","y14a. El mes pasado, ¿recibió ingresos por remuneración por trabajos ocasionales (No incluir los ingresos declarados en y6, y10 e y11)?"
"y14b","y14b. El mes pasado, ¿recibió ingresos por trabajos realizados antes del mes anterior?"
"y14c","y14c. El mes pasado, ¿recibió ingresos por seguro de desempleo o de cesantía?"
"y15a","y15a. En los últimos 12 meses, ¿recibió ingresos por intereses por depósitos?"
"y15b","y15b. En los últimos 12 meses, ¿recibió ingresos por dividendos por acciones o bonos financieros?"
"y15c","y15c. En los últimos 12 meses, ¿recibió ingresos por retiro de utilidades de empresas?"
"y16a","y16a. En los últimos 12 meses, ¿recibió ingresos por arriendo de propiedades agrícolas (tierras e instalaciones)?"
"y16b","y16b. En los últimos 12 meses, ¿recibió ingresos por arriendo de propiedades por temporadas (urbanas o rurales)?"
"y17","y17. En los últimos 12 meses, ¿consumió productos agropecuarios producidos o recolectados por el hogar? Estime el monto que hubiera tenido que pagar por comprar estos productos"
"y18a","y18a. En los últimos 12 meses, ¿recibió ingresos por indemnización por despido o renuncia (Finiquitos)?"
"y18b","y18b. En los últimos 12 meses, ¿recibió ingresos por donaciones de instituciones o personas ajenas al hogar?"
"y18c","y18c. En los últimos 12 meses, ¿recibió ingresos por devolución de impuestos?"
"y18d","y18d. En los últimos 12 meses, ¿recibió otros ingresos?"
"y18d_esp","y18desp. Especifique estos otros ingresos que recibió en los últimos 12 meses"
"y19t","y19t. El mes pasado recibió Asignación Familiar? Tramo"
"y19n","y19n. Número de asignaciones familiares que recibió"
"y20a","y20a. El mes pasado, ¿recibió ingresos por Subsidio Familiar al Menor o Recién Nacido ($ 9.899)?"
"y20b","y20b. El mes pasado, ¿recibió ingresos por Subsidio de Asistencia Maternal ($98.990 por una sola vez, equivalente a 10 meses)?"
"y20c","y20c. El mes pasado, ¿recibió ingresos por Subsidio Familiar a la Madre ($ 9.899)?"
"y20d","y20d. El mes pasado, ¿recibió ingresos por Subsidio Familiar por Invalidez ($19.798)?"
"y20e","y20e. El mes pasado, ¿recibió ingresos por Subsidio a la Discapacidad Mental ($61.807)?"
"y20am","y20am. Monto Subsidio Familiar al Menor o Recién Nacido"
"y20bm","y20bm. Monto Subsidio de Asistencia Maternal"
"y20cm","y20cm. Monto Subsidio Familiar a la Madre"
"y20dm","y20dm. Monto Subsidio Familiar por Invalidez"
"y20em","y20em. Monto Subsidio a la Discapacidad Mental"
"y21a","y21a. ¿Participa su núcleo familiar en Chile Solidario?"
"y21b","y21b. ¿Participa su núcleo familiar en el Programa de Ingreso Ético Familiar (Seguridades y Oportunidades)?"
"y22a","y22a. El mes pasado, ¿recibió ingresos por Bono de Protección Familiar, $15.516 los 6 primeros meses?"
"y22b","y22b. El mes pasado, ¿recibió ingresos por Bono de Protección Familiar, $11.823 entre el mes 7 y el año?"
"y22c","y22c. El mes pasado, ¿recibió ingresos por Bono de Protección Familiar, $ 8.127 entre los meses 13 y 18?"
"y22d","y22d. El mes pasado, ¿recibió ingresos por Bono de Protección Familiar, $ 9.899 entre los meses 19 y 24?"
"y22e","y22e. El mes pasado, ¿recibió ingresos por Bono de Egreso, $ 9.899 entre los meses 25 y 60?"
"y22am","y22am. Monto Bono de Protección Familiar (6 primeros meses)?"
"y22bm","y22bm. Monto Bono de Protección Familiar (mes 7 y el año)?"
"y22cm","y22cm. Monto Bono de Protección Familiar (meses 13 y 18)?"
"y22dm","y22dm. Monto Bono de Protección Familiar (meses 19 y 24)?"
"y22em","y22em. Monto Bono de Egreso"
"y23a","y23a. El mes pasado, ¿recibió ingresos por Bono Base Familiar?"
"y23a_o","y23a. El mes pasado, ¿recibió ingresos por Bono Base Familiar? (originales)"
"y23b","y23b. El mes pasado, ¿recibió ingresos por Bono Control del Niño Sano al Día? ($ 6.000 por niño/a menor de seis años)"
"y23c","y23c. El mes pasado, ¿recibió ingresos por Bono Deberes por Asistencia Escolar? ($ 6.000 por niño/a y adolescente entre 6 y 18 años)"
"y23bm","y23bm. Monto Bono Control del Niño Sano al Día"
"y23cm","y23cm. Monto Bono Deberes por Asistencia Escolar"
"y24","y24. El mes pasado, ¿recibió Subsidio de Agua Potable (SAP)?"
"y24_o","y24. El mes pasado, ¿recibió Subsidio de Agua Potable (SAP)? (originales)"
"y25a","y25a. En los últimos 12 meses, ¿recibió ingresos por Aporte Familiar Permanente (ex Bono Marzo $41.236 por causante)?"
"y25b","y25b. En los últimos 12 meses, ¿recibió ingresos por Bono por Logro Escolar?"
"y25c","y25c. En los últimos 12 meses, ¿recibió ingresos por Bono Bodas de Oro ($141.662 por cónyuge)?"
"y25d","y25d. En los últimos 12 meses, ¿recibió ingresos por Bono de Invierno ($55.094)?"
"y25am","y25am. Monto Aporte Familiar Permanente"
"y25bm","y25bm. Monto Bono por Logro Escolar"
"y25cm","y25cm. Monto Bono Bodas de Oro"
"y25dm","y25dm. Monto Bono de Invierno"
"y25e","y25e. En los últimos 12 meses, ¿recibió ingresos por Subsidio Empleo Joven entre 18 y 25 años? Monto"
"y25e_o","y25e. En los últimos 12 meses, ¿recibió ingresos por Subsidio Empleo Joven entre 18 y 25 años? Monto (originales)"
"y25ep","y25ep. ¿Y con qué periodicidad recibió el Subsidio Empleo Joven? Periodicidad"
"y25f","y25f. En los últimos 12 meses, ¿recibió ingresos por Bono al Trabajo de la Mujer entre 25 y 59 años? Monto"
"y25f_o","y25f. En los últimos 12 meses, ¿recibió ingresos por Bono al Trabajo de la Mujer entre 25 y 59 años? Monto (originales)"
"y25fp","y25fp. ¿Y con qué periodicidad recibió el subsidio Bono al Trabajo de la Mujer? Periodicidad"
"y25g","y25g. En los últimos 12 meses, ¿recibió ingresos por Otro subsidio del Estado? Monto"
"y25gp","y25gp. ¿Y con qué periodicidad recibió este Otro Subsidio del Estado? Periodicidad"
"y25g_esp","y25g_esp. Especifique por cuál otro subsidio del Estado recibió ingresos"
"y26_1a","y26_1a. El mes pasado, ¿recibió ingresos por Pensión Básica Solidaria de Vejez ($89.764)?"
"y26_1b","y26_1b. El mes pasado, ¿recibió ingresos por jubilación o pensión de vejez con Aporte Previsional Solidario?"
"y26_1c","y26_1c. El mes pasado, ¿recibió ingresos por jubilación o pensión de vejez?"
"y26_1d","y26_1d. El mes pasado, ¿recibió ingresos por Pensión Básica Solidaria de Invalidez ($89.764)?"
"y26_1e","y26_1e. El mes pasado, ¿recibió ingresos por jubilación o pensión de invalidez con Aporte Previsional Solidario?"
"y26_1f","y26_1f. El mes pasado, ¿recibió ingresos por jubilación o pensión de invalidez?"
"y26_1g","y26_1g. El mes pasado, ¿recibió ingresos por montepío o pensión de viudez?"
"y26_1h","y26_1h. El mes pasado, ¿recibió ingresos por pensión de orfandad?"
"y26_1i","y26_1i. El mes pasado, ¿recibió ingresos por pensión por leyes especiales (Exonerados políticos, Ley Valech, Ley Rettig, Pensión de Gracia)?"
"y26_1j","y26_1j. El mes pasado, ¿recibió ingresos por otro tipo de jubilación o pensión?"
"y26_1jesp","y26_1jesp. Especifique que otra jubilación o pensión recibió"
"y26_1am","y26_1am. Monto Pensión Básica Solidaria de Vejez"
"y26_2bm1","y26_2bm1. ¿Me podría indicar el monto de la jubilación o pensión de vejez (Monto 1) con Aporte Previsional Solidario? Monto 1"
"y26_2bm2","y26_2bm2. ¿Me podría indicar el monto de la jubilación o pensión de vejez con Aporte Previsional Solidario (Monto 2)? Monto 2"
"y26_3b_in","y26_3b_in. ¿Me puede indicar qué institución pagó estos beneficios? (Inst)"
"y26_4b_mo","y26_4b_mo. ¿Cuál es la modalidad de la pensión que recibe? (Mod)"
"y26_2c","y26_2c ¿Me podría indicar el monto de la jubilación o pensión de vejez? (Monto)"
"y26_3c_in","y26_3c_in. ¿Me puede indicar qué institución pagó estos beneficios? (Inst)"
"y26_4c_mo","y26_4c_mo. ¿Cuál es la modalidad de la pensión que recibe? (Mod)"
"y26_1dm","y26_1dm. Monto Pensión Básica Solidaria de Invalidez"
"y26_2em1","y26_2em1. ¿Me podría indicar el monto de la jubilación o pensión de invalidez (Monto 1) con Aporte Previsional Solidario? Monto 1"
"y26_2em2","y26_2em2. ¿Me podría indicar el monto de la jubilación o pensión de invalidez con Aporte Previsional Solidario (Monto 2)? Monto 2"
"y26_3e_in","y26_3e_in. ¿Me puede indicar qué institución pagó estos beneficios? (Inst)"
"y26_4e_mo","y26_4e_mo. ¿Cuál es la modalidad de la pensión que recibe? (Mod)"
"y26_2f","y26_2f. ¿Me podría indicar el monto de la jubilación o pensión de invalidez? (Monto)"
"y26_3f_in","y26_3f_in. ¿Me puede indicar qué institución pagó estos beneficios? (Inst)"
"y26_4f_mo","y26_4f_mo. ¿Cuál es la modalidad de la pensión que recibe? (Mod)"
"y26_2g","y26_2g. ¿Me podría indicar el monto de la montepío o pensión de viudez? (Monto)"
"y26_3g_in","y26_3g_in. ¿Me puede indicar qué institución pagó estos beneficios? (Inst)"
"y26_4g_mo","y26_4g_mo. ¿Cuál es la modalidad de la pensión que recibe? (Mod)"
"y26_2h","y26_2h. ¿Me podría indicar el monto de la pensión de orfandad? (Monto)"
"y26_3h_in","y26_3h_in. ¿Me puede indicar qué institución pagó estos beneficios? (Inst)"
"y26_4h_mo","y26_4h_mo. ¿Cuál es la modalidad de la pensión que recibe? (Mod)"
"y26_2i","y26_2i. ¿Me podría indicar el monto de la pensión por leyes especiales? (Monto)"
"y26_2j","y26_2j. ¿Me podría indicar el monto de la otra pensión o jubilación? (Monto)"
"y26_3j_in","y26_3j_in. ¿Me puede indicar qué institución pagó estos beneficios? (Inst)"
"y26_4j_mo","y26_4j_mo. ¿Cuál es la modalidad de la pensión que recibe? (Mod)"
"y27a","y27a. ¿Tiene en uso tarjeta de débito (Redbanc)?"
"y27b","y27b. ¿Tiene en uso tarjeta de crédito bancario (Visa, Mastercard, etc.)?"
"y27c","y27c. ¿Tiene en uso tarjeta de crédito de casa comercial (Falabella, Ripley, Paris, Presto, etc.)?"
"y27d","y27d. ¿Tiene en uso chequera?"
"y27e","y27e. ¿Tiene en uso línea de crédito?"
"y0","y0. ¿Quién (o quiénes) responde(n) el módulo Ingresos?"
"s1","s1. ¿Cuál es el estado nutricional de [NIÑO/A]"
"s1c","s1c. Respuesta es dada a partir del Carnet de Control del niño(a)"
"s2a1","s2a1. En los últimos tres meses, ¿recibió o retiró, gratuitamente, alimento del consultorio? (Tipo 1)"
"s2a2","s2a2. En los últimos tres meses, ¿recibió o retiró, gratuitamente, alimento del consultorio? (Tipo 2)"
"s3","s3. En los últimos tres meses, ¿recibió o retiró, gratuitamente, alimentos del consultorio?"
"s4","s4. ¿Cuántos hijos nacidos vivos ha tenido Ud. en su vida?"
"s5","s5. ¿Qué edad tenía Ud. cuando nació su primer hijo?"
"s6","s6. ¿Se encuentra Ud. en este momento embarazada o amamantando?"
"s7","s7. En los últimos tres meses, ¿recibió o retiró, gratuitamente, alimentos del consultorio?"
"s8","s8. En los últimos tres años, ¿se ha hecho el Papanicolau?"
"s9","s9. ¿Por qué no se lo ha hecho?"
"s10","s10. En los últimos tres años, ¿se ha hecho una mamografía?"
"s11","s11. ¿Por qué no se la ha hecho?"
"s12","s12. ¿A qué sistema previsional de salud pertenece Ud.?"
"s13","s13. Ahora, en una escala de 1 a 7, donde 1 corresponde a muy mal y 7 a muy bien, ¿qué nota le pondría a su estado de salud actual?"
"s13p","s13p. Respuesta es dada directamente por la persona"
"s14","s14. ¿Algún miembro de su núcleo familiar se encuentra cubierto por un Seguro de Salud complementario ante riesgo de enfermedad o accidente?"
"s15","s15. En los últimos 3 meses, ¿tuvo algún problema de salud, enfermedad o accidente?"
"s16","s16. ¿Tuvo alguna consulta o atención médica por esa enfermedad o accidente?"
"s17","s17. ¿Por qué no tuvo consulta ni atención?"
"s18a","s18a. Cuando consultó, ¿se le presentó problemas para llegar a la consulta, hospital, consultorio, etc.?"
"s18b","s18b. Cuando consultó, ¿se le presentó problemas para conseguir cita/atención (hora)?"
"s18c","s18c. Cuando consultó, ¿se le presentó problemas para ser atendido en el establecimiento (demora, cambios de hora, etc.)?"
"s18d","s18d. Cuando consultó, ¿se le presentó problemas para pagar por la atención debido al costo?"
"s18e","s18e. Cuando consultó, ¿se le presentó problemas para la entrega de medicamentos en el establecimiento de salud o acceso a ellos por su costo?"
"s19a","s19a. Consulta Médica General (Número de consultas)"
"s19b","s19b. Consulta Médica General (Establecimiento)"
"s19c","s19c. Consulta Médica General (Pago)"
"s20a","s20a. Consultas de Urgencia (Número de consultas)"
"s20b","s20b. Consultas de Urgencia (Establecimiento)"
"s20c","s20c. Consultas de Urgencia (Pago)"
"s21a","s21a. Consultas de Salud Mental (Número de consultas)"
"s21b","s21b. Consultas de Salud Mental (Establecimiento)"
"s21c","s21c. Consultas de Salud Mental (Pago)"
"s22a","s22a. Consulta de Especialidad (Número de consultas)"
"s22b","s22b. Consulta de Especialidad (Establecimiento)"
"s22c","s22c. Consulta de Especialidad (Pago)"
"s23a","s23a. Consultas Dentales (Número de consultas)"
"s23b","s23b. Consultas Dentales (Establecimiento)"
"s23c","s23c. Consultas Dentales (Pago)"
"s24a","s24a. Exámenes de Laboratorio (Número de consultas)"
"s24b","s24b. Exámenes de Laboratorio (Establecimiento)"
"s24c","s24d. Exámenes de Laboratorio (Pago)"
"s25a","s25a. Rayos X o Ecografías (Número de consultas)"
"s25b","s25b. Rayos X o Ecografías (Establecimiento)"
"s25c","s25c. Rayos X o Ecografías (Pago)"
"s26a","s26a. Controles de Salud (Número de consultas)"
"s26b_c1","s26b_c1. Controles de Salud (Tipo de Control) 1"
"s26b_c2","s26b_c2. Controles de Salud (Tipo de Control) 2"
"s26b_c3","s26b_c3. Controles de Salud (Tipo de Control) 3"
"s26c","s26c. Controles de Salud (Establecimiento)"
"s26d","s26d. Controles de Salud (Pago)"
"s27a","s27a. Hospitalizaciones e Intervenciones Quirúrgicas (Tipo de Intervención)"
"s27b","s27b. Hospitalizaciones e Intervenciones Quirúrgicas (Días)"
"s27c","s27c. Hospitalizaciones e Intervenciones Quirúrgicas (Establecimiento)"
"s27d","s27d. Hospitalizaciones e Intervenciones Quirúrgicas (Pago)"
